viewpoint_id,device,device_type,role,x,y,z,yaw_deg,pitch_deg,roll_deg,target_x,target_y,target_z,layer_k,component_id
0,capacitor,capacitor,inspect_capture,-46.7976,-117.6257,77.3000,22.50,0.00,0.00,-40.7000,-115.1000,77.3000,14,3
4,capacitor,capacitor,inspect_capture,-45.7000,-110.5000,77.3000,0.00,0.00,0.00,-40.1000,-110.5000,77.3000,14,5
10,capacitor,capacitor,inspect_capture,-43.9000,-100.7000,77.3000,0.00,0.00,0.00,-40.1000,-100.7000,77.3000,14,6
6,capacitor,capacitor,inspect_capture,-44.7000,-107.1000,77.3000,0.00,0.00,0.00,-39.5000,-107.1000,77.3000,14,7
7,capacitor,capacitor,inspect_capture,-44.4281,-105.0726,77.3000,22.50,0.00,0.00,-38.7000,-102.7000,77.3000,14,10
9,capacitor,capacitor,inspect_capture,-43.8281,-101.6726,77.3000,22.50,0.00,0.00,-38.1000,-99.3000,77.3000,14,12
12,capacitor,capacitor,inspect_capture,-43.5976,-99.6257,77.3000,22.50,0.00,0.00,-37.5000,-97.1000,77.3000,14,15
8,capacitor,capacitor,inspect_capture,-44.1000,-102.9000,77.3000,0.00,0.00,0.00,-37.3000,-102.9000,77.3000,14,16
13,capacitor,capacitor,inspect_capture,-43.1976,-97.4257,77.3000,22.50,0.00,0.00,-37.1000,-94.9000,77.3000,14,19
14,capacitor,capacitor,inspect_capture,-36.9000,-88.7000,77.3000,-90.00,0.00,0.00,-36.9000,-94.7000,77.3000,14,19
11,capacitor,capacitor,inspect_capture,-43.6021,-100.6499,77.3000,9.74,0.00,0.00,-36.9000,-99.5000,77.3000,14,20
20,capacitor,capacitor,inspect_capture,-28.3000,-105.7000,77.3000,180.00,0.00,0.00,-35.1000,-105.7000,77.3000,14,22
15,capacitor,capacitor,inspect_capture,-28.0917,-90.0917,77.3000,-135.00,0.00,0.00,-32.9000,-94.9000,77.3000,14,35
24,capacitor,capacitor,inspect_capture,-28.7000,-117.7000,77.5000,180.00,0.00,0.00,-35.1000,-117.7000,77.5000,15,0
1,capacitor,capacitor,inspect_capture,-46.2113,-120.0113,77.5000,45.00,0.00,0.00,-43.1000,-116.9000,77.5000,15,0
5,capacitor,capacitor,inspect_capture,-45.3651,-110.1838,77.5000,22.50,0.00,0.00,-41.3000,-108.5000,77.5000,15,2
23,capacitor,capacitor,inspect_capture,-29.8176,-110.2978,77.5000,-157.50,0.00,0.00,-36.1000,-112.9000,77.5000,15,14
21,capacitor,capacitor,inspect_capture,-28.3000,-107.3000,77.5000,180.00,0.00,0.00,-34.9000,-107.3000,77.5000,15,21
18,capacitor,capacitor,inspect_capture,-28.5872,-102.6508,77.5000,-157.50,0.00,0.00,-34.5000,-105.1000,77.5000,15,22
22,capacitor,capacitor,inspect_capture,-28.6045,-107.8307,77.5000,157.50,0.00,0.00,-32.3000,-106.3000,77.5000,15,34
19,capacitor,capacitor,inspect_capture,-28.6045,-102.9693,77.5000,-157.50,0.00,0.00,-32.3000,-104.5000,77.5000,15,34
17,capacitor,capacitor,inspect_capture,-27.2045,-99.6307,77.5000,157.50,0.00,0.00,-30.9000,-98.1000,77.5000,15,38
16,capacitor,capacitor,inspect_capture,-27.2176,-98.2978,77.7000,-157.50,0.00,0.00,-33.5000,-100.9000,77.7000,16,6
3,capacitor,capacitor,inspect_capture,-41.3961,-123.0433,79.3000,67.50,0.00,0.00,-39.1000,-117.5000,79.3000,24,0
2,capacitor,capacitor,inspect_capture,-46.4941,-120.2941,79.3000,45.00,0.00,0.00,-43.1000,-116.9000,79.3000,24,0
