path_id,x,y,z
0,32.2422,-97.2986,77.3000
1,26.9387,-88.0902,77.3400
2,25.7546,-85.0331,77.3800
3,26.0662,-83.2734,77.4200
4,27.7911,-85.2588,77.4600
5,21.7119,-88.6665,77.5000
6,15.5766,-90.3618,77.5000
7,9.1799,-90.4268,77.5000
8,1.3315,-88.9071,77.5000
9,-6.1561,-86.1196,77.5000
10,-3.6024,-82.1260,77.5000
11,-0.6505,-79.8026,77.5000
12,2.4369,-79.2495,77.5000
13,5.9053,-78.9893,77.5000
14,10.2335,-79.2761,77.5000
15,12.9757,-79.5139,77.5000
16,15.5357,-79.9939,77.5000
17,17.1126,-80.0244,77.5400
18,18.0091,-79.9725,77.5800
19,16.4580,-80.0436,77.6200
20,13.7971,-79.8073,77.6600
21,9.6783,-78.7985,77.7000
22,5.1341,-78.7211,77.7000
23,0.7768,-79.0123,77.7000
24,-2.6785,-81.4559,77.7000
25,2.6539,-85.8165,77.7000
26,9.3367,-88.6876,77.7000
27,15.2835,-89.2456,77.7000
28,21.1592,-89.4808,77.7000
29,26.8660,-87.4093,78.2200
30,26.9745,-86.4649,78.7400
31,26.8562,-87.3149,79.3000
32,28.5618,-89.2693,79.8600
33,30.5322,-90.6297,80.4200
34,33.1170,-91.3532,80.4600
35,31.4970,-88.6532,80.5000
36,23.8258,-86.0260,80.5000
37,16.0417,-84.1819,80.5000
38,7.7563,-84.5669,80.5000
39,7.3620,-87.1253,80.5000
40,6.5350,-86.7723,80.5400
41,6.0080,-90.2197,80.5800
42,6.4860,-89.1377,80.6200
43,10.4033,-86.8751,80.6600
44,6.8118,-83.0706,81.2200
45,3.5508,-82.5868,81.7400
46,5.8199,-78.2276,82.2600
47,5.4067,-78.8681,82.7800
48,1.8494,-79.2908,83.3000
49,-2.2577,-80.2720,83.3000
50,-4.5511,-81.8183,83.3000
51,-6.7028,-83.8331,83.3000
52,-7.2046,-85.3813,83.3000
53,-7.6330,-87.7804,83.3000
54,-7.9017,-90.7550,83.3000
55,0.1798,-92.7456,83.3000
56,8.3347,-94.1775,83.3000
57,16.5558,-95.1550,83.3000
58,24.8484,-94.7018,83.3000
59,33.1442,-93.0460,83.3000
60,33.3842,-91.8460,83.3000
61,33.5642,-90.5260,83.3000
62,33.4488,-88.5013,83.3000
63,25.2247,-88.1953,83.3400
64,17.6889,-89.4511,83.9400
65,17.4543,-89.7561,84.5400
66,17.1858,-91.2205,85.7400
67,9.6447,-93.0016,86.9400
68,10.8247,-91.3016,88.1400
69,10.6675,-90.2987,88.8600
70,3.1492,-90.3667,89.5800
71,-4.9648,-91.7648,89.9000
