waypoint_id,x,y,z,source_viewpoint_id
0,32.2422,-97.2986,77.3000,0
1,24.5751,-81.9730,77.3000,1
2,22.2171,-81.7405,77.3000,2
3,21.8585,-81.7702,77.5000,3
4,23.4171,-82.1405,77.5000,4
5,26.3216,-82.0130,77.5000,5
6,33.8000,-88.5000,77.5000,6
7,33.2000,-91.9000,77.5000,7
8,-8.1790,-98.7790,77.5000,8
9,-7.2595,-90.6171,77.5000,9
10,-5.6619,-82.3381,77.5000,10
11,-5.4422,-80.9014,77.5000,11
12,-4.2376,-77.9624,77.5000,12
13,4.5891,-78.8109,77.5000,13
14,4.9000,-78.8000,77.5000,14
15,7.5000,-79.0000,77.5000,15
16,9.7751,-79.5730,77.5000,16
17,11.9000,-79.6000,77.5000,17
18,17.4033,-79.3967,77.5000,18
19,18.3000,-80.0000,77.5000,19
20,20.3000,-81.4000,77.5000,20
21,17.6595,-79.7252,77.7000,21
22,16.3829,-79.3405,77.7000,22
23,9.6477,-79.7523,77.7000,23
24,4.9952,-78.8187,77.7000,24
25,-0.2936,-76.3557,77.7000,25
26,-5.0619,-79.3381,77.7000,26
27,-5.4033,-80.7967,77.7000,27
28,-7.6291,-91.9701,77.7000,28
29,31.6575,-100.6221,77.7000,29
30,33.1204,-90.7109,77.7000,30
31,24.6719,-82.1281,77.7000,31
32,24.2376,-82.0734,77.7000,32
33,23.9751,-81.9730,77.7000,33
34,20.9052,-81.6126,80.3000,34
35,32.2000,-95.9000,80.3000,35
36,32.5287,-94.9610,80.5000,36
37,33.2000,-91.9000,80.5000,37
38,33.8270,-88.7751,80.5000,38
39,33.8291,-85.2299,80.5000,39
40,24.1000,-82.4000,80.5000,40
41,-5.8270,-81.8249,80.5000,41
42,-5.7205,-82.6795,80.5000,42
43,-7.6000,-90.7000,80.5000,43
44,31.8575,-98.0221,80.5000,44
45,19.9648,-80.6352,80.7000,45
46,-8.4619,-99.0619,80.7000,46
47,-3.3305,-77.2695,80.7000,47
48,11.9866,-79.3866,80.7000,48
49,13.9000,-79.0000,83.3000,49
50,3.6599,-78.2159,83.3000,50
51,2.8837,-77.2662,83.3000,51
52,-5.3966,-80.4718,83.3000,52
53,-5.8000,-81.5000,83.3000,53
54,-6.6357,-83.9061,83.3000,54
55,-7.8072,-85.9472,83.3000,55
56,-7.8748,-87.3405,83.3000,56
57,-7.9052,-88.2126,83.3000,57
58,-7.9421,-93.4958,83.3000,58
59,-7.9790,-98.7790,83.3000,59
60,32.6000,-95.9000,83.3000,60
61,32.9000,-94.5000,83.3000,61
62,33.2000,-93.1000,83.3000,62
63,33.5208,-91.2301,83.3000,63
64,33.5000,-90.5000,83.3000,64
65,33.8000,-89.9000,83.3000,65
66,33.8000,-87.9000,83.3000,66
67,32.6234,-82.9766,83.3000,67
68,-7.6000,-89.7000,83.5000,68
69,-4.1790,-96.7790,86.3000,69
70,32.6270,-91.4249,86.3000,70
71,32.4575,-95.2221,89.3000,71
72,-5.0820,-91.8820,89.3000,72
73,-1.7000,-81.2000,89.5000,73
74,-4.9648,-91.7648,89.9000,74
