path_id,x,y,z
0,32.0575,-97.2221,77.3000
1,26.3519,-88.0734,77.3400
2,24.6238,-85.0571,77.3800
3,23.4821,-82.0951,77.4200
4,25.3177,-83.3266,77.4600
5,27.5049,-85.2846,77.5000
6,21.6374,-88.7463,77.5000
7,15.5021,-90.4416,77.5000
8,8.8702,-91.9273,77.5000
9,0.8308,-91.1216,77.5000
10,-6.8450,-89.2658,77.5000
11,-6.2976,-85.6903,77.5000
12,-5.6366,-83.2159,77.5000
13,-3.3567,-81.0101,77.5000
14,-0.5374,-79.9957,77.5000
15,2.4778,-79.4071,77.5000
16,5.9449,-79.2179,77.5000
17,10.1600,-79.5048,77.5000
18,12.9022,-79.7826,77.5000
19,15.1822,-80.0626,77.5000
20,17.3028,-80.4870,77.5000
21,18.5181,-80.4901,77.5400
22,18.3706,-80.4223,77.5800
23,16.6401,-80.3327,77.6200
24,13.8745,-79.9734,77.6600
25,9.7864,-78.9585,77.7000
26,5.2366,-78.8885,77.7000
27,0.8793,-79.1797,77.7000
28,-2.4282,-81.5621,77.7000
29,2.8889,-85.8858,77.7000
30,9.5411,-88.6829,77.7000
31,15.9569,-89.1187,77.7000
32,21.9154,-89.4416,77.7000
33,28.0884,-87.5034,77.7000
34,25.8641,-83.7321,78.2200
35,25.6800,-84.7699,78.7400
36,26.7057,-87.4021,79.3000
37,28.4279,-89.2999,79.8600
38,30.3244,-90.6297,80.4200
39,32.9831,-91.3226,80.4600
40,31.3631,-88.6226,80.5000
41,26.9360,-85.6215,80.5000
42,19.2445,-83.6371,80.5000
43,11.4655,-82.5052,80.5000
44,3.2597,-83.5992,80.5000
45,4.8112,-86.7236,80.5000
46,6.7454,-86.8595,80.5400
47,6.1446,-90.2763,80.5800
48,6.6225,-89.1943,80.6200
49,10.5164,-86.9882,80.6600
50,6.9250,-83.2638,81.2200
51,3.6640,-82.7799,81.7400
52,5.8869,-78.4861,82.2600
53,5.4541,-79.0853,82.7800
54,1.9202,-79.4514,83.3000
55,-2.1315,-80.3450,83.3000
56,-4.3596,-81.9374,83.3000
57,-6.3912,-83.8564,83.3000
58,-6.8560,-85.4198,83.3000
59,-7.3435,-88.8473,83.3000
60,-6.6001,-91.5530,83.3000
61,-4.5930,-93.5483,83.3000
62,-1.7596,-95.4832,83.3000
63,3.0346,-97.4431,83.3000
64,8.8945,-97.5679,83.3000
65,15.9027,-97.2687,83.3000
66,21.9118,-96.9377,83.3000
67,27.1394,-96.1853,83.3000
68,30.4777,-94.7849,83.3000
69,32.8453,-93.0325,83.3000
70,33.0453,-91.8325,83.3000
71,33.2853,-90.5125,83.3000
72,33.2217,-88.5161,83.3000
73,30.0964,-89.9636,83.3400
74,24.2834,-91.1366,83.3800
75,16.1634,-91.0966,83.4200
76,13.9834,-90.2766,83.5000
77,14.0124,-91.9379,84.1000
78,9.7332,-91.5572,84.6600
79,7.8121,-91.3300,85.2600
80,8.2357,-91.7664,86.4200
81,10.1472,-94.0508,87.5400
82,3.2818,-92.1659,88.1800
83,3.1247,-91.1630,88.9000
84,7.0987,-88.7572,89.5800
85,11.0151,-87.0208,89.7000
86,14.5000,-83.2000,89.9000
