viewpoint_id,device,device_type,role,x,y,z,yaw_deg,pitch_deg,roll_deg,target_x,target_y,target_z,layer_k,component_id
2,main_transformer,transformer,inspect_capture,4.5000,-78.2000,77.3000,-90.00,0.00,0.00,4.5000,-83.5000,77.3000,14,14
1,main_transformer,transformer,inspect_capture,24.6517,-81.7882,77.3000,-112.50,0.00,0.00,22.7000,-86.5000,77.3000,14,60
0,main_transformer,transformer,inspect_capture,32.6118,-97.4517,77.3000,157.50,0.00,0.00,27.9000,-95.5000,77.3000,14,68
15,main_transformer,transformer,inspect_capture,-8.4619,-99.0619,77.5000,45.00,0.00,0.00,-3.3000,-93.9000,77.5000,15,0
16,main_transformer,transformer,inspect_capture,-5.9966,-80.6718,77.5000,-22.50,0.00,0.00,-1.1000,-82.7000,77.5000,15,0
18,main_transformer,transformer,inspect_capture,4.8719,-78.5281,77.5000,-135.00,0.00,0.00,0.7000,-82.7000,77.5000,15,5
17,main_transformer,transformer,inspect_capture,-4.3790,-77.8210,77.5000,-45.00,0.00,0.00,0.5000,-82.7000,77.5000,15,5
3,main_transformer,transformer,inspect_capture,4.9000,-78.4000,77.5000,-90.00,0.00,0.00,4.9000,-85.9000,77.5000,15,6
5,main_transformer,transformer,inspect_capture,9.8517,-79.3882,77.5000,-112.50,0.00,0.00,7.9000,-84.1000,77.5000,15,23
6,main_transformer,transformer,inspect_capture,11.9000,-79.0000,77.5000,-90.00,0.00,0.00,11.9000,-86.5000,77.5000,15,33
4,main_transformer,transformer,inspect_capture,9.7187,-79.4339,77.5000,-67.50,0.00,0.00,11.9000,-84.7000,77.5000,15,35
10,main_transformer,transformer,inspect_capture,22.5000,-81.4000,77.5000,-90.00,0.00,0.00,22.5000,-88.9000,77.5000,15,45
11,main_transformer,transformer,inspect_capture,23.7000,-81.4000,77.5000,-90.00,0.00,0.00,23.7000,-87.7000,77.5000,15,45
9,main_transformer,transformer,inspect_capture,22.0000,-81.3000,77.5000,-90.00,0.00,0.00,22.0000,-87.4000,77.5000,15,45
8,main_transformer,transformer,inspect_capture,20.3000,-81.2000,77.5000,-90.00,0.00,0.00,20.3000,-87.1000,77.5000,15,45
7,main_transformer,transformer,inspect_capture,18.3000,-79.4000,77.5000,-90.00,0.00,0.00,18.3000,-86.7000,77.5000,15,45
14,main_transformer,transformer,inspect_capture,33.4000,-91.9000,77.5000,180.00,0.00,0.00,28.5000,-91.9000,77.5000,15,68
13,main_transformer,transformer,inspect_capture,34.0000,-88.5000,77.5000,180.00,0.00,0.00,29.1000,-88.5000,77.5000,15,68
12,main_transformer,transformer,inspect_capture,26.2803,-81.4145,77.5000,-86.05,0.00,0.00,26.7000,-87.5000,77.5000,15,71
23,main_transformer,transformer,inspect_capture,10.3548,-79.0452,77.7000,-135.00,0.00,0.00,5.9000,-83.5000,77.7000,16,18
19,main_transformer,transformer,inspect_capture,4.6891,-78.0796,77.7000,-67.50,0.00,0.00,7.1000,-83.9000,77.7000,16,20
