viewpoint_id,device,device_type,role,x,y,z,yaw_deg,pitch_deg,roll_deg,target_x,target_y,target_z,layer_k,component_id
0,main_transformer,transformer,inspect_capture,32.7966,-97.5282,77.3000,157.50,0.00,0.00,27.9000,-95.5000,77.3000,14,68
1,main_transformer,transformer,inspect_capture,24.8813,-81.2339,77.3000,-112.50,0.00,0.00,22.7000,-86.5000,77.3000,14,60
2,main_transformer,transformer,inspect_capture,4.5000,-77.8000,77.3000,-90.00,0.00,0.00,4.5000,-83.5000,77.3000,14,14
3,main_transformer,transformer,inspect_capture,5.5790,-77.8210,77.5000,-135.00,0.00,0.00,0.7000,-82.7000,77.5000,15,5
4,main_transformer,transformer,inspect_capture,9.3360,-78.5100,77.5000,-67.50,0.00,0.00,11.9000,-84.7000,77.5000,15,35
5,main_transformer,transformer,inspect_capture,10.0813,-78.8339,77.5000,-112.50,0.00,0.00,7.9000,-84.1000,77.5000,15,23
6,main_transformer,transformer,inspect_capture,11.9000,-78.8000,77.5000,-90.00,0.00,0.00,11.9000,-85.3000,77.5000,15,34
7,main_transformer,transformer,inspect_capture,20.3000,-80.6000,77.5000,-90.00,0.00,0.00,20.3000,-87.1000,77.5000,15,45
8,main_transformer,transformer,inspect_capture,23.7000,-81.2000,77.5000,-90.00,0.00,0.00,23.7000,-87.7000,77.5000,15,45
9,main_transformer,transformer,inspect_capture,26.2390,-80.8159,77.5000,-86.05,0.00,0.00,26.7000,-87.5000,77.5000,15,71
10,main_transformer,transformer,inspect_capture,34.6000,-88.5000,77.5000,180.00,0.00,0.00,29.1000,-88.5000,77.5000,15,68
11,main_transformer,transformer,inspect_capture,34.0000,-91.9000,77.5000,180.00,0.00,0.00,28.5000,-91.9000,77.5000,15,68
12,main_transformer,transformer,inspect_capture,-6.3661,-80.5187,77.5000,-22.50,0.00,0.00,-1.1000,-82.7000,77.5000,15,0
13,main_transformer,transformer,inspect_capture,-4.8033,-77.3967,77.5000,-45.00,0.00,0.00,0.5000,-82.7000,77.5000,15,5
14,main_transformer,transformer,inspect_capture,4.6126,-77.8948,77.7000,-67.50,0.00,0.00,7.1000,-83.9000,77.7000,16,20
15,main_transformer,transformer,inspect_capture,34.0443,-91.0936,77.7000,157.50,0.00,0.00,27.3000,-88.3000,77.7000,16,71
16,main_transformer,transformer,inspect_capture,25.6619,-81.1381,77.7000,-135.00,0.00,0.00,20.5000,-86.3000,77.7000,16,57
17,main_transformer,transformer,inspect_capture,24.2813,-81.2339,77.7000,-112.50,0.00,0.00,22.1000,-86.5000,77.7000,16,58
18,main_transformer,transformer,inspect_capture,24.0685,-81.0878,77.7000,-80.26,0.00,0.00,25.1000,-87.1000,77.7000,16,64
19,main_transformer,transformer,inspect_capture,10.6376,-78.7624,77.7000,-135.00,0.00,0.00,5.9000,-83.5000,77.7000,16,18
20,main_transformer,transformer,inspect_capture,-6.3813,-81.5952,80.5000,-22.50,0.00,0.00,-1.3000,-83.7000,80.5000,30,0
