waypoint_id,x,y,z,source_viewpoint_id
0,32.7966,-97.5282,77.3000,0
1,24.8813,-81.2339,77.3000,1
2,4.5000,-77.8000,77.3000,2
3,5.5790,-77.8210,77.5000,3
4,9.3360,-78.5100,77.5000,4
5,10.0813,-78.8339,77.5000,5
6,11.9000,-78.8000,77.5000,6
7,20.3000,-80.6000,77.5000,7
8,23.7000,-81.2000,77.5000,8
9,26.2390,-80.8159,77.5000,9
10,34.6000,-88.5000,77.5000,10
11,34.0000,-91.9000,77.5000,11
12,-6.3661,-80.5187,77.5000,12
13,-4.8033,-77.3967,77.5000,13
14,4.6126,-77.8948,77.7000,14
15,34.0443,-91.0936,77.7000,15
16,25.6619,-81.1381,77.7000,16
17,24.2813,-81.2339,77.7000,17
18,24.0685,-81.0878,77.7000,18
19,10.6376,-78.7624,77.7000,19
20,-6.3813,-81.5952,80.5000,20
21,34.5661,-89.0813,80.5000,21
22,34.0000,-91.9000,80.5000,22
23,33.3907,-95.1524,80.5000,23
24,32.7813,-98.4048,80.5000,24
25,20.6719,-79.9281,80.7000,25
26,11.4210,-78.8210,80.7000,26
27,-3.8962,-76.7038,80.7000,27
28,-6.3204,-80.0891,83.3000,28
29,34.6000,-87.9000,83.3000,29
30,34.6000,-89.9000,83.3000,30
31,34.3000,-90.5000,83.3000,31
32,34.3093,-91.3653,83.3000,32
33,34.0000,-93.1000,83.3000,33
34,33.7000,-94.5000,83.3000,34
35,33.4000,-95.9000,83.3000,35
36,-6.6000,-81.5000,83.3000,36
37,-8.4000,-89.7000,83.5000,37
38,33.3661,-91.1187,86.3000,38
39,33.1966,-95.5282,89.3000,39
40,-5.6477,-92.4477,89.3000,40
41,-5.6719,-92.4719,89.9000,41
