path_id,x,y,z
0,32.0575,-97.2221,77.3000
1,26.7730,-88.2813,77.3400
2,25.6341,-85.3592,77.3800
3,24.8195,-83.3644,77.4200
4,26.6551,-84.5959,77.4600
5,28.8576,-86.5169,77.5000
6,22.6103,-89.7511,77.5000
7,15.9597,-91.3216,77.5000
8,9.0474,-91.8194,77.5000
9,1.0450,-91.0291,77.5000
10,-6.5742,-89.2299,77.5000
11,-6.0465,-85.7262,77.5000
12,-5.4028,-83.3390,77.5000
13,-3.2262,-81.2104,77.5000
14,-0.9639,-80.1007,77.5000
15,1.5554,-79.4399,77.5000
16,4.5313,-79.2329,77.5000
17,7.6138,-79.5923,77.5000
18,10.1483,-79.7377,77.5000
19,12.8283,-80.0577,77.5000
20,15.1083,-80.3777,77.5000
21,17.2439,-80.7492,77.5000
22,19.1199,-81.0367,77.5000
23,20.4885,-81.5410,77.5400
24,20.4063,-81.4769,77.5800
25,19.9335,-81.1789,77.6200
26,17.7465,-80.8260,77.6600
27,14.6148,-80.3411,77.7000
28,9.8376,-79.2546,77.7000
29,5.3039,-79.1229,77.7000
30,0.9726,-79.3968,77.7000
31,-2.2414,-81.7072,77.7000
32,3.2164,-83.9512,77.7000
33,9.0016,-84.9168,77.7000
34,15.4174,-85.3926,77.7000
35,21.3193,-85.6589,77.7000
36,26.7305,-83.7098,78.2200
37,26.5804,-84.7782,78.7400
38,27.2937,-87.4228,79.3000
39,28.4337,-89.4028,79.8600
40,30.2474,-90.6451,80.4200
41,32.8691,-91.3532,80.4600
42,31.2891,-88.6932,80.5000
43,26.8315,-85.7661,80.5000
44,19.1400,-83.7816,80.5000
45,11.4176,-82.7063,80.5000
46,3.3257,-83.7697,80.5000
47,4.8771,-86.8541,80.5000
48,6.7854,-86.9726,80.5400
49,6.2411,-90.3329,80.5800
50,6.6625,-89.1943,80.6200
51,10.5164,-86.9882,80.6600
52,6.9250,-83.3038,81.2200
53,3.6891,-82.7881,81.7400
54,5.8555,-78.5509,82.2600
55,5.5663,-78.9916,82.7800
56,2.1440,-79.1979,83.3000
57,-1.7160,-79.5779,83.3000
58,-3.6514,-80.6989,83.3000
59,-5.6454,-82.4390,83.3000
60,-6.2477,-83.9254,83.3000
61,-6.7864,-85.4582,83.3000
62,-7.2456,-88.8575,83.3000
63,-6.5957,-91.4630,83.3000
64,-4.7627,-93.2938,83.3000
65,0.1741,-95.4121,83.3000
66,8.1612,-96.9190,83.3000
67,16.2205,-96.1197,83.3000
68,23.3653,-95.3453,83.3000
69,29.5817,-94.4815,83.3000
70,32.7859,-93.0257,83.3000
71,33.0259,-91.4257,83.3000
72,33.0023,-89.1493,83.3000
73,32.1423,-86.9293,83.3000
74,29.0164,-88.2636,83.3400
75,20.9764,-88.1036,83.3800
76,17.7564,-90.1636,83.4200
77,15.8400,-90.2600,83.5000
78,16.5915,-92.1756,84.1000
79,12.3523,-91.9148,84.6600
80,12.6782,-93.0206,85.2600
81,8.1618,-91.7570,86.4200
82,6.5218,-91.6370,87.5400
83,4.7861,-91.1437,88.1400
84,12.0568,-90.8888,88.7400
85,12.7908,-88.4030,89.3400
86,12.8708,-88.3230,89.4600
87,12.8308,-88.4830,89.5800
88,11.0151,-87.4208,89.7000
89,14.5000,-83.8000,89.9000
