viewpoint_id,device,device_type,role,x,y,z,yaw_deg,pitch_deg,roll_deg,target_x,target_y,target_z,layer_k,component_id
0,main_transformer,transformer,inspect_capture,32.0575,-97.2221,77.3000,157.50,0.00,0.00,27.9000,-95.5000,77.3000,14,68
1,main_transformer,transformer,inspect_capture,24.4221,-82.3425,77.3000,-112.50,0.00,0.00,22.7000,-86.5000,77.3000,14,60
2,main_transformer,transformer,inspect_capture,21.9874,-82.2948,77.3000,-112.50,0.00,0.00,19.5000,-88.3000,77.3000,14,45
3,main_transformer,transformer,inspect_capture,22.5000,-82.4000,77.5000,-90.00,0.00,0.00,22.5000,-89.9000,77.5000,15,44
4,main_transformer,transformer,inspect_capture,23.3405,-82.3252,77.5000,-112.50,0.00,0.00,20.7000,-88.7000,77.5000,15,45
5,main_transformer,transformer,inspect_capture,23.7000,-82.4000,77.5000,-90.00,0.00,0.00,23.7000,-87.7000,77.5000,15,45
6,main_transformer,transformer,inspect_capture,26.3629,-82.6116,77.5000,-86.05,0.00,0.00,26.7000,-87.5000,77.5000,15,71
7,main_transformer,transformer,inspect_capture,27.9848,-87.2477,77.5000,22.50,0.00,0.00,23.2000,-89.0000,77.5000,15,45
8,main_transformer,transformer,inspect_capture,33.6000,-88.5000,77.5000,180.00,0.00,0.00,29.1000,-88.5000,77.5000,15,68
9,main_transformer,transformer,inspect_capture,33.0000,-91.9000,77.5000,180.00,0.00,0.00,28.5000,-91.9000,77.5000,15,68
10,main_transformer,transformer,inspect_capture,32.6291,-92.1701,77.5000,157.50,0.00,0.00,25.7000,-89.3000,77.5000,15,45
11,main_transformer,transformer,inspect_capture,-7.8962,-98.4962,77.5000,45.00,0.00,0.00,-3.3000,-93.9000,77.5000,15,0
12,main_transformer,transformer,inspect_capture,-6.8900,-90.4640,77.5000,22.50,0.00,0.00,-0.7000,-87.9000,77.5000,15,2
13,main_transformer,transformer,inspect_capture,-6.5768,-89.7371,77.5000,11.25,0.00,0.00,-2.2000,-88.3000,77.5000,15,0
14,main_transformer,transformer,inspect_capture,-6.4118,-84.5483,77.5000,-22.50,0.00,0.00,-1.7000,-86.5000,77.5000,15,0
15,main_transformer,transformer,inspect_capture,-5.0962,-82.9038,77.5000,-45.00,0.00,0.00,-0.5000,-87.5000,77.5000,15,2
16,main_transformer,transformer,inspect_capture,-5.2575,-80.9779,77.5000,-22.50,0.00,0.00,-1.1000,-82.7000,77.5000,15,0
17,main_transformer,transformer,inspect_capture,-3.6719,-78.5281,77.5000,-45.00,0.00,0.00,0.5000,-82.7000,77.5000,15,5
18,main_transformer,transformer,inspect_capture,4.3062,-79.0938,77.5000,-135.00,0.00,0.00,0.7000,-82.7000,77.5000,15,5
19,main_transformer,transformer,inspect_capture,4.9000,-79.0000,77.5000,-90.00,0.00,0.00,4.9000,-85.9000,77.5000,15,6
20,main_transformer,transformer,inspect_capture,7.5000,-79.6000,77.5000,-90.00,0.00,0.00,7.5000,-86.5000,77.5000,15,6
21,main_transformer,transformer,inspect_capture,9.6221,-79.9425,77.5000,-112.50,0.00,0.00,7.9000,-84.1000,77.5000,15,23
22,main_transformer,transformer,inspect_capture,9.6203,-79.9626,77.5000,-101.25,0.00,0.00,8.3000,-86.6000,77.5000,15,6
23,main_transformer,transformer,inspect_capture,9.9483,-79.9882,77.5000,-67.50,0.00,0.00,11.9000,-84.7000,77.5000,15,35
24,main_transformer,transformer,inspect_capture,11.7405,-80.3252,77.5000,-112.50,0.00,0.00,9.1000,-86.7000,77.5000,15,6
25,main_transformer,transformer,inspect_capture,11.9000,-80.0000,77.5000,-90.00,0.00,0.00,11.9000,-86.5000,77.5000,15,33
26,main_transformer,transformer,inspect_capture,16.9790,-79.8210,77.5000,-135.00,0.00,0.00,12.1000,-84.7000,77.5000,15,35
27,main_transformer,transformer,inspect_capture,18.3000,-80.6000,77.5000,-90.00,0.00,0.00,18.3000,-86.7000,77.5000,15,45
28,main_transformer,transformer,inspect_capture,18.9000,-81.2000,77.5000,-90.00,0.00,0.00,18.9000,-88.3000,77.5000,15,45
29,main_transformer,transformer,inspect_capture,20.3000,-81.8000,77.5000,-90.00,0.00,0.00,20.3000,-87.1000,77.5000,15,45
30,main_transformer,transformer,inspect_capture,20.4936,-82.1557,77.5000,-112.50,0.00,0.00,17.7000,-88.9000,77.5000,15,44
31,main_transformer,transformer,inspect_capture,21.1203,-81.7626,77.5000,-101.25,0.00,0.00,19.8000,-88.5000,77.5000,15,45
32,main_transformer,transformer,inspect_capture,23.8221,-82.3425,77.7000,-112.50,0.00,0.00,22.1000,-86.5000,77.7000,16,58
