waypoint_id,x,y,z,source_viewpoint_id
0,32.2422,-97.2986,77.3000,0
1,24.5751,-81.9730,77.3000,1
2,22.2171,-81.7405,77.3000,2
3,4.5000,-78.4000,77.3000,3
4,4.8719,-78.5281,77.5000,4
5,7.5000,-79.0000,77.5000,5
6,9.7751,-79.5730,77.5000,6
7,11.9000,-79.6000,77.5000,7
8,17.4033,-79.3967,77.5000,8
9,18.3000,-80.0000,77.5000,9
10,20.3000,-81.4000,77.5000,10
11,20.9351,-80.8855,77.5000,11
12,22.0000,-81.6000,77.5000,12
13,22.5000,-81.8000,77.5000,13
14,23.5701,-81.7709,77.5000,14
15,23.7000,-81.8000,77.5000,15
16,26.3216,-82.0130,77.5000,16
17,33.8000,-88.5000,77.5000,17
18,33.2000,-91.9000,77.5000,18
19,-8.4619,-99.0619,77.5000,19
20,-7.2595,-90.6171,77.5000,20
21,-5.6619,-82.3381,77.5000,21
22,-5.4422,-80.9014,77.5000,22
23,-4.2376,-77.9624,77.5000,23
24,-5.0619,-79.3381,77.7000,24
25,-7.6291,-91.9701,77.7000,25
26,33.4900,-90.8640,77.7000,26
27,24.6719,-82.1281,77.7000,27
28,24.1699,-81.6792,77.7000,28
29,24.0517,-81.7882,77.7000,29
30,17.6595,-79.7252,77.7000,30
31,16.3064,-79.1557,77.7000,31
32,10.0719,-79.3281,77.7000,32
33,4.9952,-78.8187,77.7000,33
34,-0.2936,-76.3557,77.7000,34
35,21.0900,-81.5360,80.3000,35
36,32.6000,-95.9000,80.3000,36
37,32.5287,-94.9610,80.5000,37
38,33.2000,-91.9000,80.5000,38
39,33.8270,-88.7751,80.5000,39
40,24.1000,-82.0000,80.5000,40
41,-5.8270,-81.8249,80.5000,41
42,-5.7205,-82.6795,80.5000,42
43,31.8575,-98.0221,80.5000,43
44,20.2477,-80.3523,80.7000,44
45,-8.4619,-99.0619,80.7000,45
46,-3.3305,-77.2695,80.7000,46
47,11.9866,-79.3866,80.7000,47
48,13.9000,-79.0000,83.3000,48
49,4.6017,-77.4723,83.3000,49
50,-5.3966,-80.4718,83.3000,50
51,-5.8000,-81.5000,83.3000,51
52,-7.8072,-85.9472,83.3000,52
53,-8.0595,-87.4171,83.3000,53
54,-8.0900,-88.1360,83.3000,54
55,-8.1052,-93.5282,83.3000,55
56,-8.1205,-98.9205,83.3000,56
57,32.6000,-95.9000,83.3000,57
58,32.9000,-94.5000,83.3000,58
59,33.2000,-93.1000,83.3000,59
60,33.5208,-91.2301,83.3000,60
61,33.6000,-90.5000,83.3000,61
62,33.8000,-89.9000,83.3000,62
63,34.0000,-87.9000,83.3000,63
64,32.6234,-82.9766,83.3000,64
65,-7.6000,-89.7000,83.5000,65
66,-4.4619,-97.0619,86.3000,66
67,32.8118,-91.3483,86.3000,67
68,32.4575,-95.2221,89.3000,68
69,-5.0820,-91.8820,89.3000,69
70,-1.7000,-80.2000,89.5000,70
71,-4.9648,-91.7648,89.9000,71
