path_id,x,y,z
0,22.2171,-81.7405,77.3000
1,26.3216,-82.0130,77.5000
2,24.5751,-81.9730,77.3000
3,24.6719,-82.1281,77.7000
4,24.2376,-82.0734,77.7000
5,23.9751,-81.9730,77.7000
6,23.4171,-82.1405,77.5000
7,21.8585,-81.7702,77.5000
8,20.3000,-81.4000,77.5000
9,18.3000,-80.0000,77.5000
10,17.6595,-79.7252,77.7000
11,17.4033,-79.3967,77.5000
12,16.3829,-79.3405,77.7000
13,11.9000,-79.6000,77.5000
14,9.7751,-79.5730,77.5000
15,9.6477,-79.7523,77.7000
16,7.5000,-79.0000,77.5000
17,4.9952,-78.8187,77.7000
18,4.9000,-78.8000,77.5000
19,4.5891,-78.8109,77.5000
20,-0.2936,-76.3557,77.7000
21,-4.2376,-77.9624,77.5000
22,-5.0619,-79.3381,77.7000
23,-5.4033,-80.7967,77.7000
24,-5.4422,-80.9014,77.5000
25,-5.6619,-82.3381,77.5000
26,-7.2595,-90.6171,77.5000
27,-7.6291,-91.9701,77.7000
28,-8.1790,-98.7790,77.5000
29,31.6575,-100.6221,77.7000
30,32.2422,-97.2986,77.3000
31,33.2000,-91.9000,77.5000
32,33.1204,-90.7109,77.7000
33,33.8000,-88.5000,77.5000
34,33.8270,-88.7751,80.5000
35,33.2000,-91.9000,80.5000
36,32.5287,-94.9610,80.5000
37,31.8575,-98.0221,80.5000
38,32.2000,-95.9000,80.3000
39,33.8291,-85.2299,80.5000
40,24.1000,-82.4000,80.5000
41,20.9052,-81.6126,80.3000
42,19.9648,-80.6352,80.7000
43,11.9866,-79.3866,80.7000
44,-3.3305,-77.2695,80.7000
45,-5.8270,-81.8249,80.5000
46,-5.7205,-82.6795,80.5000
47,-7.6000,-90.7000,80.5000
48,-8.4619,-99.0619,80.7000
49,-7.9790,-98.7790,83.3000
50,-7.9421,-93.4958,83.3000
51,-7.6000,-89.7000,83.5000
52,-7.9052,-88.2126,83.3000
53,-7.8748,-87.3405,83.3000
54,-7.8072,-85.9472,83.3000
55,-6.6357,-83.9061,83.3000
56,-5.8000,-81.5000,83.3000
57,-5.3966,-80.4718,83.3000
58,2.8837,-77.2662,83.3000
59,3.6599,-78.2159,83.3000
60,13.9000,-79.0000,83.3000
61,32.6234,-82.9766,83.3000
62,33.8000,-87.9000,83.3000
63,33.8000,-89.9000,83.3000
64,33.5000,-90.5000,83.3000
65,33.5208,-91.2301,83.3000
66,33.2000,-93.1000,83.3000
67,32.9000,-94.5000,83.3000
68,32.6000,-95.9000,83.3000
69,32.6270,-91.4249,86.3000
70,-4.1790,-96.7790,86.3000
71,-5.0820,-91.8820,89.3000
72,-1.7000,-81.2000,89.5000
73,32.4575,-95.2221,89.3000
74,-4.9648,-91.7648,89.9000
