path_id,x,y,z
0,-20.9000,-52.1000,78.5000
1,-20.7872,-52.1492,78.7000
2,-27.1772,-52.2640,78.7000
3,-27.3000,-56.7000,78.7000
4,-30.7284,-55.3284,78.7000
5,-33.5672,-52.3788,78.7000
6,-34.2395,-51.2102,78.7000
7,-30.1000,-44.5000,78.7000
8,-1.7693,-49.6045,78.7000
9,0.5955,-55.2307,78.7000
10,1.7000,-56.1000,78.7000
11,15.4654,-59.3369,78.5000
12,19.7000,-52.9000,78.7000
13,20.3000,-52.9000,78.7000
14,24.1866,-53.4806,78.7000
15,25.5000,-53.9000,78.7000
16,32.7824,-55.4978,78.7000
17,34.3000,-55.3000,78.5000
18,39.5397,-56.2502,78.7000
19,40.5022,-56.6176,78.5000
20,47.9184,-57.4816,78.7000
21,50.3770,-57.8230,78.7000
22,51.2631,-58.0654,78.7000
23,51.7073,-58.2197,78.7000
24,55.1022,-59.0176,78.9000
25,56.5693,-59.6045,78.7000
26,58.1000,-59.3000,78.7000
27,59.5866,-59.4806,78.7000
28,65.5866,-60.4806,78.5000
29,72.1498,-63.5397,78.7000
30,67.3000,-72.7000,78.7000
31,67.5000,-72.3000,81.7000
32,69.3000,-61.9000,81.7000
33,67.3000,-61.1000,81.9000
34,65.3000,-60.5000,81.5000
35,57.0941,-59.3059,81.5000
36,53.1000,-58.3000,81.5000
37,52.2257,-58.4024,81.7000
38,44.6927,-57.4197,81.5000
39,43.7000,-56.9000,81.7000
40,39.3866,-55.8806,81.5000
41,34.5000,-55.1000,81.5000
42,28.3073,-54.2197,81.5000
43,25.0255,-53.1745,81.7000
44,23.9570,-52.7263,81.5000
45,22.9000,-52.7000,81.9000
46,20.1000,-53.3000,81.7000
47,17.4804,-54.1415,81.9000
48,15.4654,-59.9369,81.5000
49,15.5000,-60.1000,81.7000
50,16.6716,-62.9284,81.7000
51,0.4598,-51.7402,81.7000
52,-0.1887,-50.5887,81.7000
53,-8.1346,-55.7369,81.7000
54,-23.2230,-53.7770,81.7000
55,-27.2121,-53.9891,81.7000
56,-28.9000,-55.9000,81.7000
57,-31.2012,-54.2012,81.7000
58,-31.7651,-53.7838,81.9000
59,-32.1284,-53.5284,81.5000
60,-34.3000,-49.7000,81.5000
61,-31.6726,-44.5719,81.7000
62,-24.4574,-46.2574,81.9000
63,-23.0197,-48.0927,81.7000
64,-22.9263,-48.5570,84.7000
65,-23.9302,-46.9302,84.5000
66,-26.5866,-45.6806,84.7000
67,-27.5000,-45.7000,84.7000
68,-32.9000,-50.5000,84.5000
69,-32.4737,-52.2430,84.7000
70,-31.7651,-53.3838,84.9000
71,-30.0307,-54.5955,84.7000
72,-25.5693,-55.5955,84.7000
73,-24.1287,-54.4192,84.7000
74,-24.1097,-52.5676,84.7000
75,-7.7955,-57.2307,84.7000
76,-7.2355,-58.0355,84.5000
77,-5.6478,-58.6654,84.7000
78,-3.5000,-60.1000,84.7000
79,-6.8698,-52.1302,84.7000
80,0.1527,-57.7527,84.5000
81,0.7651,-53.6162,84.7000
82,23.1000,-52.1000,84.9000
83,26.1000,-52.7000,84.7000
84,21.4162,-63.5651,84.5000
85,22.2230,-63.5770,84.5000
86,38.4958,-65.6900,84.7000
87,39.1693,-66.1955,84.9000
88,42.2574,-67.5426,84.9000
89,48.1693,-67.5955,84.7000
90,52.7000,-68.5000,84.7000
91,61.1059,-69.8941,84.7000
92,63.3669,-70.1669,84.7000
93,64.7645,-70.8355,84.7000
94,69.6497,-71.4497,84.7000
95,71.8698,-70.2698,84.5000
96,73.1000,-66.1000,84.7000
97,71.8698,-63.9302,84.5000
98,71.3184,-63.4816,84.7000
99,40.9000,-55.7000,84.7000
100,40.2430,-67.2737,87.7000
101,70.1000,-62.1000,87.7000
102,70.7284,-63.6716,87.7000
103,63.7665,-71.0889,87.7000
104,53.9988,-69.6012,87.5000
105,48.7665,-68.6889,87.5000
106,37.1961,-67.2433,87.7000
107,20.3302,-52.1302,87.7000
108,1.6497,-60.6497,87.7000
109,-30.6698,-54.2698,87.5000
110,-30.5527,-54.3527,90.7000
111,-26.7000,-55.9000,90.7000
112,-22.9000,-56.7000,90.5000
113,-22.7000,-56.7000,90.7000
114,-18.9000,-57.3000,90.7000
115,-18.5000,-57.7000,90.7000
116,-16.6900,-57.9042,90.7000
117,-14.1000,-58.3000,90.7000
118,-10.7000,-58.9000,90.5000
119,-7.4900,-59.5042,90.7000
120,-1.1000,-60.3000,90.7000
121,1.3750,-60.7250,90.7000
122,3.8500,-61.1500,90.7000
123,6.3250,-61.5750,90.7000
124,11.2750,-62.4250,90.7000
125,13.7500,-62.8500,90.7000
126,16.2250,-63.2750,90.7000
127,18.7000,-63.7000,90.7000
128,36.7000,-66.9000,90.7000
129,43.5000,-67.9000,90.7000
