viewpoint_id,device,device_type,role,x,y,z,yaw_deg,pitch_deg,roll_deg,target_x,target_y,target_z,layer_k,component_id
0,shelf1,shelf,inspect_capture,-20.9000,-52.1000,78.5000,180.00,0.00,0.00,-27.1000,-52.1000,78.5000,17,1
1,shelf1,shelf,inspect_capture,-20.7872,-52.1492,78.7000,157.50,0.00,0.00,-26.7000,-49.7000,78.7000,18,2
2,shelf1,shelf,inspect_capture,-27.1772,-52.2640,78.7000,90.00,0.00,0.00,-26.9000,-49.7000,78.7000,18,2
3,shelf1,shelf,inspect_capture,-27.3000,-56.7000,78.7000,90.00,0.00,0.00,-27.3000,-52.7000,78.7000,18,1
4,shelf1,shelf,inspect_capture,-30.7284,-55.3284,78.7000,45.00,0.00,0.00,-27.9000,-52.5000,78.7000,18,1
5,shelf1,shelf,inspect_capture,-33.5672,-52.3788,78.7000,22.50,0.00,0.00,-27.1000,-49.7000,78.7000,18,2
6,shelf1,shelf,inspect_capture,-34.2395,-51.2102,78.7000,9.74,0.00,0.00,-30.1000,-50.5000,78.7000,18,0
7,shelf1,shelf,inspect_capture,-30.1000,-44.5000,78.7000,-90.00,0.00,0.00,-30.1000,-50.1000,78.7000,18,0
8,shelf1,shelf,inspect_capture,-1.7693,-49.6045,78.7000,-112.50,0.00,0.00,-3.3000,-53.3000,78.7000,18,4
9,shelf1,shelf,inspect_capture,0.5955,-55.2307,78.7000,157.50,0.00,0.00,-3.1000,-53.7000,78.7000,18,4
10,shelf1,shelf,inspect_capture,1.7000,-56.1000,78.7000,180.00,0.00,0.00,-3.5000,-56.1000,78.7000,18,3
11,shelf1,shelf,inspect_capture,15.4654,-59.3369,78.5000,22.50,0.00,0.00,19.9000,-57.5000,78.5000,17,6
12,shelf1,shelf,inspect_capture,19.7000,-52.9000,78.7000,-90.00,0.00,0.00,19.7000,-59.9000,78.7000,18,5
13,shelf1,shelf,inspect_capture,20.3000,-52.9000,78.7000,-90.00,0.00,0.00,20.3000,-57.3000,78.7000,18,6
14,shelf1,shelf,inspect_capture,24.1866,-53.4806,78.7000,-67.50,0.00,0.00,26.1000,-58.1000,78.7000,18,10
15,shelf1,shelf,inspect_capture,25.5000,-53.9000,78.7000,-90.00,0.00,0.00,25.5000,-60.9000,78.7000,18,9
16,shelf1,shelf,inspect_capture,32.7824,-55.4978,78.7000,-157.50,0.00,0.00,26.5000,-58.1000,78.7000,18,10
17,shelf1,shelf,inspect_capture,34.3000,-55.3000,78.5000,-90.00,0.00,0.00,34.3000,-62.3000,78.5000,17,15
18,shelf1,shelf,inspect_capture,39.5397,-56.2502,78.7000,-67.50,0.00,0.00,41.3000,-60.5000,78.7000,18,22
19,shelf1,shelf,inspect_capture,40.5022,-56.6176,78.5000,-112.50,0.00,0.00,37.9000,-62.9000,78.5000,17,17
20,shelf1,shelf,inspect_capture,47.9184,-57.4816,78.7000,-135.00,0.00,0.00,44.1000,-61.3000,78.7000,18,24
21,shelf1,shelf,inspect_capture,50.3770,-57.8230,78.7000,-135.00,0.00,0.00,46.7000,-61.5000,78.7000,18,26
22,shelf1,shelf,inspect_capture,51.2631,-58.0654,78.7000,-67.50,0.00,0.00,53.1000,-62.5000,78.7000,18,34
23,shelf1,shelf,inspect_capture,51.7073,-58.2197,78.7000,-112.50,0.00,0.00,50.1000,-62.1000,78.7000,18,29
24,shelf1,shelf,inspect_capture,55.1022,-59.0176,78.9000,-112.50,0.00,0.00,52.5000,-65.3000,78.9000,19,33
25,shelf1,shelf,inspect_capture,56.5693,-59.6045,78.7000,-67.50,0.00,0.00,58.1000,-63.3000,78.7000,18,36
26,shelf1,shelf,inspect_capture,58.1000,-59.3000,78.7000,-90.00,0.00,0.00,58.1000,-66.3000,78.7000,18,35
27,shelf1,shelf,inspect_capture,59.5866,-59.4806,78.7000,-67.50,0.00,0.00,61.5000,-64.1000,78.7000,18,44
28,shelf1,shelf,inspect_capture,65.5866,-60.4806,78.5000,-67.50,0.00,0.00,67.5000,-65.1000,78.5000,17,49
29,shelf1,shelf,inspect_capture,72.1498,-63.5397,78.7000,-157.50,0.00,0.00,67.9000,-65.3000,78.7000,18,49
30,shelf1,shelf,inspect_capture,67.3000,-72.7000,78.7000,90.00,0.00,0.00,67.3000,-68.7000,78.7000,18,48
31,shelf1,shelf,inspect_capture,67.5000,-72.3000,81.7000,90.00,0.00,0.00,67.5000,-66.3000,81.7000,33,37
32,shelf1,shelf,inspect_capture,69.3000,-61.9000,81.7000,-90.00,0.00,0.00,69.3000,-66.9000,81.7000,33,38
33,shelf1,shelf,inspect_capture,67.3000,-61.1000,81.9000,-90.00,0.00,0.00,67.3000,-67.5000,81.9000,34,36
34,shelf1,shelf,inspect_capture,65.3000,-60.5000,81.5000,-90.00,0.00,0.00,65.3000,-64.5000,81.5000,32,35
35,shelf1,shelf,inspect_capture,57.0941,-59.3059,81.5000,-135.00,0.00,0.00,53.7000,-62.7000,81.5000,32,28
36,shelf1,shelf,inspect_capture,53.1000,-58.3000,81.5000,-90.00,0.00,0.00,53.1000,-62.5000,81.5000,32,28
37,shelf1,shelf,inspect_capture,52.2257,-58.4024,81.7000,-112.50,0.00,0.00,49.7000,-64.5000,81.7000,33,25
38,shelf1,shelf,inspect_capture,44.6927,-57.4197,81.5000,-67.50,0.00,0.00,46.3000,-61.3000,81.5000,32,24
39,shelf1,shelf,inspect_capture,43.7000,-56.9000,81.7000,-90.00,0.00,0.00,43.7000,-63.7000,81.7000,33,21
40,shelf1,shelf,inspect_capture,39.3866,-55.8806,81.5000,-67.50,0.00,0.00,41.3000,-60.5000,81.5000,32,20
41,shelf1,shelf,inspect_capture,34.5000,-55.1000,81.5000,-90.00,0.00,0.00,34.5000,-59.3000,81.5000,32,15
42,shelf1,shelf,inspect_capture,28.3073,-54.2197,81.5000,-112.50,0.00,0.00,26.7000,-58.1000,81.5000,32,12
43,shelf1,shelf,inspect_capture,25.0255,-53.1745,81.7000,-135.00,0.00,0.00,20.5000,-57.7000,81.7000,33,8
44,shelf1,shelf,inspect_capture,23.9570,-52.7263,81.5000,-67.50,0.00,0.00,26.1000,-57.9000,81.5000,32,12
45,shelf1,shelf,inspect_capture,22.9000,-52.7000,81.9000,-90.00,0.00,0.00,22.9000,-59.7000,81.9000,34,10
