viewpoint_id,device,device_type,role,x,y,z,yaw_deg,pitch_deg,roll_deg,target_x,target_y,target_z,layer_k,component_id
0,shelf2,shelf,inspect_capture,31.1645,-148.2355,78.1000,45.00,0.00,0.00,34.7000,-144.7000,78.1000,18,38
23,shelf2,shelf,inspect_capture,18.5059,-145.8941,78.1000,45.00,0.00,0.00,21.9000,-142.5000,78.1000,18,25
26,shelf2,shelf,inspect_capture,12.6045,-143.0307,78.1000,22.50,0.00,0.00,16.3000,-141.5000,78.1000,18,19
40,shelf2,shelf,inspect_capture,-35.0941,-136.8941,78.1000,45.00,0.00,0.00,-31.7000,-133.5000,78.1000,18,11
25,shelf2,shelf,inspect_capture,16.8473,-145.5527,78.1000,45.00,0.00,0.00,20.1000,-142.3000,78.1000,18,24
37,shelf2,shelf,inspect_capture,-32.9527,-137.1527,78.1000,45.00,0.00,0.00,-29.7000,-133.9000,78.1000,18,12
10,shelf2,shelf,inspect_capture,48.1693,-151.1955,78.1000,67.50,0.00,0.00,49.7000,-147.5000,78.1000,18,48
21,shelf2,shelf,inspect_capture,20.3369,-146.5346,78.1000,112.50,0.00,0.00,18.5000,-142.1000,78.1000,18,21
12,shelf2,shelf,inspect_capture,42.3838,-149.9651,78.1000,112.50,0.00,0.00,40.7000,-145.9000,78.1000,18,40
11,shelf2,shelf,inspect_capture,44.9693,-150.5955,78.1000,67.50,0.00,0.00,46.5000,-146.9000,78.1000,18,44
8,shelf2,shelf,inspect_capture,52.7669,-151.7669,78.1000,135.00,0.00,0.00,48.1000,-147.1000,78.1000,18,46
35,shelf2,shelf,inspect_capture,-23.6230,-137.7770,78.1000,135.00,0.00,0.00,-27.3000,-134.1000,78.1000,18,13
39,shelf2,shelf,inspect_capture,-34.1022,-137.1824,78.3000,67.50,0.00,0.00,-31.5000,-130.9000,78.3000,19,10
31,shelf2,shelf,inspect_capture,-2.3651,-138.7838,78.3000,22.50,0.00,0.00,1.7000,-137.1000,78.3000,19,18
30,shelf2,shelf,inspect_capture,-2.1955,-140.4307,78.3000,22.50,0.00,0.00,1.5000,-138.9000,78.3000,19,17
27,shelf2,shelf,inspect_capture,11.8806,-141.6134,78.3000,22.50,0.00,0.00,16.5000,-139.7000,78.3000,19,20
44,shelf2,shelf,inspect_capture,-46.4355,-135.0355,78.3000,45.00,0.00,0.00,-42.9000,-131.5000,78.3000,19,1
7,shelf2,shelf,inspect_capture,55.3645,-152.4355,78.3000,45.00,0.00,0.00,58.9000,-148.9000,78.3000,19,54
34,shelf2,shelf,inspect_capture,-17.1498,-136.4603,78.3000,22.50,0.00,0.00,-12.9000,-134.7000,78.3000,19,16
14,shelf2,shelf,inspect_capture,35.5693,-148.9955,78.3000,67.50,0.00,0.00,37.1000,-145.3000,78.3000,19,39
18,shelf2,shelf,inspect_capture,29.9693,-147.9955,78.3000,67.50,0.00,0.00,31.5000,-144.3000,78.3000,19,34
4,shelf2,shelf,inspect_capture,59.1369,-153.1346,78.3000,112.50,0.00,0.00,57.3000,-148.7000,78.3000,19,53
17,shelf2,shelf,inspect_capture,33.3000,-148.7000,78.3000,90.00,0.00,0.00,33.3000,-144.7000,78.3000,19,36
15,shelf2,shelf,inspect_capture,35.3000,-148.9000,78.3000,90.00,0.00,0.00,35.3000,-144.9000,78.3000,19,38
16,shelf2,shelf,inspect_capture,34.5022,-148.7824,78.3000,112.50,0.00,0.00,31.9000,-142.5000,78.3000,19,35
22,shelf2,shelf,inspect_capture,19.7788,-146.3672,78.3000,112.50,0.00,0.00,17.1000,-139.9000,78.3000,19,20
9,shelf2,shelf,inspect_capture,50.1000,-151.5000,78.3000,90.00,0.00,0.00,50.1000,-147.5000,78.3000,19,48
19,shelf2,shelf,inspect_capture,29.6603,-147.9498,78.3000,112.50,0.00,0.00,27.9000,-143.7000,78.3000,19,30
29,shelf2,shelf,inspect_capture,3.6307,-142.7955,78.3000,112.50,0.00,0.00,2.1000,-139.1000,78.3000,19,17
5,shelf2,shelf,inspect_capture,57.3369,-152.7346,78.3000,112.50,0.00,0.00,55.5000,-148.3000,78.3000,19,51
3,shelf2,shelf,inspect_capture,67.4128,-149.7492,78.3000,157.50,0.00,0.00,61.5000,-147.3000,78.3000,19,56
32,shelf2,shelf,inspect_capture,-10.1570,-139.8737,78.3000,112.50,0.00,0.00,-12.3000,-134.7000,78.3000,19,16
41,shelf2,shelf,inspect_capture,-35.8331,-136.5669,78.3000,135.00,0.00,0.00,-40.5000,-131.9000,78.3000,19,3
38,shelf2,shelf,inspect_capture,-33.6917,-137.1083,78.3000,135.00,0.00,0.00,-38.5000,-132.3000,78.3000,19,7
36,shelf2,shelf,inspect_capture,-25.3845,-137.5415,78.3000,144.74,0.00,0.00,-31.1000,-133.5000,78.3000,19,11
42,shelf2,shelf,inspect_capture,-40.2257,-135.9976,78.3000,67.50,0.00,0.00,-37.7000,-129.9000,78.3000,19,5
2,shelf2,shelf,inspect_capture,67.3976,-146.1743,78.3000,-157.50,0.00,0.00,61.3000,-148.7000,78.3000,19,55
1,shelf2,shelf,inspect_capture,64.6698,-143.7302,78.3000,-135.00,0.00,0.00,61.7000,-146.7000,78.3000,19,56
46,shelf2,shelf,inspect_capture,-44.9196,-125.5415,78.3000,-67.50,0.00,0.00,-42.7000,-130.9000,78.3000,19,1
24,shelf2,shelf,inspect_capture,17.7743,-145.7976,78.5000,67.50,0.00,0.00,20.3000,-139.7000,78.5000,20,23
33,shelf2,shelf,inspect_capture,-16.1284,-139.3284,78.5000,45.00,0.00,0.00,-13.3000,-136.5000,78.5000,20,15
20,shelf2,shelf,inspect_capture,22.1059,-146.6941,78.5000,45.00,0.00,0.00,25.5000,-143.3000,78.5000,20,27
13,shelf2,shelf,inspect_capture,35.8328,-148.7788,78.5000,22.50,0.00,0.00,42.3000,-146.1000,78.5000,20,42
43,shelf2,shelf,inspect_capture,-46.0900,-135.3042,78.5000,67.50,0.00,0.00,-44.1000,-130.5000,78.5000,20,0
28,shelf2,shelf,inspect_capture,5.7527,-140.7527,78.5000,135.00,0.00,0.00,2.5000,-137.5000,78.5000,20,18
6,shelf2,shelf,inspect_capture,55.9743,-152.3976,78.5000,67.50,0.00,0.00,58.5000,-146.3000,78.5000,20,52
45,shelf2,shelf,inspect_capture,-48.3498,-128.3397,78.5000,-22.50,0.00,0.00,-44.1000,-130.1000,78.5000,20,0
49,shelf2,shelf,inspect_capture,-40.6162,-135.3651,81.1000,112.50,0.00,0.00,-42.3000,-131.3000,81.1000,33,0
58,shelf2,shelf,inspect_capture,-10.5693,-130.6045,81.1000,-112.50,0.00,0.00,-12.1000,-134.3000,81.1000,33,8
48,shelf2,shelf,inspect_capture,-48.3669,-135.1669,81.3000,45.00,0.00,0.00,-43.7000,-130.5000,81.3000,34,0
50,shelf2,shelf,inspect_capture,-33.6841,-136.8841,81.3000,45.00,0.00,0.00,-29.3000,-132.5000,81.3000,34,6
64,shelf2,shelf,inspect_capture,14.6230,-144.3770,81.3000,45.00,0.00,0.00,18.3000,-140.7000,81.3000,34,11
51,shelf2,shelf,inspect_capture,-31.5770,-137.3770,81.3000,45.00,0.00,0.00,-27.9000,-133.7000,81.3000,34,7
59,shelf2,shelf,inspect_capture,-1.1284,-141.5284,81.3000,45.00,0.00,0.00,1.7000,-138.7000,81.3000,34,9
65,shelf2,shelf,inspect_capture,18.5397,-145.5498,81.3000,67.50,0.00,0.00,20.3000,-141.3000,81.3000,34,12
