waypoint_id,x,y,z,source_viewpoint_id
0,31.1645,-148.2355,78.1000,0
1,64.6698,-143.7302,78.3000,1
2,67.3976,-146.1743,78.3000,2
3,67.4128,-149.7492,78.3000,3
4,59.1369,-153.1346,78.3000,4
5,57.3369,-152.7346,78.3000,5
6,55.9743,-152.3976,78.5000,6
7,55.3645,-152.4355,78.3000,7
8,52.7669,-151.7669,78.1000,8
9,50.1000,-151.5000,78.3000,9
10,48.1693,-151.1955,78.1000,10
11,44.9693,-150.5955,78.1000,11
12,42.3838,-149.9651,78.1000,12
13,35.8328,-148.7788,78.5000,13
14,35.5693,-148.9955,78.3000,14
15,35.3000,-148.9000,78.3000,15
16,34.5022,-148.7824,78.3000,16
17,33.3000,-148.7000,78.3000,17
18,29.9693,-147.9955,78.3000,18
19,29.6603,-147.9498,78.3000,19
20,22.1059,-146.6941,78.5000,20
21,20.3369,-146.5346,78.1000,21
22,19.7788,-146.3672,78.3000,22
23,18.5059,-145.8941,78.1000,23
24,17.7743,-145.7976,78.5000,24
25,16.8473,-145.5527,78.1000,25
26,12.6045,-143.0307,78.1000,26
27,11.8806,-141.6134,78.3000,27
28,5.7527,-140.7527,78.5000,28
29,3.6307,-142.7955,78.3000,29
30,-2.1955,-140.4307,78.3000,30
31,-2.3651,-138.7838,78.3000,31
32,-10.1570,-139.8737,78.3000,32
33,-16.1284,-139.3284,78.5000,33
34,-17.1498,-136.4603,78.3000,34
35,-23.6230,-137.7770,78.1000,35
36,-25.3845,-137.5415,78.3000,36
37,-32.9527,-137.1527,78.1000,37
38,-33.6917,-137.1083,78.3000,38
39,-34.1022,-137.1824,78.3000,39
40,-35.0941,-136.8941,78.1000,40
41,-35.8331,-136.5669,78.3000,41
42,-40.2257,-135.9976,78.3000,42
43,-46.0900,-135.3042,78.5000,43
44,-46.4355,-135.0355,78.3000,44
45,-48.3498,-128.3397,78.5000,45
46,-44.9196,-125.5415,78.3000,46
47,-45.9527,-126.4473,81.3000,47
48,-48.3669,-135.1669,81.3000,48
49,-40.6162,-135.3651,81.1000,49
50,-33.6841,-136.8841,81.3000,50
51,-31.5770,-137.3770,81.3000,51
52,-27.5907,-136.2038,81.3000,52
53,-24.7159,-136.8841,81.3000,53
54,-23.6045,-135.0307,81.3000,54
55,-21.5567,-134.3961,81.3000,55
56,-25.9693,-128.0045,81.3000,56
57,-19.3000,-134.9000,81.3000,57
58,-10.5693,-130.6045,81.1000,58
59,-1.1284,-141.5284,81.3000,59
60,3.9073,-133.0197,81.3000,60
61,6.1803,-139.5073,81.3000,61
62,10.5000,-139.5000,81.3000,62
63,12.6045,-142.4307,81.5000,63
64,14.6230,-144.3770,81.3000,64
65,18.5397,-145.5498,81.3000,65
66,54.9159,-152.0841,81.5000,66
67,66.4497,-153.4497,81.5000,67
68,63.9838,-143.8349,81.3000,68
69,64.1672,-144.2212,84.1000,69
70,63.3770,-143.6230,84.1000,70
71,62.8307,-143.6045,84.3000,71
72,59.1000,-142.9000,84.5000,72
73,57.3527,-142.6473,84.3000,73
74,56.1770,-142.4230,84.3000,74
75,53.3866,-142.0806,84.3000,75
76,51.7073,-141.8197,84.3000,76
77,54.6331,-152.9669,84.5000,77
78,53.6473,-152.7527,84.3000,78
79,47.9645,-152.2355,84.3000,79
80,46.1059,-151.8941,84.3000,80
81,45.4257,-151.1976,84.3000,81
82,40.2631,-151.3346,84.5000,82
83,39.7402,-151.2598,84.5000,83
84,35.5159,-150.6841,84.5000,84
85,34.9397,-150.3498,84.3000,85
86,33.2162,-149.9651,84.3000,86
87,42.0508,-139.9872,84.5000,87
88,40.5866,-139.6806,84.5000,88
89,40.5000,-139.7000,84.3000,89
90,37.1838,-139.0349,84.3000,90
91,35.6257,-139.0024,84.3000,91
92,33.0335,-138.1111,84.5000,92
93,31.1100,-138.0958,84.3000,93
94,27.7073,-137.6197,84.1000,94
95,26.7184,-137.2816,84.3000,95
96,25.9866,-137.2806,84.3000,96
97,22.3000,-136.7000,84.5000,97
98,20.5000,-136.3000,84.3000,98
99,18.7000,-136.1000,84.5000,99
100,18.3000,-135.7000,84.3000,100
101,28.6574,-149.7426,84.3000,101
102,28.0257,-149.7976,84.5000,102
103,27.0212,-149.3672,84.3000,103
104,24.9402,-148.8598,84.1000,104
105,20.7745,-148.2255,84.5000,105
106,18.0230,-147.5770,84.3000,106
107,16.4162,-147.3651,84.5000,107
108,14.7263,-145.4430,84.3000,108
109,14.3402,-145.0598,84.3000,109
110,-7.6917,-140.7083,84.3000,110
111,-16.4941,-139.2941,84.1000,111
112,-11.1693,-130.8045,84.3000,112
113,-23.8473,-128.8473,84.3000,113
114,-28.5949,-127.9643,84.5000,114
115,-29.2230,-128.0230,84.3000,115
116,-29.5000,-127.9000,84.5000,116
117,-30.9570,-127.7263,84.5000,117
118,-36.7000,-126.7000,84.3000,118
119,-37.5560,-126.3634,84.3000,119
120,-42.1000,-125.5000,84.3000,120
121,-46.6281,-128.1274,84.3000,121
122,-47.1498,-128.3397,84.3000,122
123,-45.7194,-134.4134,84.5000,123
124,-38.9665,-138.6889,84.5000,124
125,-35.8012,-138.6012,84.1000,125
126,-33.9426,-139.1426,84.1000,126
127,-26.6039,-138.4433,84.5000,127
128,-25.3693,-128.8045,87.5000,128
129,-32.2255,-127.9745,87.3000,129
130,-45.3284,-127.2716,87.3000,130
131,-43.6142,-129.7142,87.3000,131
132,-45.3284,-133.5284,87.3000,132
133,-16.0698,-138.6698,87.5000,133
134,-12.7000,-130.9000,87.3000,134
135,-5.8176,-132.4978,87.3000,135
136,-1.5527,-141.3527,87.5000,136
137,6.5598,-138.5071,87.3000,137
138,5.9527,-134.2473,87.3000,138
139,7.1669,-142.7669,87.3000,139
140,13.5302,-143.6698,87.3000,140
141,17.0707,-140.3293,87.3000,141
142,16.7000,-136.1000,87.3000,142
143,32.1000,-138.5000,87.3000,143
144,47.8307,-141.4045,87.3000,144
145,50.3527,-142.0473,87.3000,145
146,62.7073,-143.8197,87.3000,146
147,65.1955,-149.6307,87.3000,147
148,64.1803,-150.9073,90.3000,148
149,64.3284,-151.1284,90.3000,149
150,60.5343,-151.6941,90.3000,150
151,56.7402,-152.2598,90.3000,151
152,53.9000,-149.7000,90.5000,152
153,50.5042,-148.6900,90.3000,153
154,48.9770,-150.7770,90.3000,154
155,-40.5693,-126.2045,90.3000,155
156,-46.1955,-133.6307,90.5000,156
157,-45.9527,-133.9527,90.3000,157
158,-42.3000,-133.9527,90.3000,158
159,-38.1000,-132.1000,90.5000,159
160,-32.1803,-136.7073,90.3000,160
161,-24.2045,-136.2307,90.1000,161
162,13.2340,-137.7906,90.3000,162
163,12.8045,-142.0307,90.3000,163
164,12.9000,-142.3000,90.3000,164
165,14.0716,-145.9284,90.3000,165
166,16.0620,-144.0446,90.3000,166
167,17.5858,-144.3142,90.3000,167
168,19.3196,-146.0585,90.3000,168
169,21.1000,-142.7000,90.3000,169
170,27.2230,-140.8230,90.1000,170
171,29.4804,-139.3415,90.1000,171
172,26.1000,-144.9000,90.3000,172
173,25.5000,-145.1000,90.1000,173
174,28.7302,-148.4698,90.3000,174
175,36.0889,-146.7665,90.1000,175
176,35.9000,-145.3000,90.3000,176
177,41.6197,-144.8927,90.3000,177
178,42.8230,-143.0230,90.1000,178
179,46.0619,-146.7913,90.3000,179
180,56.9302,-146.5302,90.5000,180
