path_id,x,y,z
0,37.1000,-76.2000,77.5000
1,36.7000,-76.4000,77.5000
2,39.4590,-77.3225,77.5000
3,41.8180,-78.4450,77.5000
4,44.1770,-79.5675,77.5000
5,46.5360,-80.6900,77.5000
6,65.2727,-74.1455,77.7000
7,65.3189,-73.7876,77.9000
8,64.7364,-69.6004,77.7000
9,64.2002,-65.0552,77.7000
10,63.6640,-60.5100,77.7000
11,49.5000,-57.8000,77.9000
12,42.5000,-75.8000,77.5000
13,15.3000,-59.2000,77.5000
14,0.7455,-55.3273,77.5000
15,-11.6986,-54.7578,77.5000
16,-14.9360,-54.1100,77.7000
17,-17.4221,-53.9425,77.7000
18,-27.5031,-61.9925,77.5000
19,-23.7000,-64.6000,77.5000
20,-20.5000,-64.8000,77.7000
21,-19.9925,-64.9031,77.5000
22,-17.3000,-65.4000,77.5000
23,-16.1000,-65.8000,77.5000
24,-14.5455,-66.0727,77.7000
25,-12.6577,-67.6577,77.5000
26,-5.6344,-69.3357,77.7000
27,-1.7000,-70.0000,77.5000
28,28.5000,-54.4000,80.7000
