viewpoint_id,device,device_type,role,x,y,z,yaw_deg,pitch_deg,roll_deg,target_x,target_y,target_z,layer_k,component_id
0,tube1,tube,inspect_capture,37.1000,-76.2000,77.5000,90.00,0.00,0.00,37.1000,-70.9000,77.5000,15,0
1,tube1,tube,inspect_capture,36.7000,-76.4000,77.5000,90.00,0.00,0.00,36.7000,-72.5000,77.5000,15,6
2,tube1,tube,inspect_capture,39.4590,-77.3225,77.5000,84.38,0.00,0.00,40.1000,-71.8000,77.5000,15,0
3,tube1,tube,inspect_capture,41.8180,-78.4450,77.5000,78.75,0.00,0.00,43.1000,-72.7000,77.5000,15,0
4,tube1,tube,inspect_capture,44.1770,-79.5675,77.5000,73.12,0.00,0.00,46.1000,-73.6000,77.5000,15,0
5,tube1,tube,inspect_capture,46.5360,-80.6900,77.5000,67.50,0.00,0.00,49.1000,-74.5000,77.5000,15,0
6,tube1,tube,inspect_capture,65.2727,-74.1455,77.7000,157.50,0.00,0.00,61.3000,-72.5000,77.7000,16,0
7,tube1,tube,inspect_capture,65.3189,-73.7876,77.9000,169.56,0.00,0.00,60.5000,-72.9000,77.9000,17,0
8,tube1,tube,inspect_capture,64.7364,-69.6004,77.7000,67.50,0.00,0.00,61.2333,-70.5667,77.7000,16,0
9,tube1,tube,inspect_capture,64.2002,-65.0552,77.7000,-22.50,0.00,0.00,61.1667,-68.6333,77.7000,16,0
10,tube1,tube,inspect_capture,63.6640,-60.5100,77.7000,-112.50,0.00,0.00,61.1000,-66.7000,77.7000,16,0
11,tube1,tube,inspect_capture,49.5000,-57.8000,77.9000,-90.00,0.00,0.00,49.5000,-64.7000,77.9000,17,0
12,tube1,tube,inspect_capture,42.5000,-75.8000,77.5000,90.00,0.00,0.00,42.5000,-71.9000,77.5000,15,0
13,tube1,tube,inspect_capture,15.3000,-59.2000,77.5000,-90.00,0.00,0.00,15.3000,-63.3000,77.5000,15,0
14,tube1,tube,inspect_capture,0.7455,-55.3273,77.5000,-112.50,0.00,0.00,-0.9000,-59.3000,77.5000,15,0
15,tube1,tube,inspect_capture,-11.6986,-54.7578,77.5000,-67.50,0.00,0.00,-9.9000,-59.1000,77.5000,15,0
16,tube1,tube,inspect_capture,-14.9360,-54.1100,77.7000,-112.50,0.00,0.00,-17.5000,-60.3000,77.7000,16,0
17,tube1,tube,inspect_capture,-17.4221,-53.9425,77.7000,-67.50,0.00,0.00,-15.7000,-58.1000,77.7000,16,0
18,tube1,tube,inspect_capture,-27.5031,-61.9925,77.5000,22.50,0.00,0.00,-23.9000,-60.5000,77.5000,15,0
19,tube1,tube,inspect_capture,-23.7000,-64.6000,77.5000,90.00,0.00,0.00,-23.7000,-60.7000,77.5000,15,0
20,tube1,tube,inspect_capture,-20.5000,-64.8000,77.7000,90.00,0.00,0.00,-20.5000,-58.5000,77.7000,16,0
21,tube1,tube,inspect_capture,-19.9925,-64.9031,77.5000,67.50,0.00,0.00,-18.5000,-61.3000,77.5000,15,0
22,tube1,tube,inspect_capture,-17.3000,-65.4000,77.5000,90.00,0.00,0.00,-17.3000,-61.5000,77.5000,15,0
23,tube1,tube,inspect_capture,-16.1000,-65.8000,77.5000,90.00,0.00,0.00,-16.1000,-59.3000,77.5000,15,0
24,tube1,tube,inspect_capture,-14.5455,-66.0727,77.7000,67.50,0.00,0.00,-12.9000,-62.1000,77.7000,16,0
25,tube1,tube,inspect_capture,-12.6577,-67.6577,77.5000,45.00,0.00,0.00,-9.9000,-64.9000,77.5000,15,1
26,tube1,tube,inspect_capture,-5.6344,-69.3357,77.7000,67.50,0.00,0.00,-3.3000,-63.7000,77.7000,16,0
27,tube1,tube,inspect_capture,-1.7000,-70.0000,77.5000,90.00,0.00,0.00,-1.7000,-66.1000,77.5000,15,2
28,tube1,tube,inspect_capture,28.5000,-54.4000,80.7000,-90.00,0.00,0.00,28.5000,-61.3000,80.7000,31,2
