path_id,x,y,z
0,-41.6879,-122.7310,77.5000
1,-41.8000,-121.9000,77.5000
2,-41.8026,-122.2069,77.6663
3,-41.8026,-122.2069,77.9663
4,-41.8026,-122.2069,78.2663
5,-41.5026,-122.2069,78.5663
6,-41.5026,-122.2069,78.8663
7,-41.5026,-122.2069,79.1663
8,-41.2026,-122.5069,79.4663
9,-40.9026,-122.8069,79.7663
10,-40.6026,-123.1069,80.0663
11,-40.3026,-123.1069,80.3663
12,-40.0026,-123.4069,80.6663
13,-39.7026,-123.4069,80.9663
14,-39.4026,-123.4069,81.2663
15,-39.1026,-123.4069,81.2663
16,-38.8026,-123.4069,81.5663
17,-38.5026,-123.4069,81.5663
18,-38.2026,-123.4069,81.5663
19,-37.9026,-123.4069,81.5663
20,-37.6026,-123.4069,81.5663
21,-37.3026,-123.4069,81.5663
22,-37.0026,-123.7069,81.5663
23,-36.7026,-123.7069,81.5663
24,-36.4026,-123.7069,81.5663
25,-36.1026,-123.7069,81.5663
26,-35.8026,-123.7069,81.5663
27,-35.5026,-123.7069,81.5663
28,-35.2026,-123.7069,81.5663
29,-34.9026,-123.7069,81.5663
30,-34.6026,-123.7069,81.5663
31,-34.3026,-123.7069,81.5663
32,-34.0026,-123.7069,81.5663
33,-33.7026,-123.7069,81.5663
34,-33.4026,-123.7069,81.5663
35,-33.1026,-124.0069,81.8663
36,-32.8026,-124.0069,81.8663
37,-32.5026,-124.0069,81.8663
38,-32.2026,-124.3069,81.8663
39,-31.9026,-124.3069,81.8663
40,-31.6026,-124.3069,81.8663
41,-31.3026,-124.3069,81.8663
42,-31.0026,-124.3069,81.8663
43,-30.7026,-124.3069,81.8663
44,-30.4026,-124.3069,81.8663
45,-30.1026,-124.3069,81.8663
46,-29.8026,-124.3069,81.8663
47,-29.5026,-124.3069,81.8663
48,-29.2026,-124.3069,81.8663
49,-28.9026,-124.3069,81.8663
50,-28.6026,-124.0069,81.5663
51,-28.3026,-123.7069,81.5663
52,-28.0026,-123.7069,81.5663
53,-27.7026,-123.4069,81.5663
54,-27.4026,-123.1069,81.2663
55,-27.1026,-122.8069,80.9663
56,-26.8026,-122.5069,80.6663
57,-26.8026,-122.2069,80.6663
58,-26.5026,-121.9069,80.3663
59,-26.5026,-121.6069,80.3663
60,-26.5026,-121.3069,80.0663
61,-26.5026,-121.0069,79.7663
62,-26.5026,-120.7069,79.4663
63,-26.8026,-120.4069,79.1663
64,-26.8026,-120.1069,78.8663
65,-27.1026,-119.8069,78.5663
66,-27.1026,-119.8069,78.2663
67,-27.4026,-119.8069,77.9663
68,-27.7026,-119.5069,77.6663
69,-26.5656,-119.8643,77.5000
70,-26.2026,-119.8069,77.3663
71,-25.9026,-119.8069,77.3663
72,-25.6026,-120.1069,77.3663
73,-25.3026,-120.1069,77.3663
74,-25.0026,-120.4069,77.3663
75,-24.7026,-120.7069,77.3663
76,-24.4026,-121.0069,77.3663
77,-24.1026,-121.3069,77.3663
78,-23.8026,-121.6069,77.3663
79,-23.5026,-121.6069,77.3663
80,-23.2026,-121.3069,77.0663
81,-22.9026,-121.3069,77.0663
82,-22.6026,-121.0069,76.7663
83,-22.3026,-120.7069,76.7663
84,-22.0026,-120.4069,76.7663
85,-21.7026,-120.1069,76.7663
86,-21.4026,-119.8069,76.7663
87,-21.1026,-119.8069,76.7663
88,-20.8026,-119.8069,76.7663
89,-20.5026,-119.8069,76.7663
90,-20.2026,-119.8069,76.7663
91,-19.9026,-119.8069,76.7663
92,-19.6026,-120.1069,76.7663
93,-19.3026,-120.4069,76.7663
94,-19.0026,-120.7069,76.7663
95,-18.7026,-121.0069,76.7663
96,-18.4026,-121.3069,76.7663
97,-18.1026,-121.6069,76.7663
98,-17.8026,-121.9069,76.7663
99,-17.5026,-121.9069,76.7663
