mission_waypoint_id,role,device,device_type,region,device_order_index,x,y,z,yaw_deg,pitch_deg,roll_deg,target_x,target_y,target_z,source_phase2_viewpoint_id,source_phase2_row_index
0,home_start,home,home,home,-1,58.0974,-129.4069,76.7663,0.00,0.00,0.00,58.0974,-129.4069,76.7663,-1,-1
1,inspect_capture,shelf3,shelf,region_shelf2_tube2_shelf3,0,-3.1000,-118.7000,78.3000,-90.00,0.00,0.00,-3.1000,-122.9000,78.3000,0,0
2,inspect_capture,shelf3,shelf,region_shelf2_tube2_shelf3,0,-11.7000,-123.1000,78.5000,0.00,0.00,0.00,-7.3000,-123.1000,78.5000,1,1
3,inspect_capture,shelf3,shelf,region_shelf2_tube2_shelf3,0,-11.7824,-121.6978,78.5000,-22.50,0.00,0.00,-5.5000,-124.3000,78.5000,2,2
4,inspect_capture,shelf3,shelf,region_shelf2_tube2_shelf3,0,-6.7073,-118.4197,78.5000,-67.50,0.00,0.00,-5.1000,-122.3000,78.5000,3,3
5,inspect_capture,shelf3,shelf,region_shelf2_tube2_shelf3,0,2.8134,-119.0806,78.5000,-112.50,0.00,0.00,0.9000,-123.7000,78.5000,6,6
6,inspect_capture,shelf3,shelf,region_shelf2_tube2_shelf3,0,9.7000,-120.7000,78.5000,-90.00,0.00,0.00,9.7000,-124.7000,78.5000,8,8
7,inspect_capture,shelf3,shelf,region_shelf2_tube2_shelf3,0,13.4603,-121.0502,78.3000,-112.50,0.00,0.00,11.7000,-125.3000,78.3000,9,9
8,inspect_capture,shelf3,shelf,region_shelf2_tube2_shelf3,0,21.4585,-123.8804,78.7000,-157.50,0.00,0.00,16.1000,-126.1000,78.7000,14,14
9,inspect_capture,shelf3,shelf,region_shelf2_tube2_shelf3,0,21.4598,-123.9402,81.5000,-135.00,0.00,0.00,17.5000,-127.9000,81.5000,16,16
10,inspect_capture,shelf3,shelf,region_shelf2_tube2_shelf3,0,13.0113,-121.9887,81.5000,-135.00,0.00,0.00,9.9000,-125.1000,81.5000,18,18
11,inspect_capture,shelf3,shelf,region_shelf2_tube2_shelf3,0,11.5665,-121.3111,81.7000,-112.50,0.00,0.00,9.5000,-126.3000,81.7000,19,19
12,inspect_capture,shelf3,shelf,region_shelf2_tube2_shelf3,0,7.9693,-121.2045,81.3000,-67.50,0.00,0.00,9.5000,-124.9000,81.3000,20,20
13,inspect_capture,shelf3,shelf,region_shelf2_tube2_shelf3,0,6.5770,-121.6230,81.7000,-135.00,0.00,0.00,2.9000,-125.3000,81.7000,21,21
