waypoint_id,x,y,z
0,58.0974,-129.4069,76.7663
1,-3.1000,-118.7000,78.3000
2,-11.7000,-123.1000,78.5000
3,-11.7824,-121.6978,78.5000
4,-6.7073,-118.4197,78.5000
5,2.8134,-119.0806,78.5000
6,9.7000,-120.7000,78.5000
7,13.4603,-121.0502,78.3000
8,21.4585,-123.8804,78.7000
9,21.4598,-123.9402,81.5000
10,13.0113,-121.9887,81.5000
11,11.5665,-121.3111,81.7000
12,7.9693,-121.2045,81.3000
13,6.5770,-121.6230,81.7000
14,4.6307,-119.8045,81.3000
15,3.4255,-119.5745,81.3000
16,-1.7426,-119.2574,81.5000
17,-6.7073,-118.6197,81.5000
18,-8.2307,-119.2045,81.5000
19,-10.8585,-121.6804,81.7000
20,-8.2307,-123.2000,81.5000
21,-10.6585,-125.1196,81.5000
22,-9.7284,-126.3284,81.5000
23,-8.3284,-127.3284,81.5000
24,5.7284,-128.5284,81.5000
25,7.7693,-130.7955,81.5000
26,7.6230,-130.1770,84.5000
27,21.9498,-125.7397,84.7000
28,14.1302,-130.8698,84.3000
29,9.8230,-130.5770,84.5000
30,6.4716,-129.5284,84.3000
31,-0.9402,-128.0598,84.5000
32,-7.3073,-127.5803,84.5000
33,-8.9284,-126.5284,84.5000
34,-10.3000,-122.9000,84.5000
35,-8.5284,-126.9284,87.3000
36,15.1693,-131.3955,87.5000
37,10.4927,-130.7803,87.5000
38,7.5000,-130.3000,87.3000
39,3.3000,-129.5000,87.5000
40,2.5955,-126.2935,87.3000
41,-7.2134,-118.2806,87.3000
42,-9.1955,-125.2307,90.5000
43,-5.1000,-127.9000,90.5000
44,-3.4927,-127.5803,93.5000
45,-0.7000,-123.5000,93.5000
46,-8.1284,-120.4716,93.5000
47,-9.5000,-123.7000,93.7000
48,-9.5000,-123.5000,96.5000
49,-8.1284,-126.7284,96.5000
50,-1.0197,-125.3073,96.5000
51,-3.5693,-119.6045,96.5000
52,-2.0716,-120.6716,99.5000
53,-5.1000,-123.7000,99.5000
54,-1.2045,-125.2307,99.3000
55,-8.1284,-126.7284,99.5000
56,-8.1284,-120.6716,99.5000
57,-41.6879,-122.7310,77.5000
58,-27.8075,-119.4969,77.7000
59,-26.5656,-119.8643,77.5000
60,-23.6249,-121.5730,77.5000
61,-15.1281,-123.1281,77.5000
62,-13.3779,-123.7425,77.5000
63,-19.5000,-131.8000,77.5000
64,-17.4221,-132.8575,77.5000
65,-16.7874,-134.3052,77.5000
66,7.6969,-138.1925,77.5000
67,24.8376,-126.7624,77.7000
68,53.1000,-133.4000,77.5000
69,59.1000,-134.2000,77.5000
70,63.4422,-139.3014,77.5000
71,63.2000,-141.9000,77.7000
72,65.0000,-144.1000,77.7000
73,31.1645,-148.2355,78.1000
74,64.6698,-143.7302,78.3000
75,67.3976,-146.1743,78.3000
76,67.4128,-149.7492,78.3000
77,59.1369,-153.1346,78.3000
78,57.3369,-152.7346,78.3000
79,55.9743,-152.3976,78.5000
80,52.7669,-151.7669,78.1000
81,50.1000,-151.5000,78.3000
82,35.8328,-148.7788,78.5000
83,34.5022,-148.7824,78.3000
84,22.1059,-146.6941,78.5000
85,20.3369,-146.5346,78.1000
86,16.8473,-145.5527,78.1000
87,12.6045,-143.0307,78.1000
88,11.8806,-141.6134,78.3000
89,5.7527,-140.7527,78.5000
90,3.6307,-142.7955,78.3000
91,-2.1955,-140.4307,78.3000
92,-2.3651,-138.7838,78.3000
93,-10.1570,-139.8737,78.3000
94,-16.1284,-139.3284,78.5000
95,-17.1498,-136.4603,78.3000
96,-23.6230,-137.7770,78.1000
97,-25.3845,-137.5415,78.3000
98,-32.9527,-137.1527,78.1000
99,-34.1022,-137.1824,78.3000
100,-35.0941,-136.8941,78.1000
101,-46.0900,-135.3042,78.5000
102,-48.3498,-128.3397,78.5000
103,-44.9196,-125.5415,78.3000
104,-45.9527,-126.4473,81.3000
105,-48.3669,-135.1669,81.3000
106,-40.6162,-135.3651,81.1000
107,-31.5770,-137.3770,81.3000
108,-27.5907,-136.2038,81.3000
109,-24.7159,-136.8841,81.3000
110,-23.6045,-135.0307,81.3000
111,-21.5567,-134.3961,81.3000
112,-25.9693,-128.0045,81.3000
113,-19.3000,-134.9000,81.3000
114,-10.5693,-130.6045,81.1000
115,-1.1284,-141.5284,81.3000
116,3.9073,-133.0197,81.3000
117,6.1803,-139.5073,81.3000
118,10.5000,-139.5000,81.3000
119,12.6045,-142.4307,81.5000
120,14.6230,-144.3770,81.3000
121,66.4497,-153.4497,81.5000
122,63.9838,-143.8349,81.3000
123,64.1672,-144.2212,84.1000
124,63.3770,-143.6230,84.1000
125,59.1000,-142.9000,84.5000
126,51.7073,-141.8197,84.3000
127,54.6331,-152.9669,84.5000
128,53.6473,-152.7527,84.3000
129,46.1059,-151.8941,84.3000
130,45.4257,-151.1976,84.3000
131,40.2631,-151.3346,84.5000
132,35.5159,-150.6841,84.5000
133,33.2162,-149.9651,84.3000
134,42.0508,-139.9872,84.5000
135,37.1838,-139.0349,84.3000
136,33.0335,-138.1111,84.5000
137,27.7073,-137.6197,84.1000
138,26.7184,-137.2816,84.3000
139,20.5000,-136.3000,84.3000
140,18.7000,-136.1000,84.5000
141,28.6574,-149.7426,84.3000
142,24.9402,-148.8598,84.1000
143,20.7745,-148.2255,84.5000
144,18.0230,-147.5770,84.3000
145,16.4162,-147.3651,84.5000
146,14.7263,-145.4430,84.3000
147,-16.4941,-139.2941,84.1000
148,-11.1693,-130.8045,84.3000
149,-36.7000,-126.7000,84.3000
150,-37.5560,-126.3634,84.3000
151,-42.1000,-125.5000,84.3000
152,-46.6281,-128.1274,84.3000
153,-45.7194,-134.4134,84.5000
154,-38.9665,-138.6889,84.5000
155,-35.8012,-138.6012,84.1000
156,-33.9426,-139.1426,84.1000
157,-26.6039,-138.4433,84.5000
158,-25.3693,-128.8045,87.5000
159,-45.3284,-127.2716,87.3000
160,-43.6142,-129.7142,87.3000
161,-45.3284,-133.5284,87.3000
162,-16.0698,-138.6698,87.5000
163,-12.7000,-130.9000,87.3000
164,-5.8176,-132.4978,87.3000
165,-1.5527,-141.3527,87.5000
166,6.5598,-138.5071,87.3000
167,5.9527,-134.2473,87.3000
168,7.1669,-142.7669,87.3000
169,13.5302,-143.6698,87.3000
170,17.0707,-140.3293,87.3000
171,16.7000,-136.1000,87.3000
172,62.7073,-143.8197,87.3000
173,65.1955,-149.6307,87.3000
174,64.1803,-150.9073,90.3000
175,56.7402,-152.2598,90.3000
176,53.9000,-149.7000,90.5000
177,50.5042,-148.6900,90.3000
178,48.9770,-150.7770,90.3000
179,-40.5693,-126.2045,90.3000
180,-46.1955,-133.6307,90.5000
181,-42.3000,-133.9527,90.3000
182,-38.1000,-132.1000,90.5000
183,-32.1803,-136.7073,90.3000
184,13.2340,-137.7906,90.3000
185,12.8045,-142.0307,90.3000
186,14.0716,-145.9284,90.3000
187,16.0620,-144.0446,90.3000
188,17.5858,-144.3142,90.3000
189,19.3196,-146.0585,90.3000
190,21.1000,-142.7000,90.3000
191,27.2230,-140.8230,90.1000
192,29.4804,-139.3415,90.1000
193,26.1000,-144.9000,90.3000
194,28.7302,-148.4698,90.3000
195,36.0889,-146.7665,90.1000
196,35.9000,-145.3000,90.3000
197,41.6197,-144.8927,90.3000
198,42.8230,-143.0230,90.1000
199,46.0619,-146.7913,90.3000
200,56.9302,-146.5302,90.5000
201,59.3693,-143.8045,90.3000
202,60.3000,-143.5000,90.1000
203,65.1955,-146.1693,90.3000
204,65.1803,-146.2927,93.3000
205,62.8307,-151.9955,93.3000
206,57.2230,-151.9770,93.1000
207,57.2045,-146.3693,93.3000
208,21.1000,-140.1000,93.3000
209,16.9000,-145.9000,93.3000
210,12.8045,-141.8307,93.1000
211,-40.0804,-136.0585,93.5000
212,-44.0307,-126.4045,93.3000
213,-40.7693,-126.4045,96.3000
214,-46.3955,-132.0307,96.1000
215,-38.4045,-128.5693,96.5000
216,13.0045,-141.8307,96.3000
217,14.1869,-143.0131,96.3000
218,16.9000,-135.7000,96.3000
219,21.5000,-140.3000,96.3000
220,56.9000,-148.1000,96.3000
221,59.5693,-151.9955,96.3000
222,62.4346,-150.0478,96.3000
223,59.5693,-151.9955,99.3000
224,58.2716,-151.1284,99.9000
225,64.9955,-146.5693,100.1000
226,61.1000,-143.9000,99.3000
227,21.1651,-138.6162,99.3000
228,16.9000,-144.5000,99.1000
229,-38.3000,-130.3000,100.1000
230,-41.1654,-132.2478,99.3000
