path_id,x,y,z
0,58.0974,-129.4069,76.7663
1,15.4974,-120.4069,76.7663
2,10.0974,-121.0069,81.8663
3,3.7974,-119.5069,81.2663
4,-5.5026,-118.3069,81.5663
5,-8.5026,-119.2069,81.5663
6,-9.1026,-119.5069,81.5663
7,-10.9026,-121.3069,81.5663
8,-12.8334,-123.8456,84.9153
9,-8.4629,-126.7996,94.1818
10,-36.4026,-123.7069,81.5663
11,-30.7026,-124.3069,81.8663
12,13.3974,-132.7069,83.0663
13,19.3974,-131.8069,83.9663
14,21.1974,-130.0069,85.7663
15,23.2974,-127.9069,85.7663
16,24.1974,-126.7069,84.8663
17,24.7974,-126.1069,84.2663
18,28.9974,-124.9069,77.3663
19,31.3974,-124.3069,77.3663
20,33.4974,-124.3069,77.3663
21,41.5974,-125.5069,77.3663
22,60.1974,-134.5069,78.5663
23,61.6974,-136.0069,80.0663
24,61.6974,-137.2069,80.6663
25,61.9974,-138.1069,80.6663
26,65.2445,-144.0157,77.5221
27,66.7974,-145.9069,76.7663
28,67.0974,-147.7069,76.7663
29,67.0974,-149.2069,76.7663
30,66.4974,-150.4069,76.7663
31,64.3974,-153.4069,77.6663
32,59.2974,-153.4069,77.9663
33,-13.9026,-140.5069,78.2663
34,-22.6143,-135.2442,81.2205
35,-18.1026,-133.6069,80.9663
36,-15.1026,-130.9069,80.9663
37,-13.9026,-130.3069,81.2663
38,-11.2026,-130.3069,81.2663
39,-10.0026,-130.9069,80.9663
40,-6.4026,-134.5069,80.9663
41,-6.4026,-135.4069,80.9663
42,-5.8026,-136.3069,80.9663
43,-0.4026,-142.0069,81.2663
44,0.7974,-142.6069,81.2663
45,28.6974,-148.0069,81.2663
46,56.2974,-152.8069,82.1663
47,41.5974,-151.9069,83.9663
48,19.6974,-148.3069,84.5663
49,-13.6607,-140.1498,84.0905
50,-25.6257,-140.1422,83.9284
51,-16.0026,-138.7069,87.8663
52,-16.9026,-137.8069,88.7663
53,-16.9026,-137.5069,89.0663
54,-16.9026,-137.2069,89.3663
55,-16.9026,-136.9069,89.6663
56,-16.9026,-135.7069,90.2663
57,-16.9026,-133.6069,90.2663
58,-16.3026,-132.7069,89.6663
59,-16.0026,-132.4069,89.6663
60,-15.4026,-131.8069,89.0663
61,-14.8026,-131.5069,88.4663
62,-12.7026,-130.9069,87.2663
63,45.5143,-136.9132,87.3358
64,-42.7026,-125.8069,90.2663
65,-43.9026,-126.1069,90.2663
66,-44.5026,-126.4069,90.2663
67,-46.0026,-127.9069,90.2663
68,-46.6026,-129.1069,90.2663
69,-46.6026,-133.3069,90.2663
70,-46.3026,-133.6069,90.5663
71,-42.3000,-133.9527,90.3000
72,-38.1000,-132.1000,90.5000
73,-33.4228,-136.9509,92.3562
74,-30.4026,-138.1069,93.2663
75,-30.1026,-138.1069,93.5663
76,-29.5026,-138.1069,93.8663
77,13.9974,-145.9069,90.2663
78,16.0620,-144.0446,90.3000
79,17.5858,-144.3142,90.3000
80,19.3196,-146.0585,90.3000
81,30.7974,-149.5069,90.2663
82,32.8974,-149.5069,90.2663
83,42.1974,-143.5069,93.2663
84,32.2974,-140.8069,93.2663
85,20.8974,-141.7069,93.2663
86,20.5974,-142.6069,93.2663
87,20.6621,-144.3802,94.1628
88,20.2382,-145.6415,94.1272
89,-22.0026,-140.8069,93.2663
90,60.2159,-152.0586,99.7620
91,62.2974,-152.2069,99.8663
92,63.4974,-151.6069,99.8663
