path_id,x,y,z
0,-45.7026,-110.8069,76.7663
1,-45.5226,-110.4469,77.2463
2,-45.4026,-110.3269,77.6663
3,-45.1626,-110.2069,78.2063
4,-44.9826,-110.0269,78.7463
5,-44.8626,-109.7269,79.0463
6,-44.7426,-109.3069,79.1663
7,-44.6826,-108.7669,79.1063
8,-44.7426,-108.1069,78.8663
9,-44.8026,-107.5069,78.5663
10,-44.8026,-106.9069,78.2663
11,-44.8026,-106.3069,77.9663
12,-44.8026,-105.7069,77.6663
13,-44.8026,-105.1069,77.3663
14,-44.6826,-104.3869,77.2463
15,-44.5626,-103.6069,77.0663
16,-44.2026,-101.8669,76.9463
17,-43.8426,-100.2469,77.0663
18,-43.4226,-98.7469,77.3663
19,-43.1226,-97.5469,77.6663
20,-42.7026,-96.6469,78.2063
21,-42.4626,-96.7069,78.8063
22,-42.2226,-96.5869,79.2263
23,-42.0426,-96.3469,79.5263
24,-41.8626,-95.8669,79.7063
25,-41.8026,-95.1469,79.7663
26,-41.7426,-94.4269,79.7063
27,-41.6826,-93.7069,79.6463
28,-41.5626,-92.9269,79.5263
29,-41.4426,-92.2069,79.4063
30,-41.2626,-91.4869,79.1663
31,-41.0826,-90.7669,78.8663
32,-40.7826,-90.1069,78.4463
33,-40.4826,-89.5069,77.9663
34,-40.0011,-89.0730,77.5523
35,-39.4011,-88.7730,77.2523
36,-38.7411,-88.5930,77.0723
37,-38.0811,-88.5330,77.0123
38,-37.3011,-88.6530,77.1323
39,-36.5826,-88.7869,77.2463
40,-35.8626,-88.9669,77.4263
41,-35.1426,-89.1469,77.6063
42,-34.4226,-89.3869,77.8463
43,-33.7626,-89.5669,78.0263
44,-33.1026,-89.6869,78.0263
45,-32.5626,-89.7469,77.8463
46,-32.0226,-89.8069,77.6063
47,-31.4226,-89.8069,77.3063
48,-30.8226,-89.8069,77.0063
49,-30.2226,-89.9269,76.8263
50,-29.5626,-90.0469,76.7663
51,-28.8426,-90.1669,76.7663
52,-28.4226,-91.0069,76.7663
53,-28.0026,-91.9069,76.8863
54,-27.6426,-92.8069,77.0063
55,-27.3426,-93.8269,77.1263
56,-27.2226,-95.0269,77.2463
57,-26.9826,-95.6869,77.3663
58,-26.8626,-96.4069,77.3663
59,-26.8026,-97.1869,77.3663
60,-26.8626,-97.9669,77.3663
61,-26.9226,-98.7469,77.3663
62,-26.9826,-99.4669,77.3663
63,-27.1026,-100.1869,77.3063
64,-27.2826,-100.8469,77.1863
65,-27.5429,-101.8316,77.1398
66,-27.7829,-102.4316,77.4998
67,-28.0229,-103.0316,77.8598
68,-28.2029,-103.6916,78.2798
69,-28.3229,-104.3516,78.7598
70,-28.3026,-104.7469,79.1663
71,-28.3626,-105.4669,79.2263
72,-28.4826,-106.2469,79.3463
73,-28.6026,-106.9669,79.4663
74,-28.7826,-107.6869,79.5863
75,-29.0226,-108.3469,79.7063
76,-29.2026,-108.8869,79.6463
77,-29.3226,-109.2469,79.3463
78,-29.3226,-109.3669,78.9263
79,-29.2626,-109.6669,78.3263
80,-29.3826,-109.9069,77.7263
81,-29.4426,-110.2669,77.2463
82,-29.4426,-110.7469,76.9463
83,-29.5626,-111.5269,76.7663
84,-29.6826,-112.1869,76.7663
85,-29.5626,-112.9069,76.7663
86,-29.5626,-113.6269,76.7663
87,-29.6826,-114.3469,76.7663
88,-29.8026,-115.0669,76.7663
89,-29.8026,-115.7269,76.7663
90,-29.7426,-116.3869,76.7663
91,-29.6226,-117.0469,76.7663
92,-29.3826,-117.7069,76.7663
93,-29.1426,-118.0669,76.7663
94,-29.0226,-118.1869,76.8263
95,-28.9626,-118.0669,77.0063
96,-28.9026,-117.7069,77.3063
97,-29.0226,-117.1069,77.7263
98,-29.2626,-116.5069,78.2663
99,-29.5026,-115.9069,78.8663
100,-29.8026,-115.3069,79.4663
101,-30.2226,-114.7069,80.0663
102,-30.6426,-114.3469,80.6663
103,-31.0626,-114.2269,81.2063
104,-31.6026,-114.3469,81.6863
105,-32.2026,-114.7069,82.1063
106,-32.8026,-115.3069,82.4663
107,-33.4026,-115.9069,82.7063
108,-33.9426,-116.5069,82.8863
109,-34.4226,-117.1069,83.0063
110,-34.7826,-117.7069,83.0663
111,-35.0226,-118.3669,83.0663
112,-35.1426,-119.0269,83.0663
113,-35.2026,-119.6869,82.9463
114,-35.2026,-120.3469,82.7063
115,-35.1426,-121.0069,82.3463
116,-35.0226,-121.6069,81.9263
117,-35.0226,-122.0869,81.6263
118,-35.1426,-122.4469,81.4463
119,-35.3826,-122.6869,81.4463
120,-35.8026,-122.8069,81.5663
121,-36.4026,-122.8069,81.7463
122,-37.0626,-122.7469,81.7463
123,-37.7226,-122.6869,81.7463
124,-38.3826,-122.6269,81.5663
125,-39.0426,-122.5669,81.3263
126,-39.7026,-122.5069,80.9663
127,-40.3026,-122.5069,80.5463
128,-40.9026,-122.4469,80.0663
129,-41.5026,-122.3869,79.5863
130,-42.1026,-122.3269,79.0463
131,-42.7026,-122.2069,78.5663
132,-43.3026,-121.9669,78.0863
133,-43.9026,-121.6669,77.6063
134,-44.5026,-121.3069,77.2463
135,-44.9826,-121.0069,77.1263
136,-45.3426,-120.8269,77.1863
137,-45.5826,-120.7669,77.4863
138,-45.7626,-120.8269,77.9663
139,-45.8226,-120.9469,78.5663
140,-45.8826,-121.0069,79.1063
141,-45.9426,-121.0069,79.5263
142,-46.0026,-121.0069,80.0663
