viewpoint_id,device,device_type,role,x,y,z,yaw_deg,pitch_deg,roll_deg,target_x,target_y,target_z,layer_k,component_id
0,capacitor,capacitor,inspect_capture,-45.7026,-110.8069,76.7663,25.35,0.00,0.00,-42.1000,-109.1000,74.7000,0,0
1,capacitor,capacitor,inspect_capture,-45.4026,-110.2069,76.7663,19.44,0.00,0.00,-41.7000,-108.9000,75.3000,1,0
2,capacitor,capacitor,inspect_capture,-45.4026,-110.2069,77.0663,18.51,0.00,0.00,-41.5000,-108.9000,76.7000,2,0
3,capacitor,capacitor,inspect_capture,-44.5026,-110.2069,79.4663,26.64,0.00,0.00,-41.1000,-108.5000,77.9000,4,0
4,capacitor,capacitor,inspect_capture,-44.8026,-103.6069,76.7663,-14.31,0.00,0.00,-41.3000,-104.5000,75.1000,0,11
5,capacitor,capacitor,inspect_capture,-44.2026,-102.7069,77.3663,-23.28,0.00,0.00,-40.5000,-104.3000,76.9000,3,11
6,capacitor,capacitor,inspect_capture,-44.2026,-101.8069,76.7663,-28.39,0.00,0.00,-40.7000,-103.7000,76.3000,2,11
7,capacitor,capacitor,inspect_capture,-43.0026,-96.4069,76.7663,-52.77,0.00,0.00,-40.5000,-99.7000,75.1000,0,10
8,capacitor,capacitor,inspect_capture,-42.7026,-96.4069,78.2663,-54.25,0.00,0.00,-39.9000,-100.3000,76.9000,2,10
9,capacitor,capacitor,inspect_capture,-42.1026,-97.3069,79.4663,-57.91,0.00,0.00,-40.1000,-100.5000,78.1000,4,10
10,capacitor,capacitor,inspect_capture,-41.8026,-97.0069,79.7663,-55.04,0.00,0.00,-39.5000,-100.3000,77.9000,4,9
11,capacitor,capacitor,inspect_capture,-39.7026,-88.3069,76.7663,-78.05,0.00,0.00,-38.9000,-92.1000,74.7000,0,9
12,capacitor,capacitor,inspect_capture,-38.7951,-88.5375,77.0964,-82.50,0.00,0.00,-38.3000,-92.3000,76.9000,2,9
13,capacitor,capacitor,inspect_capture,-32.8026,-90.1069,78.5663,-88.82,0.00,0.00,-32.7000,-95.1000,78.3000,4,8
14,capacitor,capacitor,inspect_capture,-31.3452,-89.8828,76.8491,-107.71,0.00,0.00,-32.5000,-93.5000,76.7000,2,8
15,capacitor,capacitor,inspect_capture,-27.4026,-90.4069,76.7663,-118.51,0.00,0.00,-29.3000,-93.9000,75.3000,0,7
16,capacitor,capacitor,inspect_capture,-28.0026,-94.0069,76.7663,-135.04,0.00,0.00,-31.3000,-97.3000,76.1000,2,7
17,capacitor,capacitor,inspect_capture,-27.7026,-94.0069,77.0663,-136.01,0.00,0.00,-30.7000,-96.9000,77.7000,3,7
18,capacitor,capacitor,inspect_capture,-27.4026,-94.3069,77.3663,-148.85,0.00,0.00,-30.7000,-96.3000,78.3000,4,7
19,capacitor,capacitor,inspect_capture,-27.7026,-102.1069,76.7663,-157.70,0.00,0.00,-31.1000,-103.5000,75.1000,0,6
20,capacitor,capacitor,inspect_capture,-28.4041,-104.3306,77.1338,-168.24,0.00,0.00,-32.1000,-105.1000,76.7000,2,6
21,capacitor,capacitor,inspect_capture,-28.3026,-103.3069,79.1663,-161.65,0.00,0.00,-31.9000,-104.5000,77.9000,3,6
22,capacitor,capacitor,inspect_capture,-28.9026,-107.8069,79.7663,165.85,0.00,0.00,-32.5000,-106.9000,77.9000,4,5
23,capacitor,capacitor,inspect_capture,-29.8615,-109.8620,79.3501,149.89,0.00,0.00,-32.9000,-108.1000,77.9000,3,4
24,capacitor,capacitor,inspect_capture,-28.8172,-109.0988,77.4943,158.12,0.00,0.00,-32.3000,-107.7000,76.9000,2,5
25,capacitor,capacitor,inspect_capture,-28.9026,-110.5069,76.7663,147.89,0.00,0.00,-32.1000,-108.5000,75.1000,0,5
26,capacitor,capacitor,inspect_capture,-30.1026,-110.8069,76.7663,165.23,0.00,0.00,-34.3000,-109.7000,76.3000,2,4
27,capacitor,capacitor,inspect_capture,-30.1026,-115.6069,76.7663,129.90,0.00,0.00,-32.7000,-112.5000,75.1000,0,4
28,capacitor,capacitor,inspect_capture,-28.9026,-119.2069,76.7663,176.49,0.00,0.00,-33.9000,-118.9000,75.1000,0,3
29,capacitor,capacitor,inspect_capture,-31.3026,-113.2069,81.5663,130.52,0.00,0.00,-34.3000,-109.7000,78.3000,4,4
30,capacitor,capacitor,inspect_capture,-34.6026,-122.8069,80.9663,98.80,0.00,0.00,-35.3000,-118.3000,79.1000,5,3
31,capacitor,capacitor,inspect_capture,-34.6026,-122.8069,80.9663,96.03,0.00,0.00,-35.1000,-118.1000,77.7000,3,3
32,capacitor,capacitor,inspect_capture,-34.6026,-122.8069,80.9663,98.43,0.00,0.00,-35.3000,-118.1000,76.5000,2,3
33,capacitor,capacitor,inspect_capture,-45.1026,-120.7069,76.7663,56.33,0.00,0.00,-42.7000,-117.1000,75.1000,0,2
34,capacitor,capacitor,inspect_capture,-45.1026,-120.7069,76.7663,57.74,0.00,0.00,-42.7000,-116.9000,77.1000,2,2
35,capacitor,capacitor,inspect_capture,-45.4026,-120.4069,76.7663,56.71,0.00,0.00,-43.1000,-116.9000,76.3000,2,1
36,capacitor,capacitor,inspect_capture,-45.7026,-120.4069,76.7663,56.33,0.00,0.00,-43.5000,-117.1000,74.9000,0,1
37,capacitor,capacitor,inspect_capture,-45.7026,-121.0069,78.5663,55.69,0.00,0.00,-42.9000,-116.9000,78.1000,4,1
38,capacitor,capacitor,inspect_capture,-46.0026,-121.0069,80.0663,56.02,0.00,0.00,-43.1000,-116.7000,79.3000,5,1
