waypoint_id,x,y,z,source_viewpoint_id
0,-45.7026,-110.8069,76.7663,0
1,-45.4026,-110.2069,76.7663,1
2,-45.4026,-110.2069,77.0663,2
3,-44.5026,-110.2069,79.4663,3
4,-44.8026,-103.6069,76.7663,4
5,-44.2026,-102.7069,77.3663,5
6,-44.2026,-101.8069,76.7663,6
7,-43.0026,-96.4069,76.7663,7
8,-42.7026,-96.4069,78.2663,8
9,-42.1026,-97.3069,79.4663,9
10,-41.8026,-97.0069,79.7663,10
11,-39.7026,-88.3069,76.7663,11
12,-38.7951,-88.5375,77.0964,12
13,-32.8026,-90.1069,78.5663,13
14,-31.3452,-89.8828,76.8491,14
15,-27.4026,-90.4069,76.7663,15
16,-28.0026,-94.0069,76.7663,16
17,-27.7026,-94.0069,77.0663,17
18,-27.4026,-94.3069,77.3663,18
19,-27.7026,-102.1069,76.7663,19
20,-28.4041,-104.3306,77.1338,20
21,-28.3026,-103.3069,79.1663,21
22,-28.9026,-107.8069,79.7663,22
23,-29.8615,-109.8620,79.3501,23
24,-28.8172,-109.0988,77.4943,24
25,-28.9026,-110.5069,76.7663,25
26,-30.1026,-110.8069,76.7663,26
27,-30.1026,-115.6069,76.7663,27
28,-28.9026,-119.2069,76.7663,28
29,-31.3026,-113.2069,81.5663,29
30,-34.6026,-122.8069,80.9663,30
31,-34.6026,-122.8069,80.9663,31
32,-34.6026,-122.8069,80.9663,32
33,-45.1026,-120.7069,76.7663,33
34,-45.1026,-120.7069,76.7663,34
35,-45.4026,-120.4069,76.7663,35
36,-45.7026,-120.4069,76.7663,36
37,-45.7026,-121.0069,78.5663,37
38,-46.0026,-121.0069,80.0663,38
