path_id,x,y,z
0,-7.9026,-94.3069,76.7663
1,-7.9026,-94.3069,76.7663
2,-7.9026,-94.0069,77.0663
3,-7.9026,-93.7069,77.3663
4,-7.9026,-93.7069,77.6663
5,-7.9026,-93.4069,77.9663
6,-7.9026,-93.1069,78.2663
7,-7.9026,-93.1069,78.5663
8,-7.9026,-93.1069,78.8663
9,-7.9026,-93.1069,79.1663
10,-7.9026,-93.1069,79.4663
11,-7.9026,-92.8069,79.7663
12,-7.9026,-92.8069,80.0663
13,-8.2026,-93.1069,80.3663
14,-8.2026,-93.1069,80.6663
15,-8.2026,-93.1069,80.9663
16,-8.5026,-93.4069,81.2663
17,-8.5026,-93.7069,81.5663
18,-8.5026,-93.7069,81.8663
19,-8.5026,-93.7069,82.1663
20,-8.5026,-93.7069,82.4663
21,-8.2026,-93.7069,82.7663
22,-8.2026,-93.7069,83.0663
23,-7.9026,-93.7069,83.3663
24,-7.9026,-93.7069,83.6663
25,-7.6026,-94.0069,83.9663
26,-7.6026,-94.0069,84.2663
27,-7.3026,-94.0069,84.5663
28,-7.3026,-94.0069,84.8663
29,-7.0026,-94.0069,85.1663
30,-7.0026,-94.0069,85.4663
31,-6.7026,-94.0069,85.7663
32,-6.4026,-94.0069,86.0663
33,-6.1026,-94.0069,86.3663
34,-5.8026,-93.7069,86.6663
35,-5.5026,-93.4069,86.9663
36,-5.2026,-93.1069,87.2663
37,-4.9026,-93.1069,87.5663
38,-4.6026,-92.8069,87.8663
39,-4.3026,-92.8069,88.1663
40,-4.0026,-92.8069,88.4663
41,-3.7026,-92.5069,88.7663
42,-4.0026,-92.5069,89.0663
43,-4.3026,-92.2069,89.3663
44,-4.3026,-92.2069,89.6663
45,-4.6026,-91.9069,89.9663
46,-4.9026,-91.6069,90.2663
47,-5.2026,-91.3069,90.5663
48,-5.5026,-91.0069,90.8663
49,-5.5026,-90.7069,90.8663
50,-5.5026,-90.4069,90.8663
51,-5.8026,-90.1069,91.1663
52,-5.8026,-89.8069,91.1663
53,-5.8026,-89.5069,91.1663
54,-5.8026,-89.2069,91.4663
55,-5.8026,-88.9069,91.4663
56,-5.8026,-88.6069,91.4663
57,-5.8026,-88.3069,91.7663
58,-5.8026,-88.3069,91.4663
59,-6.1026,-88.0069,91.1663
60,-6.1026,-88.0069,90.8663
61,-6.4026,-87.7069,90.5663
