viewpoint_id,device,device_type,role,x,y,z,yaw_deg,pitch_deg,roll_deg,target_x,target_y,target_z,layer_k,component_id
0,main_transformer,transformer,inspect_capture,-7.9026,-94.3069,76.7663,12.88,0.00,0.00,-3.5000,-93.3000,75.1000,0,0
1,main_transformer,transformer,inspect_capture,-7.9026,-94.3069,76.7663,7.51,0.00,0.00,-3.3000,-93.7000,77.7000,1,0
2,main_transformer,transformer,inspect_capture,-8.5026,-93.7069,81.5663,2.28,0.00,0.00,-3.3000,-93.5000,80.9000,2,0
3,main_transformer,transformer,inspect_capture,-7.1616,-94.1385,84.4770,11.13,0.00,0.00,-2.9000,-93.3000,83.3000,3,0
4,main_transformer,transformer,inspect_capture,-3.7026,-92.5069,88.7663,7.51,0.00,0.00,0.9000,-91.9000,86.5000,4,0
5,main_transformer,transformer,inspect_capture,-5.8026,-88.3069,91.7663,-5.75,0.00,0.00,-1.9000,-88.7000,89.3000,5,11
6,main_transformer,transformer,inspect_capture,-6.7026,-87.4069,88.4663,-9.37,0.00,0.00,-2.5000,-88.1000,86.3000,4,11
7,main_transformer,transformer,inspect_capture,-4.8952,-79.9890,84.4792,-29.08,0.00,0.00,-1.1000,-82.1000,83.3000,3,11
8,main_transformer,transformer,inspect_capture,-4.6026,-79.3069,84.8663,-29.08,0.00,0.00,-0.3000,-81.7000,83.3000,3,10
9,main_transformer,transformer,inspect_capture,-5.5026,-80.8069,81.8663,-28.62,0.00,0.00,-1.3000,-83.1000,81.3000,2,11
10,main_transformer,transformer,inspect_capture,-4.9026,-79.0069,81.5663,-33.25,0.00,0.00,-1.1000,-81.5000,80.9000,2,10
11,main_transformer,transformer,inspect_capture,-4.9604,-79.1919,78.1594,-30.87,0.00,0.00,-1.1000,-81.5000,78.3000,1,10
12,main_transformer,transformer,inspect_capture,-4.9026,-78.7069,76.7663,-34.29,0.00,0.00,-1.1000,-81.3000,75.3000,0,10
13,main_transformer,transformer,inspect_capture,-5.5026,-81.1069,77.3663,-27.56,0.00,0.00,-1.3000,-83.3000,77.7000,1,11
14,main_transformer,transformer,inspect_capture,-5.8026,-82.6069,76.7663,-20.94,0.00,0.00,-1.9000,-84.1000,75.1000,0,11
15,main_transformer,transformer,inspect_capture,7.3974,-79.0069,76.7663,-63.96,0.00,0.00,9.3000,-82.9000,75.3000,0,9
16,main_transformer,transformer,inspect_capture,9.4974,-79.6069,77.3663,-74.60,0.00,0.00,10.9000,-84.7000,78.3000,1,9
17,main_transformer,transformer,inspect_capture,10.6974,-79.9069,81.8663,-74.00,0.00,0.00,11.9000,-84.1000,80.5000,2,9
18,main_transformer,transformer,inspect_capture,15.1805,-80.0524,85.8460,-100.57,0.00,0.00,14.5000,-83.7000,83.3000,3,8
19,main_transformer,transformer,inspect_capture,18.1974,-79.3069,82.1663,-113.36,0.00,0.00,16.3000,-83.7000,80.9000,2,8
20,main_transformer,transformer,inspect_capture,15.1974,-79.0069,77.3663,-98.45,0.00,0.00,14.5000,-83.7000,77.9000,1,8
21,main_transformer,transformer,inspect_capture,18.1974,-79.9069,76.7663,-114.11,0.00,0.00,16.5000,-83.7000,75.3000,0,8
