waypoint_id,x,y,z,source_viewpoint_id
0,-7.9026,-94.3069,76.7663,0
1,-7.9026,-94.3069,76.7663,1
2,-8.5026,-93.7069,81.5663,2
3,-7.1616,-94.1385,84.4770,3
4,-3.7026,-92.5069,88.7663,4
5,-5.8026,-88.3069,91.7663,5
6,-6.7026,-87.4069,88.4663,6
7,-4.8952,-79.9890,84.4792,7
8,-4.6026,-79.3069,84.8663,8
9,-5.5026,-80.8069,81.8663,9
10,-4.9026,-79.0069,81.5663,10
11,-4.9604,-79.1919,78.1594,11
12,-4.9026,-78.7069,76.7663,12
13,-5.5026,-81.1069,77.3663,13
14,-5.8026,-82.6069,76.7663,14
15,7.3974,-79.0069,76.7663,15
16,9.4974,-79.6069,77.3663,16
17,10.6974,-79.9069,81.8663,17
18,15.1805,-80.0524,85.8460,18
19,18.1974,-79.3069,82.1663,19
20,15.1974,-79.0069,77.3663,20
21,18.1974,-79.9069,76.7663,21
22,23.2974,-82.0069,77.6663,22
23,25.9974,-82.3069,76.7663,23
24,34.3974,-85.0069,76.7663,24
25,34.0974,-85.6069,78.2663,25
26,34.0974,-85.9069,81.5663,26
27,33.7974,-86.5069,84.5663,27
28,29.5974,-88.3069,90.2663,28
29,31.9974,-93.4069,92.0663,29
30,32.5974,-94.6069,89.0663,30
31,31.3974,-100.3069,84.5663,31
32,31.0974,-100.9069,84.8663,32
33,31.6974,-100.0069,81.8663,33
34,31.3145,-101.0077,81.7114,34
35,31.6974,-99.7069,77.0663,35
36,31.3974,-100.6069,76.7663,36
37,31.3974,-100.9069,76.7663,37
38,31.3974,-100.9069,77.3663,38
39,16.0974,-105.4069,76.7663,39
40,12.7974,-104.8069,77.0663,40
41,10.6974,-104.5069,76.7663,41
42,8.5974,-104.2069,77.0663,42
43,4.6974,-103.6069,76.7663,43
44,-1.9026,-99.1069,76.7663,44
45,10.6974,-102.7069,84.5663,45
46,10.6974,-100.9069,85.1663,46
47,10.9974,-100.3069,85.1663,47
48,11.2974,-97.6069,90.2663,48
49,11.8974,-95.2069,90.8663,49
50,6.1974,-94.6069,92.0663,50
51,12.7974,-93.7069,92.9663,51
52,12.1974,-91.9069,94.1663,52
53,13.0974,-91.9069,94.1663,53
54,13.9974,-91.3069,94.4663,54
55,14.9820,-91.2177,94.3628,55
56,9.4974,-90.4069,94.4663,56
57,12.1974,-87.4069,93.2663,57
58,14.5974,-82.6069,89.9663,58
59,19.3974,-86.2069,92.0663,59
