viewpoint_id,device,device_type,role,x,y,z,yaw_deg,pitch_deg,roll_deg,target_x,target_y,target_z,layer_k,component_id
0,shelf1,shelf,inspect_capture,15.4974,-59.2069,76.7663,-21.04,0.00,0.00,19.9000,-60.9000,75.7000,0,0
1,shelf1,shelf,inspect_capture,16.9974,-63.1069,81.5663,22.88,0.00,0.00,22.7000,-60.7000,81.5000,1,0
2,shelf1,shelf,inspect_capture,22.0974,-63.4069,84.5663,37.82,0.00,0.00,26.1000,-60.3000,86.9000,2,0
3,shelf1,shelf,inspect_capture,30.7974,-65.5069,82.1663,123.99,0.00,0.00,28.5000,-62.1000,76.1000,0,1
4,shelf1,shelf,inspect_capture,30.7974,-65.5069,82.1663,120.18,0.00,0.00,28.7000,-61.9000,81.1000,1,1
5,shelf1,shelf,inspect_capture,32.2974,-55.3069,76.7663,-126.41,0.00,0.00,29.5000,-59.1000,76.1000,0,10
6,shelf1,shelf,inspect_capture,28.6974,-54.7069,79.1663,-81.42,0.00,0.00,29.3000,-58.7000,81.1000,1,10
7,shelf1,shelf,inspect_capture,25.3974,-51.7069,86.0663,-67.90,0.00,0.00,27.1000,-55.9000,87.3000,2,10
8,shelf1,shelf,inspect_capture,30.7974,-50.2069,86.9663,-92.79,0.00,0.00,30.5000,-56.3000,87.9000,2,9
9,shelf1,shelf,inspect_capture,38.8974,-53.8069,86.6663,-137.53,0.00,0.00,35.3000,-57.1000,87.5000,2,7
10,shelf1,shelf,inspect_capture,40.0974,-68.2069,81.8663,135.50,0.00,0.00,34.9000,-63.1000,75.7000,0,4
11,shelf1,shelf,inspect_capture,40.0974,-68.2069,81.8663,136.58,0.00,0.00,34.7000,-63.1000,81.1000,1,4
12,shelf1,shelf,inspect_capture,44.2974,-57.4069,79.7663,-156.51,0.00,0.00,38.1000,-60.1000,81.7000,1,6
13,shelf1,shelf,inspect_capture,46.9974,-57.4069,76.7663,-150.17,0.00,0.00,42.3000,-60.1000,75.7000,0,6
14,shelf1,shelf,inspect_capture,57.1974,-58.0069,85.4663,-145.95,0.00,0.00,54.1000,-60.1000,87.1000,2,6
15,shelf1,shelf,inspect_capture,74.8974,-67.9069,76.7663,173.88,0.00,0.00,71.1000,-67.5000,75.7000,0,5
16,shelf1,shelf,inspect_capture,72.7974,-69.4069,82.4663,147.42,0.00,0.00,69.5000,-67.3000,81.5000,1,5
17,shelf1,shelf,inspect_capture,72.4974,-67.9069,86.9663,169.12,0.00,0.00,68.3000,-67.1000,86.9000,2,5
18,shelf1,shelf,inspect_capture,71.5974,-67.9069,94.4663,168.86,0.00,0.00,67.5000,-67.1000,93.7000,3,5
19,shelf1,shelf,inspect_capture,71.2974,-68.2069,100.4663,167.22,0.00,0.00,67.3000,-67.3000,99.1000,4,5
20,shelf1,shelf,inspect_capture,71.0241,-67.5535,106.2759,169.49,0.00,0.00,67.5000,-66.9000,104.5000,5,5
21,shelf1,shelf,inspect_capture,72.7974,-56.5069,101.0663,-174.24,0.00,0.00,68.9000,-56.9000,99.5000,4,6
22,shelf1,shelf,inspect_capture,20.8974,-46.6069,102.2663,-51.83,0.00,0.00,22.7000,-48.9000,99.3000,4,10
23,shelf1,shelf,inspect_capture,-31.0608,-49.8787,106.1127,-9.38,0.00,0.00,-27.3000,-50.5000,104.9000,5,11
24,shelf1,shelf,inspect_capture,-31.3026,-50.2069,100.4663,-9.37,0.00,0.00,-27.1000,-50.9000,99.5000,4,11
25,shelf1,shelf,inspect_capture,-31.4181,-49.8550,93.7821,-9.35,0.00,0.00,-27.5000,-50.5000,93.3000,3,11
26,shelf1,shelf,inspect_capture,-32.2026,-49.9069,86.9663,-8.23,0.00,0.00,-28.1000,-50.5000,86.9000,2,11
27,shelf1,shelf,inspect_capture,-34.3026,-47.5069,81.2663,-10.69,0.00,0.00,-30.1000,-48.3000,81.3000,1,11
28,shelf1,shelf,inspect_capture,-36.4026,-46.6069,76.7663,-12.28,0.00,0.00,-32.3000,-47.5000,76.1000,0,11
