waypoint_id,x,y,z,source_viewpoint_id
0,10.9974,-140.8069,76.7663,0
1,67.0974,-148.3069,76.7663,1
2,67.3974,-148.0069,80.6663,2
3,65.6347,-148.9764,85.3459,3
4,65.5974,-148.3069,90.8663,4
5,65.2974,-148.6069,96.2663,5
6,18.1974,-140.5069,104.3663,6
7,18.7974,-144.4069,93.8663,7
8,21.7974,-147.4069,88.4663,8
9,25.0974,-136.6069,81.5663,9
10,25.9974,-135.7069,81.2663,10
11,20.8974,-138.1069,89.0663,11
12,13.3974,-137.5069,89.6663,12
13,12.4974,-137.5069,89.6663,13
14,8.2974,-136.3069,89.3663,14
15,11.5974,-140.8069,89.9663,15
16,10.9974,-141.4069,89.6663,16
17,12.4974,-140.5069,79.7663,17
18,13.0974,-143.8069,76.7663,18
19,12.4974,-143.2069,76.7663,19
20,10.0974,-140.5069,76.7663,20
21,9.1974,-139.9069,76.7663,21
22,8.2974,-139.0069,76.7663,22
23,-46.4514,-129.6516,101.3275,23
24,-46.5415,-129.6360,95.7953,24
25,-46.6051,-129.6250,90.2425,25
26,-46.6364,-129.8338,85.7475,26
27,-48.4026,-128.5069,79.7663,27
28,-48.4026,-131.2069,76.7663,28
