path_id,x,y,z
0,-11.2026,-124.0069,76.7663
1,-11.5026,-123.4669,77.4863
2,-11.6226,-123.1669,78.0263
3,-11.7426,-122.7469,78.4463
4,-11.8026,-122.2669,78.6263
5,-11.6826,-121.7869,78.5663
6,-11.4426,-121.3069,78.2663
7,-11.0826,-120.7669,77.7263
8,-10.6026,-120.2269,77.3063
9,-10.0026,-119.7469,77.0063
10,-9.4026,-119.3869,76.8263
11,-8.7426,-119.1469,76.7663
12,-8.0826,-118.8469,76.7663
13,-7.4226,-118.6069,76.7663
14,-6.7626,-118.4269,76.7663
15,-6.1026,-118.2469,76.7663
16,-5.5026,-118.0669,76.7663
17,-4.9026,-118.0069,76.7663
18,-4.3026,-118.0669,76.7663
19,-3.7026,-118.1869,76.8263
20,-3.1626,-118.3069,77.0063
21,-2.6226,-118.4269,77.3063
22,-2.0826,-118.5469,77.7263
23,-1.5426,-118.6669,78.2663
24,-1.0026,-118.8469,78.8663
25,-0.6426,-118.9669,79.4663
26,-0.5226,-119.0869,80.0063
27,-0.6426,-119.2069,80.4863
28,-1.0626,-119.2069,80.9063
29,-1.7226,-119.0269,81.2663
30,-2.3826,-118.9069,81.5663
31,-3.0426,-118.7869,81.8063
32,-3.7026,-118.6669,82.0463
33,-4.3026,-118.6069,82.2863
34,-4.9026,-118.6069,82.4663
35,-5.5026,-118.6669,82.6463
36,-6.1026,-118.7869,82.9463
37,-6.7026,-118.9669,83.3063
38,-7.3026,-119.2669,83.7263
39,-7.9026,-119.6869,84.2063
40,-8.4426,-120.1669,84.6863
41,-8.9226,-120.7069,85.0463
42,-9.3426,-121.3069,85.2863
43,-9.5226,-121.8469,86.8463
44,-9.5826,-122.2669,88.4663
45,-9.5826,-122.5669,90.2063
46,-9.5226,-122.7469,92.0663
47,-9.4026,-122.8069,94.1063
48,-9.4026,-122.8069,94.8263
49,-9.4026,-122.7469,95.6063
50,-9.3426,-122.6269,96.3263
51,-9.2226,-122.4469,97.1063
52,-9.1026,-122.2669,97.8263
53,-8.9826,-122.0869,98.6063
54,-8.8626,-121.9669,99.3263
55,-8.7426,-121.9669,100.1063
56,-8.6826,-122.0269,100.8263
57,-8.5626,-122.1469,101.5463
58,-8.3226,-122.3869,102.2063
59,-8.0826,-122.5069,102.6863
60,-7.9026,-122.4469,102.9263
61,-7.7226,-122.2669,102.9263
62,-7.6026,-121.9069,102.6863
63,-7.4826,-121.3069,102.2063
64,-7.3026,-120.7669,101.6663
65,-7.1226,-120.3469,101.0063
66,-6.9426,-120.0469,100.3463
67,-6.7026,-119.8069,99.6863
68,-6.5826,-119.6869,98.9663
69,-6.5226,-119.6269,98.1863
70,-6.4626,-119.5669,97.4663
71,-6.4026,-119.5069,96.6863
72,-6.4026,-119.5069,95.9063
73,-6.4026,-119.5069,95.1263
74,-6.3426,-119.4469,94.4063
75,-6.2226,-119.3269,93.6863
76,-6.0426,-119.2069,93.0263
77,-5.8026,-119.0269,92.3663
78,-5.5026,-118.7869,91.7663
79,-5.1426,-118.7269,91.4063
80,-4.7226,-118.8469,91.1663
81,-4.2426,-119.0269,91.0463
82,-3.7026,-119.3269,91.0463
83,-3.1026,-119.8069,91.2863
84,-2.5626,-120.2869,91.4663
85,-2.0826,-120.7669,91.7063
86,-1.6626,-121.3069,91.9463
87,-1.3626,-121.9669,92.1863
88,-1.1826,-122.6269,92.3063
89,-1.0626,-123.3469,92.3663
90,-1.0026,-124.0669,92.3063
91,-1.0026,-124.7869,92.1863
92,-1.0026,-125.4469,92.0063
93,-1.0026,-126.1069,91.7063
94,-1.0026,-126.6469,91.2863
95,-1.0626,-127.1269,90.8063
96,-1.1826,-127.5469,90.2663
97,-1.4226,-127.9069,89.6663
98,-1.7826,-128.1469,89.0663
99,-2.1426,-128.3269,88.4063
100,-2.4426,-128.4469,87.6863
101,-2.7426,-128.5069,86.9663
102,-2.9226,-128.5069,86.1863
103,-2.9826,-128.5069,85.4063
104,-3.1026,-128.5069,84.6863
105,-3.2826,-128.5069,84.0263
106,-3.4626,-128.4469,83.3663
107,-3.5226,-128.5069,83.0063
108,-3.4626,-128.6269,82.7663
109,-3.2226,-128.8669,82.6463
110,-2.7426,-129.1069,82.6463
111,-2.0826,-129.4069,82.7663
112,-1.3626,-129.5869,82.7663
113,-0.6426,-129.7069,82.7663
114,0.1374,-129.7069,82.7663
115,0.8574,-129.7069,82.7663
116,1.6374,-129.7069,82.7663
117,2.3574,-129.7069,82.7663
118,3.1374,-129.7069,82.7663
119,3.8574,-129.7069,82.7663
120,4.6374,-129.7069,82.7663
121,5.3574,-129.7669,82.7063
122,6.0774,-129.8869,82.5863
123,6.7374,-130.0669,82.4063
124,7.3974,-130.3069,82.1663
125,7.9974,-130.5469,81.8663
126,8.8974,-128.6869,80.7263
127,9.7974,-126.7669,79.7663
128,10.6974,-124.8469,78.9863
129,11.5974,-122.8669,78.3863
130,12.4974,-121.0069,77.9663
131,13.0974,-121.2469,78.5663
132,13.6974,-121.4869,79.0463
133,14.2974,-121.7269,79.4663
134,14.9574,-121.9069,79.7063
135,15.6774,-121.9669,79.8263
136,16.3974,-121.9669,79.8263
137,17.1174,-121.9669,79.7063
138,17.8374,-121.9069,79.4063
139,18.4974,-121.9669,79.1063
140,19.0974,-122.0869,78.7463
141,19.6974,-122.2669,78.2663
142,20.2974,-122.5669,77.7863
143,20.8374,-122.9869,77.4263
144,21.3174,-123.4669,77.1263
145,21.6774,-124.0669,76.8863
146,21.9174,-124.6669,76.8863
147,22.0374,-125.0869,77.1263
148,22.0974,-125.3269,77.4863
149,22.0974,-125.3869,77.9663
150,22.0974,-125.2069,78.5663
151,22.0974,-124.9669,79.2263
152,22.0974,-124.7869,79.8863
153,22.0974,-124.6669,80.6063
154,22.0974,-124.6069,81.3263
155,22.0974,-124.6669,82.0463
156,22.0974,-124.7869,82.7063
157,22.0974,-125.0269,83.3663
158,22.0974,-125.3869,83.9663
159,22.0974,-125.8669,84.5663
160,22.0974,-126.4069,85.1663
161,22.0974,-126.7669,85.7063
162,22.0974,-126.8869,86.1263
163,22.0374,-126.7069,86.4263
164,21.9174,-126.2869,86.6063
165,21.7374,-125.6269,86.6663
166,21.5574,-125.0869,86.6663
167,21.1974,-124.3069,86.6663
