path_id,x,y,z
0,-7.6026,-68.8069,76.7663
1,-6.8826,-69.0469,77.0663
2,-6.4026,-69.1669,77.3663
3,-5.8026,-69.2869,77.7263
4,-5.2026,-69.3469,78.0263
5,-4.6026,-69.4069,78.4463
6,-4.0026,-69.4069,78.8063
7,-3.4026,-69.3469,79.1663
8,-2.8026,-69.1669,79.5863
9,-2.2026,-68.9269,80.0063
10,-1.6026,-68.6269,80.3663
11,-1.0026,-68.2669,80.7263
12,-0.4026,-67.9669,80.9663
13,0.1974,-67.7869,81.0263
14,0.7974,-67.6669,81.0263
15,1.3974,-67.4869,81.0863
16,1.9974,-67.2469,81.1463
17,2.5974,-66.8869,81.2063
18,3.1974,-66.4669,81.3863
19,3.7974,-65.9269,81.6863
20,4.3974,-65.3869,81.8663
21,4.9974,-64.8469,81.9863
22,5.5974,-64.3069,82.1063
23,6.1974,-63.7069,82.1663
24,6.7974,-63.1069,82.1663
25,7.3974,-62.5069,82.1663
26,7.9974,-61.9069,82.1663
27,8.5974,-61.3669,82.1663
28,9.1974,-60.9469,82.1663
29,9.7974,-60.6469,82.1663
30,10.3974,-60.3469,82.1663
31,10.9974,-60.0469,82.1663
32,11.5974,-59.6869,82.1663
33,12.1974,-59.2069,82.0463
34,12.7974,-58.6069,81.8063
35,13.3974,-58.0069,81.4463
36,13.9974,-57.4069,80.9663
37,14.5974,-56.8669,80.4863
38,15.1974,-56.3269,80.1263
39,15.7974,-55.7869,79.8863
40,16.3974,-55.2469,79.7663
41,16.9974,-54.7669,79.7663
42,17.5974,-54.2869,79.7663
43,18.1974,-53.8669,79.7063
44,18.8574,-53.5669,79.6463
45,19.5174,-53.3869,79.5863
46,20.2374,-53.2069,79.5263
47,20.9574,-53.0869,79.4663
48,21.7374,-53.0269,79.4663
49,22.4574,-52.9669,79.4663
50,23.2374,-52.9069,79.4663
51,23.9574,-52.9069,79.4663
52,24.7374,-52.9069,79.4663
53,25.4574,-52.9069,79.4663
54,26.2374,-52.9069,79.4663
55,26.9574,-52.9069,79.4663
56,27.7374,-52.9069,79.4663
57,28.4574,-52.9669,79.4663
58,29.1774,-53.1469,79.4663
59,29.8374,-53.4469,79.4663
60,30.4974,-53.8669,79.4663
61,31.0974,-54.3469,79.4663
62,31.6974,-54.7669,79.4663
63,32.3574,-55.0669,79.4663
64,33.0174,-55.2469,79.4663
65,33.7374,-55.3069,79.4663
66,34.4574,-55.3069,79.4663
67,35.2374,-55.3069,79.4663
68,35.9574,-55.3069,79.4663
69,36.7374,-55.3069,79.4663
70,37.4574,-55.3069,79.4663
71,38.2374,-55.3069,79.4663
72,38.9574,-55.3069,79.4663
73,39.7374,-55.3069,79.4663
74,40.4574,-55.3069,79.4663
75,41.2374,-55.3069,79.4663
76,41.9574,-55.3069,79.4663
77,42.7374,-55.3069,79.4663
78,43.4574,-55.3069,79.4663
79,44.2374,-55.3069,79.4663
80,44.9574,-55.3069,79.4663
81,45.7374,-55.3069,79.4663
82,46.4574,-55.3069,79.4663
83,47.2374,-55.3069,79.4663
84,47.9574,-55.3069,79.4663
85,48.7374,-55.3069,79.4663
86,49.4574,-55.3069,79.4663
87,50.2374,-55.3069,79.4663
88,50.9574,-55.3069,79.4663
89,51.7374,-55.3069,79.4663
90,52.4574,-55.3069,79.4663
91,53.2374,-55.3669,79.4663
92,53.9574,-55.4869,79.4663
93,54.6774,-55.6669,79.4663
94,55.3374,-55.9069,79.4663
95,55.9974,-56.1469,79.4663
96,56.5974,-56.3869,79.4663
97,57.1974,-56.6269,79.4663
98,57.7974,-56.8669,79.4663
99,58.3974,-57.1069,79.4663
100,58.9974,-57.4069,79.4663
101,59.5974,-57.7069,79.4663
102,60.1974,-58.0069,79.4663
103,60.7974,-58.3069,79.4663
104,61.3974,-58.6069,79.4663
105,61.9974,-58.9069,79.4663
106,62.6574,-59.2069,79.4663
107,63.3174,-59.5069,79.4663
108,63.9774,-59.8069,79.4663
109,64.6974,-60.1069,79.4063
110,65.4174,-60.4069,79.3463
111,66.0774,-60.6469,79.3463
112,66.7374,-60.8869,79.4663
113,67.3974,-61.0669,79.7063
114,67.9974,-61.3069,80.1263
115,68.5974,-61.5469,80.6063
116,69.1974,-61.8469,81.0863
117,69.7974,-62.2069,81.5663
118,70.3974,-62.6869,82.0463
119,70.9974,-63.1669,82.5263
120,71.5374,-63.7069,83.0063
121,72.0174,-64.3069,83.4863
122,72.4374,-64.9069,83.9063
123,72.7374,-65.5069,84.2063
124,72.9174,-66.1669,84.3863
125,73.0374,-66.8269,84.5063
126,73.0374,-67.4869,84.5063
127,72.9174,-68.1469,84.3863
128,72.6774,-68.8069,84.2663
129,72.3174,-69.4069,84.0263
130,71.8374,-70.0069,83.6663
131,71.2974,-70.5469,83.3063
132,70.6974,-71.0269,82.8863
133,70.0974,-71.4469,82.3463
134,69.5574,-71.7469,81.8063
135,69.0174,-71.9869,81.3263
136,68.4174,-72.1669,80.9063
137,67.8174,-72.2869,80.5463
138,67.1574,-72.2869,80.2463
139,66.4974,-72.2869,80.1863
140,65.8374,-72.2269,80.3063
141,65.2974,-72.1669,80.5463
142,64.7574,-72.1069,80.9663
143,64.2774,-72.0469,81.5063
144,63.7374,-71.9269,81.9863
145,63.1974,-71.7469,82.4063
146,62.5974,-71.5069,82.7663
147,61.9974,-71.2669,83.0063
148,61.3374,-71.0869,83.1863
149,60.6774,-70.9669,83.3063
150,59.9574,-70.9069,83.3663
151,59.2374,-70.8469,83.3063
152,58.4574,-70.7869,83.2463
153,57.7374,-70.6669,83.1263
154,57.0174,-70.4869,82.9463
155,56.3574,-70.2469,82.6463
156,55.7574,-70.0069,82.5263
157,55.3374,-69.7069,82.5263
158,55.0974,-69.3469,82.7063
159,54.8574,-69.0469,83.0063
160,54.6174,-68.8069,83.4863
161,54.3174,-68.6269,83.9063
162,53.8374,-68.5069,84.2063
163,53.1774,-68.5069,84.3863
164,52.4574,-68.5069,84.5063
165,51.7374,-68.5069,84.5663
166,51.0174,-68.4469,84.5663
167,50.3574,-68.3269,84.5663
168,49.6374,-68.1469,84.5663
169,48.9774,-67.9069,84.5663
170,46.2774,-65.3869,83.0063
171,43.5774,-62.8669,81.4463
172,40.8774,-60.3469,79.8863
173,38.1774,-57.8869,78.3263
174,35.4774,-55.4869,76.7663
175,34.7574,-55.4269,76.7663
176,34.0974,-55.4269,76.8863
177,33.5574,-55.4869,77.1863
178,33.1374,-55.5469,77.6663
179,32.7174,-55.5469,78.2063
180,32.3574,-55.3669,78.7463
181,31.9374,-55.1869,79.1663
182,31.3974,-54.9469,79.4063
183,30.7974,-54.7069,79.4663
184,30.1374,-54.5869,79.4063
185,29.4774,-54.5269,79.3463
186,28.8174,-54.4069,79.1663
187,28.1574,-54.2869,78.8663
188,27.4974,-54.1669,78.4463
189,26.8974,-53.9869,78.0263
190,26.2974,-53.8669,77.5463
191,25.6974,-53.7469,77.1863
192,25.0374,-53.6269,77.0063
193,24.3174,-53.5069,76.9463
194,23.5974,-53.3869,76.9463
195,22.8774,-53.2069,77.0663
196,22.0974,-53.0869,77.1863
197,21.3174,-53.0269,77.2463
198,20.5974,-52.9669,77.3063
199,19.8774,-52.9669,77.4263
200,19.1574,-53.0869,77.4863
201,18.5574,-53.2669,77.6663
202,18.1974,-53.4469,78.0263
203,17.8374,-53.6869,78.3863
204,17.5374,-53.9869,78.6863
205,17.3574,-54.2269,79.1063
206,17.2374,-54.4069,79.5863
207,17.0574,-54.5869,80.0063
208,17.0574,-54.7069,80.6063
209,17.1774,-54.7069,81.3263
210,17.4174,-54.6469,81.9863
211,17.7774,-54.5269,82.4663
212,18.2574,-54.3469,82.8263
213,18.8574,-54.1069,83.0063
214,19.5174,-53.8069,83.0663
215,20.2374,-53.5669,83.0663
216,20.9574,-53.3869,83.0663
217,21.7374,-53.2669,83.0663
218,22.4574,-53.2069,83.0663
219,23.2374,-53.2069,83.0663
220,23.9574,-53.2069,83.0663
221,24.6774,-53.2669,83.0663
222,25.3974,-53.3869,83.0063
223,26.1174,-53.5669,82.8863
224,26.8374,-53.8069,82.7063
225,27.4974,-54.1069,82.6463
226,28.2174,-54.3469,82.5863
227,28.8774,-54.5269,82.5863
228,29.5974,-54.6469,82.6463
229,30.2574,-54.8269,82.8263
230,30.9774,-55.0069,82.8863
231,31.6374,-55.3069,83.0063
232,31.9374,-58.4269,83.0063
233,32.1774,-61.5469,83.0663
234,32.4174,-64.6669,83.0663
235,32.6574,-67.8469,83.0063
236,32.8974,-71.0269,82.8263
237,33.4974,-71.5069,82.7063
238,34.0974,-72.0469,82.4663
239,34.6974,-72.5269,82.2263
240,35.2974,-73.0069,81.9263
241,35.8974,-73.4869,81.5663
242,36.4374,-73.9669,81.2063
243,36.8574,-74.4469,80.7863
244,37.2174,-74.9269,80.2463
245,37.3974,-75.3469,79.7063
246,37.3374,-75.7069,79.1663
247,37.0974,-75.9469,78.5663
248,36.7374,-76.1269,78.0263
249,36.1974,-76.1869,77.5463
250,35.7174,-76.3669,77.1863
251,35.3574,-76.6069,76.9463
252,35.0574,-77.0269,76.8263
253,34.7574,-77.5669,76.7663
254,34.3974,-78.1669,76.7663
255,33.9174,-78.5269,76.7663
256,33.3774,-78.8869,76.7663
257,32.7774,-79.1269,76.7663
258,32.1774,-79.3669,76.7663
259,31.5774,-79.6669,76.7663
260,30.9774,-80.0269,76.7663
261,30.2574,-80.2669,76.7663
262,29.5374,-80.4469,76.7663
263,28.7574,-80.5069,76.7663
264,28.0374,-80.5069,76.7663
265,27.2574,-80.4469,76.7663
266,26.5374,-80.3269,76.7663
267,25.7574,-80.1469,76.7663
268,25.0374,-79.9069,76.7663
269,24.3174,-79.7269,76.7663
270,23.5974,-79.6069,76.7663
271,22.8774,-79.4869,76.7663
272,22.1574,-79.3669,76.7663
273,21.4374,-79.2469,76.7663
274,20.7174,-78.9469,76.7663
275,20.1774,-78.6469,76.9463
276,19.6974,-78.3469,77.2463
277,19.3374,-78.0469,77.6663
278,19.0974,-77.7469,78.2063
279,18.8574,-77.5069,78.8663
280,18.5574,-77.1469,79.4663
281,18.1974,-76.8469,79.9463
282,17.7174,-76.5469,80.3063
283,17.3574,-76.1869,80.6663
284,17.2374,-75.7669,80.9663
285,17.2374,-75.3469,81.1463
286,17.3574,-74.8069,81.3263
287,17.6574,-74.1469,81.5063
288,17.8974,-73.4869,81.6263
289,18.0774,-72.8269,81.7463
290,18.1974,-72.1669,81.8663
291,18.4374,-71.5069,82.0463
292,18.7974,-70.9069,82.2863
293,19.2174,-70.3069,82.4063
294,19.6974,-69.8269,82.4663
295,20.2974,-69.4069,82.5263
296,21.0174,-68.2669,82.5863
297,21.4974,-67.2469,82.5863
298,21.7374,-66.3469,82.5863
299,21.7374,-65.4469,82.5263
300,21.4974,-64.5469,82.4063
301,20.8374,-64.4869,82.2263
302,20.1774,-64.3669,82.0463
303,19.4574,-64.1869,81.9263
304,18.7374,-63.9469,81.8663
305,18.0174,-63.7069,81.8663
306,17.3574,-63.4669,81.9863
307,16.6974,-63.2869,82.1663
308,16.0974,-63.1669,82.4063
309,15.4974,-63.1069,82.7063
310,14.8374,-63.1069,83.0063
311,14.1774,-63.1069,83.1863
312,13.4574,-63.1069,83.3063
313,12.7374,-63.1069,83.3663
