waypoint_id,x,y,z,source_viewpoint_id
0,-7.6026,-68.8069,76.7663,0
1,-3.1026,-69.4069,79.1663,1
2,2.2974,-67.6069,80.6663,2
3,66.7974,-61.0069,79.1663,3
4,69.7974,-71.5069,82.1663,4
5,68.5974,-72.1069,80.6663,5
6,65.5974,-72.1069,79.7663,6
7,55.0974,-69.7069,81.8663,7
8,55.0974,-69.7069,81.8663,8
9,54.7974,-69.4069,82.1663,9
10,55.0974,-68.2069,83.6663,10
11,47.5974,-67.3069,84.5663,11
12,36.7974,-55.9069,76.7663,12
13,32.8974,-55.6069,76.7663,13
14,32.8974,-55.6069,76.7663,14
15,32.5974,-55.6069,79.4663,15
16,31.9974,-55.3069,79.4663,16
17,28.6974,-54.7069,79.1663,17
18,28.6974,-54.7069,79.1663,18
19,28.3974,-54.7069,79.4663,19
20,25.3974,-54.1069,76.7663,20
21,25.3974,-54.1069,76.7663,21
22,17.5974,-53.8069,77.9663,22
23,17.8974,-53.8069,79.1663,23
24,16.9974,-54.7069,79.1663,24
25,17.5974,-54.7069,82.7663,25
26,18.7974,-54.1069,83.0663,26
27,28.6974,-54.7069,82.1663,27
28,28.6974,-54.7069,82.7663,28
29,32.8974,-56.2069,83.3663,29
30,31.6974,-70.3069,82.7663,30
31,31.6974,-70.3069,82.7663,31
32,37.6974,-75.7069,79.1663,32
33,37.3974,-76.0069,78.5663,33
34,34.9974,-76.0069,76.7663,34
35,32.5974,-78.7069,76.7663,35
36,23.5974,-79.3069,76.7663,36
37,23.5974,-79.3069,76.7663,37
38,19.9974,-78.7069,76.7663,38
39,19.3974,-78.1069,76.7663,39
40,18.7974,-77.2069,79.1663,40
41,17.8974,-76.3069,80.6663,41
42,16.3974,-76.0069,80.6663,42
43,21.1974,-68.8069,82.1663,43
44,21.4974,-68.8069,82.4663,44
45,22.6974,-64.6069,82.7663,45
46,20.5974,-64.3069,81.8663,46
47,16.9974,-63.1069,81.5663,47
48,-16.6026,-63.1069,81.2663,48
49,-27.1026,-56.8069,78.5663,49
50,-27.5324,-56.3812,77.5769,50
51,-28.0026,-59.5069,76.7663,51
52,-28.0026,-60.4069,76.7663,52
