viewpoint_id,device,device_type,role,x,y,z,yaw_deg,pitch_deg,roll_deg,target_x,target_y,target_z,layer_k,component_id
0,tube2,tube,inspect_capture,-16.9026,-133.6069,76.7663,-1.07,0.00,0.00,-11.9000,-133.7000,74.7000,0,0
1,tube2,tube,inspect_capture,-16.9026,-133.6069,77.0663,-1.21,0.00,0.00,-12.5000,-133.7000,76.9000,2,0
2,tube2,tube,inspect_capture,63.4974,-143.5069,81.2663,-173.23,0.00,0.00,58.5000,-144.1000,80.1000,5,5
3,tube2,tube,inspect_capture,63.4974,-143.2069,78.8663,-174.13,0.00,0.00,58.7000,-143.7000,78.7000,4,5
4,tube2,tube,inspect_capture,64.6974,-144.1069,77.3663,-167.33,0.00,0.00,58.5000,-145.5000,78.3000,3,5
5,tube2,tube,inspect_capture,63.3545,-141.4909,77.1598,171.28,0.00,0.00,59.5000,-140.9000,77.1000,2,5
6,tube2,tube,inspect_capture,63.7974,-140.8069,76.7663,172.95,0.00,0.00,59.7000,-140.3000,75.3000,0,5
7,tube2,tube,inspect_capture,35.8974,-130.6069,76.7663,-155.67,0.00,0.00,29.5000,-133.5000,77.7000,3,6
8,tube2,tube,inspect_capture,35.8974,-130.6069,76.7663,-159.86,0.00,0.00,29.1000,-133.1000,76.7000,2,6
9,tube2,tube,inspect_capture,35.8974,-130.6069,76.7663,-147.32,0.00,0.00,31.7000,-133.3000,75.3000,0,6
10,tube2,tube,inspect_capture,25.0974,-136.6069,81.5663,-149.29,0.00,0.00,20.9000,-139.1000,76.7000,2,4
11,tube2,tube,inspect_capture,25.0974,-136.6069,81.5663,-148.05,0.00,0.00,21.1000,-139.1000,75.3000,0,4
12,tube2,tube,inspect_capture,25.0974,-137.8069,82.4663,-145.91,0.00,0.00,22.3000,-139.7000,79.1000,4,4
13,tube2,tube,inspect_capture,25.0974,-137.8069,82.4663,-153.50,0.00,0.00,21.3000,-139.7000,78.5000,3,4
14,tube2,tube,inspect_capture,21.7974,-127.3069,76.7663,-153.83,0.00,0.00,15.3000,-130.5000,75.3000,0,7
15,tube2,tube,inspect_capture,19.9974,-122.5069,78.5663,-128.94,0.00,0.00,13.7000,-130.3000,75.3000,0,8
16,tube2,tube,inspect_capture,15.4974,-122.5069,81.5663,-110.56,0.00,0.00,13.1000,-128.9000,78.5000,3,8
17,tube2,tube,inspect_capture,14.2974,-131.5069,82.4663,-139.51,0.00,0.00,12.9000,-132.7000,78.7000,4,7
18,tube2,tube,inspect_capture,15.1974,-131.5069,82.1663,-154.66,0.00,0.00,13.1000,-132.5000,78.5000,3,7
19,tube2,tube,inspect_capture,16.3974,-132.1069,81.2663,-175.19,0.00,0.00,14.1000,-132.3000,77.3000,2,7
20,tube2,tube,inspect_capture,12.4974,-139.9069,80.9663,93.32,0.00,0.00,12.3000,-136.5000,78.5000,3,3
21,tube2,tube,inspect_capture,11.8583,-140.0792,80.9585,89.25,0.00,0.00,11.9000,-136.9000,78.7000,4,2
22,tube2,tube,inspect_capture,13.0974,-143.5069,78.8663,82.13,0.00,0.00,13.9000,-137.7000,75.5000,1,3
23,tube2,tube,inspect_capture,12.4974,-142.9069,77.9663,83.40,0.00,0.00,13.1000,-137.7000,75.3000,0,3
24,tube2,tube,inspect_capture,11.5974,-141.7069,76.7663,81.68,0.00,0.00,12.3000,-136.9000,76.5000,2,3
25,tube2,tube,inspect_capture,11.4347,-140.9069,77.9044,86.01,0.00,0.00,11.7000,-137.1000,77.1000,2,2
26,tube2,tube,inspect_capture,10.9974,-140.8069,78.8663,82.67,0.00,0.00,11.5000,-136.9000,77.5000,3,2
27,tube2,tube,inspect_capture,9.4974,-140.2069,76.7663,68.20,0.00,0.00,10.9000,-136.7000,75.3000,1,2
28,tube2,tube,inspect_capture,8.5974,-140.2069,76.7663,64.19,0.00,0.00,10.1000,-137.1000,74.7000,0,2
29,tube2,tube,inspect_capture,6.1974,-138.4069,76.7663,42.67,0.00,0.00,8.7000,-136.1000,74.7000,0,1
30,tube2,tube,inspect_capture,7.6974,-137.2069,77.9663,40.77,0.00,0.00,11.3000,-134.1000,75.3000,1,1
31,tube2,tube,inspect_capture,11.5974,-130.6069,82.4663,18.78,0.00,0.00,12.5000,-130.3000,77.5000,2,8
