path_id,x,y,z
0,-45.3429,-110.8850,73.8413
1,-44.9875,-110.7223,74.7415
2,-44.7791,-110.7903,77.0380
3,-44.2776,-110.2149,79.0841
4,-43.9469,-102.8238,77.5162
5,-44.0278,-101.8677,76.3917
6,-44.8430,-103.3828,74.3005
7,-42.5140,-96.5241,74.5548
8,-41.8336,-97.0541,77.3066
9,-42.0963,-97.4457,79.1611
10,-41.2090,-97.0493,78.8760
11,-39.5435,-88.3760,74.3028
12,-38.7951,-88.5375,77.0964
13,-38.5026,-88.6069,77.0663
14,-38.2026,-88.6069,77.0663
15,-37.9026,-88.6069,77.0663
16,-37.6026,-88.6069,77.0663
17,-37.3026,-88.6069,77.0663
18,-37.0026,-88.6069,77.0663
19,-36.7026,-88.6069,77.0663
20,-36.4026,-88.6069,77.0663
21,-36.1026,-88.6069,77.0663
22,-35.8026,-88.6069,77.0663
23,-35.5026,-88.6069,77.0663
24,-35.2026,-88.6069,77.0663
25,-34.9026,-88.6069,77.0663
26,-34.6026,-88.6069,77.0663
27,-34.3026,-88.9069,76.7663
28,-34.0026,-88.9069,76.7663
29,-33.7026,-88.9069,76.7663
30,-33.4026,-88.9069,76.7663
31,-33.1026,-88.9069,76.7663
32,-32.8026,-89.2069,76.7663
33,-32.5026,-89.2069,76.7663
34,-32.2026,-89.5069,76.7663
35,-31.9026,-89.5069,76.7663
36,-31.6026,-89.8069,76.7663
37,-31.3026,-89.8069,76.7663
38,-31.4723,-91.5695,78.9844
39,-28.7864,-93.0922,78.9986
40,-28.6809,-93.7244,78.2281
41,-27.3633,-90.6392,75.0620
42,-29.3542,-94.0361,76.0685
43,-27.7115,-101.9205,74.4191
44,-28.4041,-104.3306,77.1338
45,-28.4986,-103.3786,79.1700
46,-29.0785,-107.6579,79.3694
47,-29.8615,-109.8620,79.3501
48,-29.5026,-109.6069,79.1663
49,-29.5026,-109.6069,78.8663
50,-29.5026,-109.6069,78.5663
51,-29.5026,-109.6069,78.2663
52,-29.2026,-109.3069,77.9663
53,-28.9026,-109.0069,77.6663
54,-28.9026,-109.0069,77.3663
55,-28.8658,-110.3285,74.3023
56,-32.5557,-112.6277,79.9811
57,-32.3558,-112.9633,76.4026
58,-30.8002,-115.7460,74.5574
59,-33.1522,-122.6126,74.7876
60,-34.9261,-121.8803,76.5988
61,-34.6675,-121.8459,78.1699
62,-34.9418,-121.9808,79.9737
63,-45.5202,-120.2971,74.5296
64,-44.5493,-120.4039,74.7769
65,-45.0711,-120.1486,76.3346
66,-44.5768,-120.1926,77.3770
67,-44.8052,-120.1381,78.6699
68,-45.0392,-119.8373,80.2149
