path_id,x,y,z
0,-45.3429,-110.8850,73.8413
1,-44.9460,-110.6995,75.7092
2,-44.6668,-109.0873,76.4442
3,-44.4038,-107.2838,76.9543
4,-44.3749,-105.8159,76.8661
5,-43.9219,-102.9627,76.3695
6,-43.4331,-100.3305,76.0140
7,-43.0629,-99.2549,76.3429
8,-42.4992,-98.2912,76.8398
9,-41.4393,-95.2898,76.8402
10,-40.6955,-93.6925,77.3486
11,-39.9093,-92.0031,77.3005
12,-38.9505,-90.2353,76.8816
13,-38.0493,-88.5468,76.5196
14,-37.3011,-88.5930,77.0723
15,-36.5826,-88.6069,77.0663
16,-35.8626,-88.6669,77.0063
17,-35.1426,-88.7269,76.9463
18,-34.3626,-88.8469,76.8863
19,-33.6426,-89.0269,76.8263
20,-32.9226,-89.2669,76.7663
21,-32.3565,-89.7994,77.2099
22,-31.3733,-90.6365,77.6564
23,-30.5490,-91.5400,77.9488
24,-29.5811,-91.7664,77.6079
25,-29.1314,-92.6123,77.4683
26,-28.3793,-94.6825,76.5553
27,-28.3028,-96.9302,76.1823
28,-28.2664,-98.8610,76.3707
29,-28.6094,-102.2648,77.2322
30,-28.7108,-105.4299,77.8885
31,-29.0691,-106.9672,78.7779
32,-29.2288,-107.9625,78.9444
33,-29.3096,-109.0881,78.5837
34,-29.2670,-109.6222,77.5703
35,-29.8058,-110.1754,77.6964
36,-30.3765,-110.8467,77.2037
37,-30.6960,-112.1345,76.5219
38,-31.5459,-114.8556,76.0062
39,-32.7580,-117.1660,76.4655
40,-33.1803,-119.0096,76.1033
41,-33.6976,-120.8131,76.8175
42,-36.6416,-121.7233,76.8119
43,-38.9210,-121.2816,76.8098
44,-40.9500,-120.9353,76.7569
45,-42.9318,-120.6046,76.5984
46,-44.9045,-120.2361,76.3376
47,-44.8083,-120.1441,77.4747
48,-44.9063,-120.0308,78.5623
49,-45.0392,-119.8373,80.2149
