viewpoint_id,device,device_type,role,x,y,z,yaw_deg,pitch_deg,roll_deg,target_x,target_y,target_z,layer_k,component_id
0,capacitor,capacitor,inspect_capture,-45.3429,-110.8850,73.8413,28.83,0.00,0.00,-42.1000,-109.1000,74.7000,0,0
1,capacitor,capacitor,inspect_capture,-45.5202,-120.2971,74.5296,57.71,0.00,0.00,-43.5000,-117.1000,74.9000,0,1
2,capacitor,capacitor,inspect_capture,-44.5493,-120.4039,74.7769,60.76,0.00,0.00,-42.7000,-117.1000,75.1000,0,2
3,capacitor,capacitor,inspect_capture,-33.1522,-122.6126,74.7876,101.39,0.00,0.00,-33.9000,-118.9000,75.1000,0,3
4,capacitor,capacitor,inspect_capture,-30.8002,-115.7460,74.5574,120.34,0.00,0.00,-32.7000,-112.5000,75.1000,0,4
5,capacitor,capacitor,inspect_capture,-28.8658,-110.3285,74.3023,150.52,0.00,0.00,-32.1000,-108.5000,75.1000,0,5
6,capacitor,capacitor,inspect_capture,-27.7115,-101.9205,74.4191,-155.01,0.00,0.00,-31.1000,-103.5000,75.1000,0,6
7,capacitor,capacitor,inspect_capture,-27.3633,-90.6392,75.0620,-120.71,0.00,0.00,-29.3000,-93.9000,75.3000,0,7
8,capacitor,capacitor,inspect_capture,-39.5435,-88.3760,74.3028,-80.20,0.00,0.00,-38.9000,-92.1000,74.7000,0,9
9,capacitor,capacitor,inspect_capture,-42.5140,-96.5241,74.5548,-57.62,0.00,0.00,-40.5000,-99.7000,75.1000,0,10
10,capacitor,capacitor,inspect_capture,-44.8430,-103.3828,74.3005,-17.50,0.00,0.00,-41.3000,-104.5000,75.1000,0,11
11,capacitor,capacitor,inspect_capture,-44.9875,-110.7223,74.7415,29.00,0.00,0.00,-41.7000,-108.9000,75.3000,1,0
12,capacitor,capacitor,inspect_capture,-44.7791,-110.7903,77.0380,29.96,0.00,0.00,-41.5000,-108.9000,76.7000,2,0
13,capacitor,capacitor,inspect_capture,-45.0711,-120.1486,76.3346,58.75,0.00,0.00,-43.1000,-116.9000,76.3000,2,1
14,capacitor,capacitor,inspect_capture,-44.5768,-120.1926,77.3770,60.32,0.00,0.00,-42.7000,-116.9000,77.1000,2,2
15,capacitor,capacitor,inspect_capture,-34.9261,-121.8803,76.5988,95.65,0.00,0.00,-35.3000,-118.1000,76.5000,2,3
16,capacitor,capacitor,inspect_capture,-32.3558,-112.9633,76.4026,120.79,0.00,0.00,-34.3000,-109.7000,76.3000,2,4
17,capacitor,capacitor,inspect_capture,-28.8172,-109.0988,77.4943,158.12,0.00,0.00,-32.3000,-107.7000,76.9000,2,5
18,capacitor,capacitor,inspect_capture,-28.4041,-104.3306,77.1338,-168.24,0.00,0.00,-32.1000,-105.1000,76.7000,2,6
19,capacitor,capacitor,inspect_capture,-29.3542,-94.0361,76.0685,-120.80,0.00,0.00,-31.3000,-97.3000,76.1000,2,7
20,capacitor,capacitor,inspect_capture,-31.3452,-89.8828,76.8491,-107.71,0.00,0.00,-32.5000,-93.5000,76.7000,2,8
21,capacitor,capacitor,inspect_capture,-38.7951,-88.5375,77.0964,-82.50,0.00,0.00,-38.3000,-92.3000,76.9000,2,9
22,capacitor,capacitor,inspect_capture,-41.8336,-97.0541,77.3066,-59.22,0.00,0.00,-39.9000,-100.3000,76.9000,2,10
23,capacitor,capacitor,inspect_capture,-44.0278,-101.8677,76.3917,-28.84,0.00,0.00,-40.7000,-103.7000,76.3000,2,11
24,capacitor,capacitor,inspect_capture,-34.6675,-121.8459,78.1699,96.59,0.00,0.00,-35.1000,-118.1000,77.7000,3,3
25,capacitor,capacitor,inspect_capture,-29.8615,-109.8620,79.3501,149.89,0.00,0.00,-32.9000,-108.1000,77.9000,3,4
26,capacitor,capacitor,inspect_capture,-28.4986,-103.3786,79.1700,-161.75,0.00,0.00,-31.9000,-104.5000,77.9000,3,6
27,capacitor,capacitor,inspect_capture,-28.6809,-93.7244,78.2281,-122.45,0.00,0.00,-30.7000,-96.9000,77.7000,3,7
28,capacitor,capacitor,inspect_capture,-43.9469,-102.8238,77.5162,-23.18,0.00,0.00,-40.5000,-104.3000,76.9000,3,11
29,capacitor,capacitor,inspect_capture,-44.2776,-110.2149,79.0841,28.35,0.00,0.00,-41.1000,-108.5000,77.9000,4,0
30,capacitor,capacitor,inspect_capture,-44.8052,-120.1381,78.6699,59.53,0.00,0.00,-42.9000,-116.9000,78.1000,4,1
31,capacitor,capacitor,inspect_capture,-32.5557,-112.6277,79.9811,120.79,0.00,0.00,-34.3000,-109.7000,78.3000,4,4
32,capacitor,capacitor,inspect_capture,-29.0785,-107.6579,79.3694,167.51,0.00,0.00,-32.5000,-106.9000,77.9000,4,5
33,capacitor,capacitor,inspect_capture,-28.7864,-93.0922,78.9986,-120.82,0.00,0.00,-30.7000,-96.3000,78.3000,4,7
34,capacitor,capacitor,inspect_capture,-31.4723,-91.5695,78.9844,-109.17,0.00,0.00,-32.7000,-95.1000,78.3000,4,8
35,capacitor,capacitor,inspect_capture,-41.2090,-97.0493,78.8760,-62.27,0.00,0.00,-39.5000,-100.3000,77.9000,4,9
36,capacitor,capacitor,inspect_capture,-42.0963,-97.4457,79.1611,-56.83,0.00,0.00,-40.1000,-100.5000,78.1000,4,10
37,capacitor,capacitor,inspect_capture,-45.0392,-119.8373,80.2149,58.28,0.00,0.00,-43.1000,-116.7000,79.3000,5,1
38,capacitor,capacitor,inspect_capture,-34.9418,-121.9808,79.9737,95.56,0.00,0.00,-35.3000,-118.3000,79.1000,5,3
