waypoint_id,x,y,z,source_viewpoint_id
0,-45.3429,-110.8850,73.8413,0
1,-44.9875,-110.7223,74.7415,1
2,-44.7791,-110.7903,77.0380,2
3,-44.2776,-110.2149,79.0841,3
4,-43.9469,-102.8238,77.5162,4
5,-44.0278,-101.8677,76.3917,5
6,-44.8430,-103.3828,74.3005,6
7,-42.5140,-96.5241,74.5548,7
8,-41.8336,-97.0541,77.3066,8
9,-42.0963,-97.4457,79.1611,9
10,-41.2090,-97.0493,78.8760,10
11,-39.5435,-88.3760,74.3028,11
12,-38.7951,-88.5375,77.0964,12
13,-31.3452,-89.8828,76.8491,13
14,-31.4723,-91.5695,78.9844,14
15,-28.7864,-93.0922,78.9986,15
16,-28.6809,-93.7244,78.2281,16
17,-27.3633,-90.6392,75.0620,17
18,-29.3542,-94.0361,76.0685,18
19,-27.7115,-101.9205,74.4191,19
20,-28.4041,-104.3306,77.1338,20
21,-28.4986,-103.3786,79.1700,21
22,-29.0785,-107.6579,79.3694,22
23,-29.8615,-109.8620,79.3501,23
24,-28.8172,-109.0988,77.4943,24
25,-28.8658,-110.3285,74.3023,25
26,-32.5557,-112.6277,79.9811,26
27,-32.3558,-112.9633,76.4026,27
28,-30.8002,-115.7460,74.5574,28
29,-33.1522,-122.6126,74.7876,29
30,-34.9261,-121.8803,76.5988,30
31,-34.6675,-121.8459,78.1699,31
32,-34.9418,-121.9808,79.9737,32
33,-45.5202,-120.2971,74.5296,33
34,-44.5493,-120.4039,74.7769,34
35,-45.0711,-120.1486,76.3346,35
36,-44.5768,-120.1926,77.3770,36
37,-44.8052,-120.1381,78.6699,37
38,-45.0392,-119.8373,80.2149,38
