path_id,x,y,z
0,2.2454,-97.3663,73.1169
1,6.4183,-98.9384,74.6245
2,9.5151,-99.4611,75.5189
3,12.9244,-100.1644,75.5443
4,18.2031,-100.6841,75.0050
5,22.2760,-100.5669,74.3867
6,26.0447,-100.2996,75.1760
7,28.7623,-100.5564,75.1376
8,31.1668,-100.5814,76.8312
9,31.3691,-100.3764,78.4123
10,31.1805,-100.4869,80.5483
11,31.1409,-100.6189,82.0227
12,31.2701,-99.2937,84.3449
13,31.3977,-97.7582,86.3730
14,30.8003,-95.3983,87.7771
15,31.4409,-92.5485,87.7710
16,31.9549,-89.7579,87.2141
17,32.3402,-87.9347,85.0439
18,32.7864,-86.2815,81.5517
19,32.2949,-85.1337,78.5251
20,30.2118,-84.4431,77.2241
21,27.0975,-83.2538,75.5439
22,23.3830,-82.0136,75.3660
23,20.1719,-80.9583,76.9212
24,18.0169,-80.4686,79.3169
25,15.5679,-79.8235,80.0545
26,13.7237,-79.9270,80.9724
27,12.1186,-79.9194,80.2251
28,7.5214,-79.7620,78.6679
29,3.4932,-79.5899,77.1306
30,0.3241,-79.4574,77.0853
31,-2.2891,-79.2209,78.4073
32,-4.7265,-79.3623,80.5968
33,-4.8169,-79.7970,82.1166
34,-4.8985,-80.2391,81.9621
35,-5.1079,-80.8947,80.4917
36,-5.8747,-83.8345,78.4177
37,-6.4335,-86.7664,77.0024
38,-6.9067,-89.4101,76.8959
39,-7.2654,-91.9573,78.3139
40,-7.3776,-92.9771,81.1361
41,-6.9326,-91.8245,84.6768
42,-5.9745,-91.3844,86.9663
43,-3.2314,-91.3958,88.7867
44,-0.3336,-92.2017,88.2445
45,3.3687,-94.8265,87.1221
46,6.9567,-97.1421,85.9387
47,10.3267,-97.3276,85.0399
48,11.5413,-96.8500,84.4614
49,12.6103,-95.6105,86.3370
50,12.0954,-93.5434,88.6694
51,12.0578,-91.8606,90.2371
52,11.8700,-91.4902,92.1217
53,12.2203,-91.3228,93.4275
54,12.6823,-91.1722,94.0712
55,13.3998,-90.9904,93.4574
56,13.5530,-89.7328,92.1407
57,14.7379,-88.6755,91.5465
58,15.7527,-87.6777,90.8711
59,18.9374,-86.2359,90.8085
