viewpoint_id,device,device_type,role,x,y,z,yaw_deg,pitch_deg,roll_deg,target_x,target_y,target_z,layer_k,component_id
0,main_transformer,transformer,inspect_capture,-7.8199,-94.1196,74.1425,10.74,0.00,0.00,-3.5000,-93.3000,75.1000,0,0
1,main_transformer,transformer,inspect_capture,2.2454,-97.3663,73.1169,33.27,0.00,0.00,5.7000,-95.1000,74.9000,0,1
2,main_transformer,transformer,inspect_capture,12.6572,-100.6621,73.1803,86.49,0.00,0.00,12.9000,-96.7000,75.3000,0,2
3,main_transformer,transformer,inspect_capture,19.2918,-100.8828,73.2435,119.07,0.00,0.00,17.3000,-97.3000,75.1000,0,3
4,main_transformer,transformer,inspect_capture,30.3886,-101.0648,74.0744,147.34,0.00,0.00,26.7000,-98.7000,75.1000,0,4
5,main_transformer,transformer,inspect_capture,31.3126,-100.2454,73.8459,150.63,0.00,0.00,27.5000,-98.1000,74.9000,0,5
6,main_transformer,transformer,inspect_capture,34.1837,-85.0645,74.3902,-166.41,0.00,0.00,29.9000,-86.1000,75.3000,0,6
7,main_transformer,transformer,inspect_capture,25.9556,-82.5010,73.8678,-148.97,0.00,0.00,22.3000,-84.7000,75.3000,0,7
8,main_transformer,transformer,inspect_capture,18.3014,-80.0863,73.3134,-116.50,0.00,0.00,16.5000,-83.7000,75.3000,0,8
9,main_transformer,transformer,inspect_capture,7.2914,-79.2821,73.5318,-60.96,0.00,0.00,9.3000,-82.9000,75.3000,0,9
10,main_transformer,transformer,inspect_capture,-4.8577,-79.0012,74.3805,-31.46,0.00,0.00,-1.1000,-81.3000,75.3000,0,10
11,main_transformer,transformer,inspect_capture,-5.9802,-82.4867,74.1004,-21.57,0.00,0.00,-1.9000,-84.1000,75.1000,0,11
12,main_transformer,transformer,inspect_capture,-7.6888,-94.6485,77.4027,12.19,0.00,0.00,-3.3000,-93.7000,77.7000,1,0
13,main_transformer,transformer,inspect_capture,3.9953,-98.4660,76.7708,41.91,0.00,0.00,7.3000,-95.5000,77.5000,1,1
14,main_transformer,transformer,inspect_capture,10.9482,-100.8316,76.9374,77.61,0.00,0.00,11.9000,-96.5000,77.7000,1,2
15,main_transformer,transformer,inspect_capture,17.7297,-99.9794,77.5892,114.16,0.00,0.00,15.9000,-95.9000,78.1000,1,3
16,main_transformer,transformer,inspect_capture,31.3175,-101.2633,77.3976,148.24,0.00,0.00,27.5000,-98.9000,77.7000,1,4
17,main_transformer,transformer,inspect_capture,31.5008,-99.3258,77.1267,153.14,0.00,0.00,27.5000,-97.3000,77.5000,1,5
18,main_transformer,transformer,inspect_capture,33.8899,-85.5211,78.1578,-167.43,0.00,0.00,29.5000,-86.5000,78.3000,1,6
19,main_transformer,transformer,inspect_capture,23.1571,-83.0962,77.9903,-144.55,0.00,0.00,19.5000,-85.7000,78.3000,1,7
20,main_transformer,transformer,inspect_capture,15.3171,-79.3201,77.2683,-100.57,0.00,0.00,14.5000,-83.7000,77.9000,1,8
21,main_transformer,transformer,inspect_capture,9.0804,-80.6035,77.9028,-66.05,0.00,0.00,10.9000,-84.7000,78.3000,1,9
22,main_transformer,transformer,inspect_capture,-4.9604,-79.1919,78.1594,-30.87,0.00,0.00,-1.1000,-81.5000,78.3000,1,10
23,main_transformer,transformer,inspect_capture,-5.3683,-81.4024,77.3867,-25.01,0.00,0.00,-1.3000,-83.3000,77.7000,1,11
24,main_transformer,transformer,inspect_capture,-7.6764,-94.3931,81.4470,11.53,0.00,0.00,-3.3000,-93.5000,80.9000,2,0
25,main_transformer,transformer,inspect_capture,7.3272,-98.1681,81.7663,53.43,0.00,0.00,9.9000,-94.7000,80.5000,2,1
26,main_transformer,transformer,inspect_capture,11.9703,-100.7097,82.5993,82.83,0.00,0.00,12.5000,-96.5000,81.1000,2,2
27,main_transformer,transformer,inspect_capture,13.9516,-93.3750,84.3562,101.23,0.00,0.00,13.5000,-91.1000,80.5000,2,3
28,main_transformer,transformer,inspect_capture,31.3145,-101.0077,81.7114,148.83,0.00,0.00,27.5000,-98.7000,81.1000,2,4
29,main_transformer,transformer,inspect_capture,31.4000,-100.0396,81.9800,151.25,0.00,0.00,27.5000,-97.9000,81.3000,2,5
30,main_transformer,transformer,inspect_capture,33.8727,-86.0329,81.7143,-168.78,0.00,0.00,29.5000,-86.9000,81.1000,2,6
31,main_transformer,transformer,inspect_capture,18.1281,-79.7879,82.1662,-115.05,0.00,0.00,16.3000,-83.7000,80.9000,2,8
32,main_transformer,transformer,inspect_capture,10.9124,-79.8708,81.6785,-76.86,0.00,0.00,11.9000,-84.1000,80.5000,2,9
33,main_transformer,transformer,inspect_capture,-4.9331,-79.2083,81.4523,-30.87,0.00,0.00,-1.1000,-81.5000,80.9000,2,10
34,main_transformer,transformer,inspect_capture,-5.3101,-81.1746,81.9797,-25.65,0.00,0.00,-1.3000,-83.1000,81.3000,2,11
35,main_transformer,transformer,inspect_capture,-7.1616,-94.1385,84.4770,11.13,0.00,0.00,-2.9000,-93.3000,83.3000,3,0
36,main_transformer,transformer,inspect_capture,12.1122,-92.0621,87.6565,58.58,0.00,0.00,12.7000,-91.1000,83.3000,3,1
37,main_transformer,transformer,inspect_capture,12.3453,-99.9351,85.9288,84.43,0.00,0.00,12.7000,-96.3000,83.3000,3,2
38,main_transformer,transformer,inspect_capture,30.3697,-100.7979,84.5259,147.95,0.00,0.00,26.7000,-98.5000,83.3000,3,4
39,main_transformer,transformer,inspect_capture,31.3027,-99.9862,84.4988,151.25,0.00,0.00,27.5000,-97.9000,83.3000,3,5
40,main_transformer,transformer,inspect_capture,33.5728,-86.5490,84.4954,-170.03,0.00,0.00,29.3000,-87.3000,83.3000,3,6
41,main_transformer,transformer,inspect_capture,15.1805,-80.0524,85.8460,-100.57,0.00,0.00,14.5000,-83.7000,83.3000,3,8
42,main_transformer,transformer,inspect_capture,12.9231,-85.2336,87.1836,-85.54,0.00,0.00,13.1000,-87.5000,83.3000,3,9
43,main_transformer,transformer,inspect_capture,-3.9859,-79.4209,84.5125,-31.73,0.00,0.00,-0.3000,-81.7000,83.3000,3,10
44,main_transformer,transformer,inspect_capture,-4.8952,-79.9890,84.4792,-29.08,0.00,0.00,-1.1000,-82.1000,83.3000,3,11
45,main_transformer,transformer,inspect_capture,-2.8982,-92.4476,88.8503,8.20,0.00,0.00,0.9000,-91.9000,86.5000,4,0
46,main_transformer,transformer,inspect_capture,6.0390,-94.4503,90.5489,30.85,0.00,0.00,8.3000,-93.1000,86.9000,4,1
47,main_transformer,transformer,inspect_capture,12.6721,-91.9706,91.1439,71.23,0.00,0.00,12.9000,-91.3000,86.7000,4,2
48,main_transformer,transformer,inspect_capture,31.9634,-94.6369,89.0085,166.37,0.00,0.00,28.1000,-93.7000,86.9000,4,5
49,main_transformer,transformer,inspect_capture,28.4129,-88.2401,89.0006,-172.94,0.00,0.00,24.7000,-88.7000,86.5000,4,6
50,main_transformer,transformer,inspect_capture,18.9374,-86.2359,90.8085,-145.47,0.00,0.00,17.1000,-87.5000,86.9000,4,7
51,main_transformer,transformer,inspect_capture,12.9837,-89.4652,91.1924,-63.66,0.00,0.00,13.1000,-89.7000,86.7000,4,9
52,main_transformer,transformer,inspect_capture,-6.5412,-87.5856,88.2115,-7.25,0.00,0.00,-2.5000,-88.1000,86.3000,4,11
53,main_transformer,transformer,inspect_capture,9.3958,-90.3742,94.2618,3.84,0.00,0.00,10.5000,-90.3000,89.9000,5,0
54,main_transformer,transformer,inspect_capture,12.1572,-91.5215,93.7671,50.88,0.00,0.00,12.5000,-91.1000,89.3000,5,1
55,main_transformer,transformer,inspect_capture,13.0129,-91.5226,93.7793,78.35,0.00,0.00,13.1000,-91.1000,89.3000,5,2
56,main_transformer,transformer,inspect_capture,13.8634,-91.2251,94.1853,116.68,0.00,0.00,13.7000,-90.9000,89.7000,5,3
57,main_transformer,transformer,inspect_capture,14.9820,-91.2177,94.3628,146.61,0.00,0.00,14.5000,-90.9000,89.9000,5,4
58,main_transformer,transformer,inspect_capture,31.9527,-93.3305,91.8515,170.21,0.00,0.00,28.3000,-92.7000,89.3000,5,5
59,main_transformer,transformer,inspect_capture,-5.5948,-88.3569,91.8457,-5.30,0.00,0.00,-1.9000,-88.7000,89.3000,5,11
