waypoint_id,x,y,z,source_viewpoint_id
0,2.2454,-97.3663,73.1169,0
1,3.9953,-98.4660,76.7708,1
2,10.9482,-100.8316,76.9374,2
3,12.6572,-100.6621,73.1803,3
4,17.7297,-99.9794,77.5892,4
5,19.2918,-100.8828,73.2435,5
6,30.3886,-101.0648,74.0744,6
7,31.3126,-100.2454,73.8459,7
8,31.5008,-99.3258,77.1267,8
9,31.3175,-101.2633,77.3976,9
10,31.3145,-101.0077,81.7114,10
11,31.4000,-100.0396,81.9800,11
12,30.3697,-100.7979,84.5259,12
13,31.3027,-99.9862,84.4988,13
14,31.9634,-94.6369,89.0085,14
15,31.9527,-93.3305,91.8515,15
16,28.4129,-88.2401,89.0006,16
17,33.5728,-86.5490,84.4954,17
18,33.8727,-86.0329,81.7143,18
19,33.8899,-85.5211,78.1578,19
20,34.1837,-85.0645,74.3902,20
21,25.9556,-82.5010,73.8678,21
22,23.1571,-83.0962,77.9903,22
23,18.3014,-80.0863,73.3134,23
24,15.3171,-79.3201,77.2683,24
25,18.1281,-79.7879,82.1662,25
26,15.1805,-80.0524,85.8460,26
27,10.9124,-79.8708,81.6785,27
28,9.0804,-80.6035,77.9028,28
29,7.2914,-79.2821,73.5318,29
30,-4.8577,-79.0012,74.3805,30
31,-4.9604,-79.1919,78.1594,31
32,-4.9331,-79.2083,81.4523,32
33,-3.9859,-79.4209,84.5125,33
34,-4.8952,-79.9890,84.4792,34
35,-5.3101,-81.1746,81.9797,35
36,-5.3683,-81.4024,77.3867,36
37,-5.9802,-82.4867,74.1004,37
38,-7.8199,-94.1196,74.1425,38
39,-7.6888,-94.6485,77.4027,39
40,-7.6764,-94.3931,81.4470,40
41,-7.1616,-94.1385,84.4770,41
42,-6.5412,-87.5856,88.2115,42
43,-5.5948,-88.3569,91.8457,43
44,-2.8982,-92.4476,88.8503,44
45,6.0390,-94.4503,90.5489,45
46,7.3272,-98.1681,81.7663,46
47,11.9703,-100.7097,82.5993,47
48,12.3453,-99.9351,85.9288,48
49,13.9516,-93.3750,84.3562,49
50,12.1122,-92.0621,87.6565,50
51,12.6721,-91.9706,91.1439,51
52,9.3958,-90.3742,94.2618,52
53,12.1572,-91.5215,93.7671,53
54,13.0129,-91.5226,93.7793,54
55,13.8634,-91.2251,94.1853,55
56,14.9820,-91.2177,94.3628,56
57,12.9837,-89.4652,91.1924,57
58,12.9231,-85.2336,87.1836,58
59,18.9374,-86.2359,90.8085,59
