path_id,x,y,z
0,36.2588,-64.1329,72.0824
1,45.2437,-60.0923,72.9918
2,41.5004,-60.0858,79.5936
3,36.8496,-64.8221,78.1994
4,27.1138,-63.1249,77.6383
5,27.5501,-62.8509,72.2877
6,28.9128,-58.6948,72.1641
7,28.0628,-57.6548,77.4426
8,16.9861,-61.1023,72.9672
9,19.2090,-60.9401,79.5622
10,22.1544,-60.4373,87.5428
11,24.4483,-53.0185,88.1155
12,30.0375,-52.7031,89.5878
13,38.4624,-54.8758,88.5257
14,58.0963,-60.0949,87.2724
15,74.9120,-68.2005,74.7113
16,73.4055,-68.0272,81.0332
17,72.2311,-67.8345,86.9840
18,71.3494,-67.8350,94.5011
19,71.0025,-68.0312,100.4254
20,71.0241,-67.5535,106.2759
21,72.6593,-56.5797,100.8286
22,20.9733,-46.5617,102.0479
23,-31.0608,-49.8787,106.1127
24,-30.9518,-50.2880,100.3883
25,-31.4181,-49.8550,93.7821
26,-32.0476,-49.8567,86.9532
27,-34.0154,-47.5418,80.9922
28,-36.1764,-46.7265,75.4874
