waypoint_id,x,y,z,source_viewpoint_id
0,11.2089,-140.2490,71.3331,0
1,66.6176,-148.3132,74.7747,1
2,66.4452,-148.7516,80.5952,2
3,65.6347,-148.9764,85.3459,3
4,65.3957,-148.3247,90.9582,4
5,65.1092,-148.7446,96.3367,5
6,18.0900,-140.3981,103.7743,6
7,18.6638,-144.4137,93.6412,7
8,11.5805,-140.8434,89.2287,8
9,11.0427,-140.4424,88.7920,9
10,8.1658,-137.2122,88.4284,10
11,12.4592,-137.7217,88.9223,11
12,13.7664,-138.2220,89.1451,12
13,20.8391,-139.6010,87.5001,13
14,21.0208,-146.0262,87.0171,14
15,22.4372,-139.2896,78.2898,15
16,24.0158,-139.3707,72.7949,16
17,14.3646,-142.4411,71.4695,17
18,13.4264,-142.4512,71.4285,18
19,14.6772,-137.4205,71.4761,19
20,13.4346,-137.0693,71.6496,20
21,11.5348,-137.4071,71.4181,21
22,10.2983,-136.8104,71.5357,22
23,-46.4514,-129.6516,101.3275,23
24,-46.5415,-129.6360,95.7953,24
25,-46.6051,-129.6250,90.2425,25
26,-46.6364,-129.8338,85.7475,26
27,-48.0421,-129.6354,79.9659,27
28,-48.2326,-131.1362,74.8345,28
