path_id,x,y,z
0,10.7678,-121.6095,72.0317
1,17.3395,-124.0865,74.3590
2,19.5778,-125.2609,77.2681
3,21.4975,-125.8028,80.2034
4,19.9738,-125.9447,81.3097
5,18.0430,-126.4964,82.2811
6,15.9541,-126.8296,80.6545
7,11.6178,-125.6567,78.8974
8,6.9235,-124.7126,76.0915
9,2.5448,-123.4866,74.9697
10,-1.6192,-122.7315,73.9498
11,-4.5378,-122.0387,75.4010
12,-6.8299,-122.2199,75.7487
13,-8.2087,-122.8458,78.3301
14,-8.3256,-123.6685,82.2058
15,-8.1749,-123.2206,87.1164
16,-9.0611,-122.8274,91.8867
17,-7.1525,-122.3415,93.4459
18,-5.3497,-122.9140,93.8015
19,-3.7940,-123.4731,92.7229
20,-0.9851,-125.5908,87.3635
