viewpoint_id,device,device_type,role,x,y,z,yaw_deg,pitch_deg,roll_deg,target_x,target_y,target_z,layer_k,component_id
0,shelf3,shelf,inspect_capture,10.7678,-121.6095,72.0317,-146.82,0.00,0.00,9.1000,-122.7000,75.5000,0,7
1,shelf3,shelf,inspect_capture,21.3320,-124.1022,73.4549,-176.70,0.00,0.00,17.9000,-124.3000,75.5000,0,6
2,shelf3,shelf,inspect_capture,21.8045,-126.1447,73.9873,176.01,0.00,0.00,18.3000,-125.9000,75.9000,0,5
3,shelf3,shelf,inspect_capture,22.0255,-126.9664,80.2893,173.22,0.00,0.00,18.1000,-126.5000,80.9000,1,5
4,shelf3,shelf,inspect_capture,21.9590,-127.4816,86.5775,171.43,0.00,0.00,18.1000,-126.9000,85.7000,2,5
5,shelf3,shelf,inspect_capture,20.3667,-124.3193,86.7079,-177.32,0.00,0.00,16.5000,-124.5000,85.7000,2,6
6,shelf3,shelf,inspect_capture,13.7134,-124.8116,78.9867,-178.60,0.00,0.00,10.1000,-124.9000,80.7000,1,6
7,shelf3,shelf,inspect_capture,12.1505,-128.9031,78.8444,149.41,0.00,0.00,9.1000,-127.1000,80.7000,1,4
8,shelf3,shelf,inspect_capture,11.5808,-128.6324,72.1563,148.95,0.00,0.00,9.7000,-127.5000,75.5000,0,4
9,shelf3,shelf,inspect_capture,0.2778,-121.6170,77.7917,-32.69,0.00,0.00,2.9000,-123.3000,80.3000,1,10
10,shelf3,shelf,inspect_capture,-3.1053,-119.5987,72.6785,-31.97,0.00,0.00,-0.7000,-121.1000,75.5000,0,10
11,shelf3,shelf,inspect_capture,-8.1798,-118.6820,73.3777,-24.72,0.00,0.00,-5.1000,-120.1000,75.5000,0,11
12,shelf3,shelf,inspect_capture,-8.6696,-125.1276,73.7447,0.47,0.00,0.00,-5.3000,-125.1000,75.9000,0,0
13,shelf3,shelf,inspect_capture,-3.0124,-125.1680,79.4122,1.05,0.00,0.00,0.7000,-125.1000,80.9000,1,0
14,shelf3,shelf,inspect_capture,-11.1827,-122.5233,79.5305,-8.45,0.00,0.00,-7.3000,-123.1000,80.3000,1,11
15,shelf3,shelf,inspect_capture,-9.9992,-122.7282,85.5852,-8.34,0.00,0.00,-6.1000,-123.3000,84.9000,2,11
16,shelf3,shelf,inspect_capture,-8.7640,-122.7954,92.7565,-8.79,0.00,0.00,-5.5000,-123.3000,90.5000,3,11
17,shelf3,shelf,inspect_capture,-7.9162,-122.8881,98.2977,-8.95,0.00,0.00,-5.3000,-123.3000,95.3000,4,11
18,shelf3,shelf,inspect_capture,-7.4437,-123.2019,103.2639,-7.92,0.00,0.00,-5.3000,-123.5000,99.9000,5,11
19,shelf3,shelf,inspect_capture,-1.6396,-120.0940,87.3262,-34.31,0.00,0.00,1.3000,-122.1000,85.5000,2,10
20,shelf3,shelf,inspect_capture,-0.9851,-125.5908,87.3635,5.06,0.00,0.00,2.3000,-125.3000,85.1000,2,0
