path_id,x,y,z
0,27.4862,-57.0794,73.8377
1,25.9230,-57.9182,74.6462
2,22.8978,-56.6187,73.8927
3,20.9204,-57.1937,74.8514
4,19.9280,-57.8270,74.5199
5,20.9568,-56.9507,77.7807
6,23.1950,-56.8015,79.1170
7,26.1837,-56.9147,78.5048
8,29.4891,-58.0395,79.4741
9,30.9514,-58.3038,79.3789
10,30.8207,-58.3678,76.8168
11,30.7875,-58.4127,74.8324
12,34.6180,-59.2319,74.7137
13,68.3906,-68.0641,78.9143
14,68.3949,-68.2840,77.3766
15,68.3928,-68.5036,75.1794
16,61.9953,-66.0843,74.7090
17,56.5983,-65.6250,75.8123
18,56.1989,-65.6238,76.9538
19,56.7931,-65.6256,78.3199
20,56.5672,-65.6256,80.5992
21,46.8654,-63.1732,81.5685
22,38.2370,-74.0760,74.8879
23,37.2148,-73.7344,77.5890
24,36.1071,-73.9173,76.2093
25,29.6711,-73.6067,79.5935
26,28.6339,-74.2971,79.2476
27,29.0239,-74.3870,77.1813
28,27.7419,-74.3805,75.7510
29,25.9245,-74.4391,74.2758
30,24.4432,-74.2408,74.2273
31,23.2878,-73.9991,74.5690
32,31.0051,-58.6419,82.0270
33,26.4060,-57.6135,83.0297
34,26.1459,-57.8630,82.0291
35,22.0944,-57.4543,82.9187
36,21.0114,-58.0347,81.5968
37,22.0773,-61.8795,74.4875
38,19.2892,-62.7250,78.3001
39,22.6252,-63.7583,81.7647
40,21.7913,-69.8653,80.9227
41,23.2360,-70.9665,80.5209
42,22.1889,-73.8715,78.3576
43,18.1891,-72.2922,76.8320
44,17.9986,-72.1575,74.4326
45,4.6372,-68.2903,78.4692
46,-1.1983,-67.0166,76.4959
47,-5.1958,-66.3099,75.1187
48,-14.9584,-61.2154,79.5968
49,-26.9341,-56.8037,78.6576
50,-27.5324,-56.3812,77.5769
51,-27.7675,-59.3990,76.0665
52,-28.1753,-60.4807,74.7724
