path_id,x,y,z
0,27.4862,-57.0794,73.8377
1,24.9427,-57.1779,74.2131
2,23.4311,-57.3274,74.3496
3,22.1252,-57.3017,75.1382
4,21.5796,-57.0783,76.0323
5,22.2368,-57.1375,76.9548
6,23.9505,-57.3067,77.8793
7,26.1552,-57.4021,78.8511
8,28.1280,-57.6855,78.6583
9,29.6465,-58.0077,77.8014
10,31.3334,-58.4712,77.0432
11,39.1137,-60.4761,76.9312
12,46.6024,-62.4721,76.5308
13,54.1168,-64.4993,76.2033
14,60.3583,-66.0336,76.1786
15,64.7544,-67.3122,76.3983
16,62.3160,-66.8242,76.0062
17,59.9957,-66.2925,76.1949
18,57.6306,-65.7169,77.2788
19,54.6046,-65.1346,78.6507
20,50.9323,-66.8248,78.4658
21,47.1355,-68.4470,78.5929
22,42.9983,-70.1053,78.1708
23,37.6191,-71.7015,77.9696
24,33.9728,-73.9263,77.5055
25,32.1302,-73.9885,77.9641
26,30.2356,-74.1177,77.5966
27,28.1991,-74.2221,77.2098
28,27.1535,-74.3489,76.1366
29,26.0843,-74.2893,75.2009
30,26.4805,-71.1403,76.1700
31,26.2133,-67.7869,77.6257
32,26.2576,-64.4717,79.1764
33,25.7879,-61.1144,80.9147
34,25.3326,-57.9215,82.3202
35,23.5470,-58.5690,80.8124
36,22.1236,-59.5913,79.8664
37,21.4195,-60.7704,79.8135
38,21.3589,-63.2525,79.4144
39,21.8038,-65.8389,79.1992
40,21.8261,-68.2373,79.9732
41,21.6061,-70.1507,79.6796
42,20.6808,-71.8306,78.2132
43,17.2499,-71.5156,77.7225
44,12.3631,-70.7256,76.9175
45,6.8862,-69.2133,76.2697
46,0.2567,-66.9979,76.8227
47,-8.7299,-63.9272,77.6676
48,-15.1638,-61.5453,77.4892
49,-20.4776,-60.0218,77.4033
50,-25.0735,-58.8560,77.3340
51,-27.7169,-58.7091,76.3691
52,-28.1753,-60.4807,74.7724
