viewpoint_id,device,device_type,role,x,y,z,yaw_deg,pitch_deg,roll_deg,target_x,target_y,target_z,layer_k,component_id
0,tube2,tube,inspect_capture,9.4215,-135.5324,72.1969,37.33,0.00,0.00,11.3000,-134.1000,75.3000,1,1
1,tube2,tube,inspect_capture,-42.1040,-121.4437,75.2196,-12.69,0.00,0.00,-38.3000,-122.3000,75.3000,1,11
2,tube2,tube,inspect_capture,-44.1781,-127.9059,74.5766,-5.80,0.00,0.00,-40.3000,-128.3000,74.7000,0,11
3,tube2,tube,inspect_capture,-42.5715,-127.0329,77.1564,-6.88,0.00,0.00,-38.7000,-127.5000,77.1000,2,11
4,tube2,tube,inspect_capture,-42.9828,-128.9722,78.6626,-4.83,0.00,0.00,-39.1000,-129.3000,78.5000,3,11
5,tube2,tube,inspect_capture,-42.5626,-127.0340,80.1698,-6.88,0.00,0.00,-38.7000,-127.5000,79.9000,5,11
6,tube2,tube,inspect_capture,-16.3990,-133.7144,76.9857,0.21,0.00,0.00,-12.5000,-133.7000,76.9000,2,0
7,tube2,tube,inspect_capture,-15.7905,-133.7148,74.4287,0.22,0.00,0.00,-11.9000,-133.7000,74.7000,0,0
8,tube2,tube,inspect_capture,-12.9950,-133.7167,75.1033,0.25,0.00,0.00,-9.1000,-133.7000,75.3000,1,0
9,tube2,tube,inspect_capture,-7.1764,-134.4756,78.2910,2.59,0.00,0.00,-3.3000,-134.3000,77.9000,3,0
10,tube2,tube,inspect_capture,-6.9518,-134.2256,79.2985,1.87,0.00,0.00,-3.1000,-134.1000,78.7000,4,0
11,tube2,tube,inspect_capture,-0.0386,-126.5263,74.8896,-30.59,0.00,0.00,3.3000,-128.5000,75.3000,0,10
12,tube2,tube,inspect_capture,4.9268,-129.5468,76.6273,-30.07,0.00,0.00,8.3000,-131.5000,76.5000,2,10
13,tube2,tube,inspect_capture,9.8328,-126.5098,74.2131,-73.45,0.00,0.00,10.9000,-130.1000,75.3000,0,9
14,tube2,tube,inspect_capture,11.4435,-126.3980,78.6999,-86.04,0.00,0.00,11.7000,-130.1000,77.5000,2,9
15,tube2,tube,inspect_capture,13.1128,-126.6576,78.7519,-99.55,0.00,0.00,12.5000,-130.3000,77.5000,2,8
16,tube2,tube,inspect_capture,13.9513,-125.4343,80.0730,-103.80,0.00,0.00,13.1000,-128.9000,78.5000,3,8
17,tube2,tube,inspect_capture,14.2900,-131.3786,82.0959,-136.45,0.00,0.00,12.9000,-132.7000,78.7000,4,7
18,tube2,tube,inspect_capture,14.7886,-130.8804,81.6202,-136.19,0.00,0.00,13.1000,-132.5000,78.5000,3,7
19,tube2,tube,inspect_capture,17.2249,-130.4026,78.6583,-148.73,0.00,0.00,14.1000,-132.3000,77.3000,2,7
20,tube2,tube,inspect_capture,15.4592,-126.9859,74.2361,-117.96,0.00,0.00,13.7000,-130.3000,75.3000,0,8
21,tube2,tube,inspect_capture,18.0869,-127.9183,74.4179,-137.19,0.00,0.00,15.3000,-130.5000,75.3000,0,7
22,tube2,tube,inspect_capture,5.8345,-138.3004,73.2312,37.52,0.00,0.00,8.7000,-136.1000,74.7000,0,1
23,tube2,tube,inspect_capture,8.4216,-140.2783,73.1862,62.16,0.00,0.00,10.1000,-137.1000,74.7000,0,2
24,tube2,tube,inspect_capture,9.7140,-140.2135,74.0921,71.35,0.00,0.00,10.9000,-136.7000,75.3000,1,2
25,tube2,tube,inspect_capture,12.6852,-139.6204,80.8076,97.04,0.00,0.00,12.3000,-136.5000,78.5000,3,3
26,tube2,tube,inspect_capture,11.8583,-140.0792,80.9585,89.25,0.00,0.00,11.9000,-136.9000,78.7000,4,2
27,tube2,tube,inspect_capture,11.0075,-140.5564,78.7641,82.33,0.00,0.00,11.5000,-136.9000,77.5000,3,2
28,tube2,tube,inspect_capture,11.4347,-140.9069,77.9044,86.01,0.00,0.00,11.7000,-137.1000,77.1000,2,2
29,tube2,tube,inspect_capture,12.7201,-140.7739,76.6619,96.19,0.00,0.00,12.3000,-136.9000,76.5000,2,3
30,tube2,tube,inspect_capture,14.1296,-141.3408,74.3543,105.79,0.00,0.00,13.1000,-137.7000,75.3000,0,3
31,tube2,tube,inspect_capture,15.5534,-141.1562,74.7713,115.57,0.00,0.00,13.9000,-137.7000,75.5000,1,3
32,tube2,tube,inspect_capture,24.4284,-141.0957,74.9138,149.05,0.00,0.00,21.1000,-139.1000,75.3000,0,4
33,tube2,tube,inspect_capture,24.2233,-141.1372,76.8252,148.49,0.00,0.00,20.9000,-139.1000,76.7000,2,4
34,tube2,tube,inspect_capture,24.5103,-141.7896,79.2334,146.94,0.00,0.00,21.3000,-139.7000,78.5000,3,4
35,tube2,tube,inspect_capture,25.5778,-141.6275,79.9664,149.54,0.00,0.00,22.3000,-139.7000,79.1000,4,4
36,tube2,tube,inspect_capture,32.9975,-132.9842,76.7767,-178.30,0.00,0.00,29.1000,-133.1000,76.7000,2,6
37,tube2,tube,inspect_capture,33.3887,-133.4757,77.9962,-179.64,0.00,0.00,29.5000,-133.5000,77.7000,3,6
38,tube2,tube,inspect_capture,35.5939,-133.2390,75.0906,-179.10,0.00,0.00,31.7000,-133.3000,75.3000,0,6
39,tube2,tube,inspect_capture,62.2756,-146.4643,78.4571,165.67,0.00,0.00,58.5000,-145.5000,78.3000,3,5
40,tube2,tube,inspect_capture,62.2930,-144.9547,80.4045,167.30,0.00,0.00,58.5000,-144.1000,80.1000,5,5
41,tube2,tube,inspect_capture,62.5077,-144.5217,78.8904,167.82,0.00,0.00,58.7000,-143.7000,78.7000,4,5
42,tube2,tube,inspect_capture,63.3545,-141.4909,77.1598,171.28,0.00,0.00,59.5000,-140.9000,77.1000,2,5
43,tube2,tube,inspect_capture,63.5613,-140.8410,75.2141,172.03,0.00,0.00,59.7000,-140.3000,75.3000,0,5
