mission_waypoint_id,role,device,device_type,region,device_order_index,x,y,z,yaw_deg,pitch_deg,roll_deg,target_x,target_y,target_z,source_phase2_viewpoint_id,source_phase2_row_index
0,home_start,home,home,home,-1,58.0974,-129.4069,76.7663,0.00,0.00,0.00,58.0974,-129.4069,76.7663,-1,-1
1,inspect_capture,shelf3,shelf,region_shelf2_tube2_shelf3,0,21.1974,-124.3069,86.6663,-177.65,0.00,0.00,16.5000,-124.5000,85.7000,20,20
2,inspect_capture,shelf3,shelf,region_shelf2_tube2_shelf3,0,21.9590,-127.4816,86.5775,171.43,0.00,0.00,18.1000,-126.9000,85.7000,19,19
3,inspect_capture,shelf3,shelf,region_shelf2_tube2_shelf3,0,22.0974,-126.1069,76.7663,176.88,0.00,0.00,18.3000,-125.9000,75.9000,17,17
4,inspect_capture,shelf3,shelf,region_shelf2_tube2_shelf3,0,21.4974,-123.7069,76.7663,-170.64,0.00,0.00,17.9000,-124.3000,75.5000,16,16
5,inspect_capture,shelf3,shelf,region_shelf2_tube2_shelf3,0,15.1974,-122.2069,80.0663,-152.15,0.00,0.00,10.1000,-124.9000,80.7000,15,15
6,inspect_capture,shelf3,shelf,region_shelf2_tube2_shelf3,0,11.2974,-120.7069,76.7663,-137.79,0.00,0.00,9.1000,-122.7000,75.5000,14,14
7,inspect_capture,shelf3,shelf,region_shelf2_tube2_shelf3,0,9.4974,-130.9069,81.2663,86.60,0.00,0.00,9.7000,-127.5000,75.5000,12,12
8,inspect_capture,shelf3,shelf,region_shelf2_tube2_shelf3,0,-4.0026,-128.2069,82.1663,33.45,0.00,0.00,0.7000,-125.1000,80.9000,11,11
9,inspect_capture,shelf3,shelf,region_shelf2_tube2_shelf3,0,-1.3026,-127.9069,89.6663,35.89,0.00,0.00,2.3000,-125.3000,85.1000,10,10
10,inspect_capture,shelf3,shelf,region_shelf2_tube2_shelf3,0,-4.9026,-118.3069,90.5663,-31.45,0.00,0.00,1.3000,-122.1000,85.5000,9,9
