waypoint_id,x,y,z
0,58.0974,-129.4069,76.7663
1,21.1974,-124.3069,86.6663
2,21.9590,-127.4816,86.5775
3,22.0974,-126.1069,76.7663
4,21.4974,-123.7069,76.7663
5,15.1974,-122.2069,80.0663
6,11.2974,-120.7069,76.7663
7,9.4974,-130.9069,81.2663
8,-4.0026,-128.2069,82.1663
9,-1.3026,-127.9069,89.6663
10,-4.9026,-118.3069,90.5663
11,-7.6026,-123.1069,103.4663
12,-9.9992,-122.7282,85.5852
13,0.1974,-119.5069,80.0663
14,-2.8026,-118.6069,76.7663
15,-8.2026,-118.9069,76.7663
16,-11.8026,-122.5069,79.4663
17,-11.2026,-124.0069,76.7663
18,-43.6026,-125.5069,81.2663
19,-45.4026,-126.1069,76.7663
20,-44.2026,-125.2069,77.0663
21,-42.1026,-121.6069,76.7663
22,-8.2026,-133.9069,79.4663
23,4.0974,-129.4069,80.9663
24,5.8974,-128.8069,80.3663
25,7.3974,-130.3069,81.2663
26,11.5974,-130.6069,82.4663
27,7.6974,-137.2069,77.9663
28,6.1974,-138.4069,76.7663
29,8.5974,-140.2069,76.7663
30,9.4974,-140.2069,76.7663
31,10.9974,-140.8069,78.8663
32,11.4347,-140.9069,77.9044
33,11.5974,-141.7069,76.7663
34,13.0974,-143.5069,78.8663
35,12.4974,-139.9069,80.9663
36,16.3974,-132.1069,81.2663
37,15.1974,-131.5069,82.1663
38,14.2974,-131.5069,82.4663
39,15.4974,-122.5069,81.5663
40,19.9974,-122.5069,78.5663
41,21.7974,-127.3069,76.7663
42,25.0974,-137.8069,82.4663
43,25.0974,-136.6069,81.5663
44,35.8974,-130.6069,76.7663
45,63.7974,-140.8069,76.7663
46,63.3545,-141.4909,77.1598
47,64.6974,-144.1069,77.3663
48,63.4974,-143.2069,78.8663
49,63.4974,-143.5069,81.2663
50,-16.9026,-133.6069,76.7663
51,10.9974,-140.8069,76.7663
52,67.0974,-148.3069,76.7663
53,67.3974,-148.0069,80.6663
54,65.6347,-148.9764,85.3459
55,65.5974,-148.3069,90.8663
56,65.2974,-148.6069,96.2663
57,18.1974,-140.5069,104.3663
58,18.7974,-144.4069,93.8663
59,21.7974,-147.4069,88.4663
60,25.0974,-136.6069,81.5663
61,25.9974,-135.7069,81.2663
62,20.8974,-138.1069,89.0663
63,13.3974,-137.5069,89.6663
64,12.4974,-137.5069,89.6663
65,8.2974,-136.3069,89.3663
66,11.5974,-140.8069,89.9663
67,10.9974,-141.4069,89.6663
68,12.4974,-140.5069,79.7663
69,13.0974,-143.8069,76.7663
70,9.1974,-139.9069,76.7663
71,8.2974,-139.0069,76.7663
72,-46.4514,-129.6516,101.3275
73,-46.6364,-129.8338,85.7475
74,-48.4026,-128.5069,79.7663
75,-48.4026,-131.2069,76.7663
76,-46.0026,-121.0069,80.0663
77,-45.1026,-120.7069,76.7663
78,-34.6026,-122.8069,80.9663
79,-31.3026,-113.2069,81.5663
80,-28.9026,-119.2069,76.7663
81,-30.1026,-115.6069,76.7663
82,-30.1026,-110.8069,76.7663
83,-28.9026,-110.5069,76.7663
84,-28.8172,-109.0988,77.4943
85,-29.8615,-109.8620,79.3501
86,-28.9026,-107.8069,79.7663
87,-28.3026,-103.3069,79.1663
88,-28.4041,-104.3306,77.1338
89,-27.7026,-102.1069,76.7663
90,-27.4026,-94.3069,77.3663
91,-28.0026,-94.0069,76.7663
92,-27.4026,-90.4069,76.7663
93,-31.3452,-89.8828,76.8491
94,-32.8026,-90.1069,78.5663
95,-39.7026,-88.3069,76.7663
96,-42.1026,-97.3069,79.4663
97,-42.7026,-96.4069,78.2663
98,-43.0026,-96.4069,76.7663
99,-44.2026,-101.8069,76.7663
100,-44.2026,-102.7069,77.3663
101,-44.8026,-103.6069,76.7663
102,-44.5026,-110.2069,79.4663
103,-45.7026,-110.8069,76.7663
104,-7.9026,-94.3069,76.7663
105,-8.5026,-93.7069,81.5663
106,-7.1616,-94.1385,84.4770
107,-3.7026,-92.5069,88.7663
108,-5.8026,-88.3069,91.7663
109,-6.7026,-87.4069,88.4663
110,-4.8952,-79.9890,84.4792
111,-5.5026,-80.8069,81.8663
112,-4.9026,-79.0069,81.5663
113,-4.9604,-79.1919,78.1594
114,-4.9026,-78.7069,76.7663
115,-5.5026,-81.1069,77.3663
116,-5.8026,-82.6069,76.7663
117,7.3974,-79.0069,76.7663
118,9.4974,-79.6069,77.3663
119,10.6974,-79.9069,81.8663
120,15.1805,-80.0524,85.8460
121,18.1974,-79.3069,82.1663
122,15.1974,-79.0069,77.3663
123,18.1974,-79.9069,76.7663
124,23.2974,-82.0069,77.6663
125,25.9974,-82.3069,76.7663
126,34.3974,-85.0069,76.7663
127,33.7974,-86.5069,84.5663
128,29.5974,-88.3069,90.2663
129,31.9974,-93.4069,92.0663
130,32.5974,-94.6069,89.0663
131,31.3974,-100.3069,84.5663
132,31.6974,-100.0069,81.8663
133,31.3145,-101.0077,81.7114
134,31.6974,-99.7069,77.0663
135,31.3974,-100.6069,76.7663
136,16.0974,-105.4069,76.7663
137,10.6974,-104.5069,76.7663
138,4.6974,-103.6069,76.7663
139,-1.9026,-99.1069,76.7663
140,10.6974,-102.7069,84.5663
141,10.6974,-100.9069,85.1663
142,11.2974,-97.6069,90.2663
143,11.8974,-95.2069,90.8663
144,6.1974,-94.6069,92.0663
145,12.7974,-93.7069,92.9663
146,12.1974,-91.9069,94.1663
147,13.0974,-91.9069,94.1663
148,13.9974,-91.3069,94.4663
149,14.9820,-91.2177,94.3628
150,9.4974,-90.4069,94.4663
151,12.1974,-87.4069,93.2663
152,14.5974,-82.6069,89.9663
153,19.3974,-86.2069,92.0663
154,33.4974,-75.7069,76.7663
155,32.5974,-78.7069,76.7663
156,34.9974,-79.6069,77.3663
157,35.5974,-80.5069,83.9663
158,35.5974,-79.0069,84.8663
159,34.0974,-75.1069,85.1663
160,32.2974,-70.6069,83.0663
161,28.3974,-70.0069,83.6663
162,18.7974,-71.8069,81.5663
163,16.3974,-71.5069,81.5663
164,16.3974,-74.8069,81.2663
165,17.8974,-74.8069,81.2663
166,23.8974,-79.0069,83.3663
167,24.1974,-79.6069,76.7663
168,19.0974,-77.8069,76.7663
169,13.9974,-76.9069,76.7663
170,5.8974,-75.7069,83.6663
171,0.7974,-68.8069,84.8663
172,-1.0026,-69.1069,83.3663
173,-0.7026,-70.0069,77.6663
174,0.7974,-71.8069,76.7663
175,1.9974,-75.1069,77.6663
176,2.2974,-75.4069,76.7663
177,-7.6026,-68.8069,76.7663
178,-3.1026,-69.4069,79.1663
179,2.2974,-67.6069,80.6663
180,66.7974,-61.0069,79.1663
181,69.7974,-71.5069,82.1663
182,68.5974,-72.1069,80.6663
183,65.5974,-72.1069,79.7663
184,55.0974,-69.7069,81.8663
185,55.0974,-68.2069,83.6663
186,47.5974,-67.3069,84.5663
187,36.7974,-55.9069,76.7663
188,32.8974,-55.6069,76.7663
189,32.5974,-55.6069,79.4663
190,28.6974,-54.7069,79.1663
191,25.3974,-54.1069,76.7663
192,17.5974,-53.8069,77.9663
193,17.8974,-53.8069,79.1663
194,16.9974,-54.7069,79.1663
195,17.5974,-54.7069,82.7663
196,18.7974,-54.1069,83.0663
197,28.6974,-54.7069,82.1663
198,32.8974,-56.2069,83.3663
199,31.6974,-70.3069,82.7663
200,37.6974,-75.7069,79.1663
201,34.9974,-76.0069,76.7663
202,32.5974,-78.7069,76.7663
203,19.9974,-78.7069,76.7663
204,17.8974,-76.3069,80.6663
205,16.3974,-76.0069,80.6663
206,21.1974,-68.8069,82.1663
207,22.6974,-64.6069,82.7663
208,20.5974,-64.3069,81.8663
209,16.9974,-63.1069,81.5663
210,-16.6026,-63.1069,81.2663
211,-27.1026,-56.8069,78.5663
212,-27.5324,-56.3812,77.5769
213,-28.0026,-60.4069,76.7663
214,-36.4026,-46.6069,76.7663
215,-34.3026,-47.5069,81.2663
216,-32.2026,-49.9069,86.9663
217,-31.0608,-49.8787,106.1127
218,20.8974,-46.6069,102.2663
219,72.7974,-56.5069,101.0663
220,71.0241,-67.5535,106.2759
221,71.2974,-68.2069,100.4663
222,72.4974,-67.9069,86.9663
223,72.7974,-69.4069,82.4663
224,74.8974,-67.9069,76.7663
225,57.1974,-58.0069,85.4663
226,46.9974,-57.4069,76.7663
227,44.2974,-57.4069,79.7663
228,40.0974,-68.2069,81.8663
