path_id,x,y,z
0,58.0974,-129.4069,76.7663
1,38.8974,-124.9069,81.5663
2,18.1974,-121.9069,79.4663
3,17.8974,-121.9069,79.7663
4,14.2974,-121.3069,79.1663
5,13.6974,-121.3069,78.8663
6,11.2974,-120.7069,76.7663
7,9.4974,-130.9069,81.2663
8,-1.6026,-129.7069,82.7663
9,-1.9026,-128.5069,88.7663
10,-1.3026,-127.3069,90.8663
11,-1.3026,-127.0069,91.1663
12,-1.3026,-126.7069,91.4663
13,-1.0026,-125.8069,92.0663
14,-1.0026,-124.3069,92.3663
15,-1.0026,-121.9069,92.3663
16,-1.6026,-121.0069,92.0663
17,-3.7026,-118.9069,91.1663
18,-6.1026,-119.2069,93.8663
19,-24.7267,-125.5489,83.7239
20,0.4974,-130.6069,82.7663
21,17.8974,-131.8069,84.8663
22,24.2663,-134.4850,81.6913
23,26.5974,-131.5069,83.0663
24,26.5974,-130.3069,83.6663
25,26.5974,-128.2069,83.6663
26,27.1974,-127.0069,83.0663
27,27.4974,-126.7069,82.7663
28,27.7974,-126.4069,82.7663
29,28.0974,-126.1069,82.7663
30,29.2974,-124.9069,81.5663
31,31.6974,-124.0069,79.1663
32,33.1974,-124.0069,77.9663
33,44.8974,-126.1069,77.0663
34,60.1974,-136.0069,80.6663
35,61.6974,-137.5069,80.6663
36,63.4974,-143.5069,81.2663
37,-16.9026,-133.6069,76.7663
38,-17.2026,-137.2069,76.7663
39,-16.6026,-138.7069,76.7663
40,-16.3026,-139.0069,76.7663
41,-15.4026,-139.9069,76.7663
42,-13.0136,-140.6470,76.7663
43,54.5524,-152.5647,76.7663
44,61.6974,-153.4069,76.7663
45,62.8974,-153.1069,76.7663
46,64.9974,-151.9069,76.7663
47,66.4974,-150.4069,76.7663
48,67.0974,-149.2069,76.7663
49,67.3974,-148.3069,77.0663
50,67.6974,-148.3069,78.2663
51,67.3974,-148.0069,82.7663
52,65.2974,-148.6069,96.2663
53,18.1974,-140.5069,104.3663
54,19.0428,-142.1341,103.7851
55,21.0101,-143.2065,102.2248
56,18.4974,-143.2069,102.8663
57,18.7974,-143.5069,102.5663
58,22.3974,-145.6069,89.9663
59,21.1190,-140.4749,92.4404
60,23.2974,-139.3069,89.6663
61,19.0974,-136.3069,89.0663
62,18.1974,-136.0069,89.3663
63,-38.2026,-122.5069,81.8663
64,-35.2026,-118.9069,83.0663
65,-35.2026,-118.3069,83.0663
66,-34.6026,-117.1069,83.0663
67,-32.5026,-114.7069,82.4663
68,-30.3961,-111.8931,81.8911
69,-28.9274,-112.0271,80.8616
70,-26.6960,-105.7319,80.1762
71,-23.2026,-101.8069,82.1663
72,-5.2026,-80.2069,83.9663
73,-7.2101,-82.4288,81.6420
74,-6.5724,-81.3040,78.3563
75,-4.4262,-78.4704,77.5803
76,-4.0026,-77.8069,76.7663
77,-3.7026,-77.5069,76.7663
78,-2.2026,-76.6069,76.7663
79,-0.4026,-76.3069,76.7663
80,29.8974,-81.1069,76.7663
81,31.3974,-81.7069,76.7663
82,33.4974,-83.5069,76.7663
83,34.0974,-86.2069,82.7663
84,34.0974,-86.2069,83.9663
85,31.9974,-97.3069,86.3663
86,31.6974,-100.0069,83.3663
87,31.6974,-100.3069,77.0663
88,31.3974,-100.6069,76.7663
89,16.0974,-105.4069,76.7663
90,5.8974,-104.2069,76.7663
91,4.6974,-103.6069,76.7663
92,-1.9026,-99.1069,76.7663
93,-2.2026,-99.4069,76.7663
94,-2.5026,-100.0069,77.3663
95,-3.1026,-100.6069,77.9663
96,-3.4026,-100.9069,83.6663
97,-3.6526,-100.8227,82.0075
98,-3.9955,-100.9941,83.2932
99,-4.3026,-101.2069,84.5663
100,-4.6026,-101.2069,84.8663
101,-4.9026,-101.2069,86.3663
102,-4.9026,-101.2069,88.4663
103,-4.3026,-101.8069,89.3663
104,-4.3026,-102.1069,89.6663
105,-3.1026,-103.3069,90.8663
106,-2.2026,-104.2069,91.1663
107,-1.3026,-104.8069,91.1663
108,6.4974,-107.5069,91.1663
109,9.4974,-90.4069,94.4663
110,10.9974,-88.9069,94.4663
111,27.7974,-85.9069,92.3663
112,28.9974,-85.3069,91.7663
113,29.8974,-85.3069,90.8663
114,35.5974,-79.6069,84.8663
115,35.2974,-77.8069,85.1663
116,35.2974,-76.3069,85.1663
117,33.7974,-71.8069,84.2663
118,32.5974,-70.6069,83.0663
119,31.3974,-70.0069,83.3663
120,23.5974,-68.8069,83.3663
121,22.9974,-68.5069,83.0663
122,21.7974,-68.5069,83.0663
123,19.9974,-69.4069,82.7663
124,19.3974,-70.0069,82.7663
125,16.6974,-72.7069,81.5663
126,18.1974,-76.6069,81.8663
127,12.7974,-77.5069,78.2663
128,10.0974,-77.5069,80.9663
129,1.3974,-76.6069,83.6663
130,0.1974,-75.4069,84.8663
131,-0.4026,-74.2069,85.4663
132,-0.4026,-71.2069,85.4663
133,0.4974,-69.1069,84.8663
134,-1.9026,-69.1069,82.4663
135,-2.8026,-69.4069,79.4663
136,-1.9026,-68.8069,80.3663
137,-1.6026,-68.5069,80.6663
138,-1.3026,-68.2069,80.6663
139,0.1974,-67.6069,81.2663
140,1.0974,-67.6069,81.2663
141,2.2974,-67.6069,80.6663
142,2.2974,-67.3069,80.9663
143,2.8974,-66.7069,81.5663
144,5.8974,-64.0069,82.1663
145,9.4974,-60.4069,82.1663
146,18.4974,-53.5069,79.7663
147,19.6974,-53.2069,79.4663
148,23.8974,-52.9069,79.4663
149,66.4974,-60.7069,79.1663
150,67.6974,-61.0069,79.7663
151,70.0974,-62.2069,81.5663
152,72.4974,-64.6069,83.9663
153,73.0974,-65.8069,84.5663
154,73.0974,-68.2069,84.5663
155,72.7974,-69.1069,84.2663
156,71.8974,-70.0069,83.9663
