mission_waypoint_id,role,device,device_type,region,device_order_index,x,y,z,yaw_deg,pitch_deg,roll_deg,target_x,target_y,target_z,source_phase2_viewpoint_id,source_phase2_row_index
0,home_start,home,home,home,-1,58.0974,-129.4069,76.7663,0.00,0.00,0.00,58.0974,-129.4069,76.7663,-1,-1
1,inspect_capture,shelf3,shelf,region_shelf2_tube2_shelf3,0,10.7678,-121.6095,72.0317,-146.82,0.00,0.00,9.1000,-122.7000,75.5000,0,0
2,inspect_capture,shelf3,shelf,region_shelf2_tube2_shelf3,0,21.3320,-124.1022,73.4549,-176.70,0.00,0.00,17.9000,-124.3000,75.5000,1,1
3,inspect_capture,shelf3,shelf,region_shelf2_tube2_shelf3,0,21.8045,-126.1447,73.9873,176.01,0.00,0.00,18.3000,-125.9000,75.9000,2,2
4,inspect_capture,shelf3,shelf,region_shelf2_tube2_shelf3,0,22.0255,-126.9664,80.2893,173.22,0.00,0.00,18.1000,-126.5000,80.9000,3,3
5,inspect_capture,shelf3,shelf,region_shelf2_tube2_shelf3,0,21.9590,-127.4816,86.5775,171.43,0.00,0.00,18.1000,-126.9000,85.7000,4,4
6,inspect_capture,shelf3,shelf,region_shelf2_tube2_shelf3,0,20.3667,-124.3193,86.7079,-177.32,0.00,0.00,16.5000,-124.5000,85.7000,5,5
7,inspect_capture,shelf3,shelf,region_shelf2_tube2_shelf3,0,13.7134,-124.8116,78.9867,-178.60,0.00,0.00,10.1000,-124.9000,80.7000,6,6
8,inspect_capture,shelf3,shelf,region_shelf2_tube2_shelf3,0,12.1505,-128.9031,78.8444,149.41,0.00,0.00,9.1000,-127.1000,80.7000,7,7
9,inspect_capture,shelf3,shelf,region_shelf2_tube2_shelf3,0,11.5808,-128.6324,72.1563,148.95,0.00,0.00,9.7000,-127.5000,75.5000,8,8
10,inspect_capture,shelf3,shelf,region_shelf2_tube2_shelf3,0,0.2778,-121.6170,77.7917,-32.69,0.00,0.00,2.9000,-123.3000,80.3000,9,9
11,inspect_capture,shelf3,shelf,region_shelf2_tube2_shelf3,0,-3.1053,-119.5987,72.6785,-31.97,0.00,0.00,-0.7000,-121.1000,75.5000,10,10
12,inspect_capture,shelf3,shelf,region_shelf2_tube2_shelf3,0,-8.1798,-118.6820,73.3777,-24.72,0.00,0.00,-5.1000,-120.1000,75.5000,11,11
13,inspect_capture,shelf3,shelf,region_shelf2_tube2_shelf3,0,-8.6696,-125.1276,73.7447,0.47,0.00,0.00,-5.3000,-125.1000,75.9000,12,12
14,inspect_capture,shelf3,shelf,region_shelf2_tube2_shelf3,0,-3.0124,-125.1680,79.4122,1.05,0.00,0.00,0.7000,-125.1000,80.9000,13,13
15,inspect_capture,shelf3,shelf,region_shelf2_tube2_shelf3,0,-11.1827,-122.5233,79.5305,-8.45,0.00,0.00,-7.3000,-123.1000,80.3000,14,14
16,inspect_capture,shelf3,shelf,region_shelf2_tube2_shelf3,0,-7.9162,-122.8881,98.2977,-8.95,0.00,0.00,-5.3000,-123.3000,95.3000,17,17
17,inspect_capture,shelf3,shelf,region_shelf2_tube2_shelf3,0,-7.4437,-123.2019,103.2639,-7.92,0.00,0.00,-5.3000,-123.5000,99.9000,18,18
18,inspect_capture,shelf3,shelf,region_shelf2_tube2_shelf3,0,-1.6396,-120.0940,87.3262,-34.31,0.00,0.00,1.3000,-122.1000,85.5000,19,19
19,inspect_capture,shelf3,shelf,region_shelf2_tube2_shelf3,0,-0.9851,-125.5908,87.3635,5.06,0.00,0.00,2.3000,-125.3000,85.1000,20,20
20,inspect_capture,tube2,tube,region_shelf2_tube2_shelf3,1,63.5613,-140.8410,75.2141,172.03,0.00,0.00,59.7000,-140.3000,75.3000,43,43
21,inspect_capture,tube2,tube,region_shelf2_tube2_shelf3,1,63.3545,-141.4909,77.1598,171.28,0.00,0.00,59.5000,-140.9000,77.1000,42,42
22,inspect_capture,tube2,tube,region_shelf2_tube2_shelf3,1,62.5077,-144.5217,78.8904,167.82,0.00,0.00,58.7000,-143.7000,78.7000,41,41
23,inspect_capture,tube2,tube,region_shelf2_tube2_shelf3,1,62.2930,-144.9547,80.4045,167.30,0.00,0.00,58.5000,-144.1000,80.1000,40,40
24,inspect_capture,tube2,tube,region_shelf2_tube2_shelf3,1,62.2756,-146.4643,78.4571,165.67,0.00,0.00,58.5000,-145.5000,78.3000,39,39
25,inspect_capture,tube2,tube,region_shelf2_tube2_shelf3,1,35.5939,-133.2390,75.0906,-179.10,0.00,0.00,31.7000,-133.3000,75.3000,38,38
26,inspect_capture,tube2,tube,region_shelf2_tube2_shelf3,1,33.3887,-133.4757,77.9962,-179.64,0.00,0.00,29.5000,-133.5000,77.7000,37,37
27,inspect_capture,tube2,tube,region_shelf2_tube2_shelf3,1,32.9975,-132.9842,76.7767,-178.30,0.00,0.00,29.1000,-133.1000,76.7000,36,36
28,inspect_capture,tube2,tube,region_shelf2_tube2_shelf3,1,25.5778,-141.6275,79.9664,149.54,0.00,0.00,22.3000,-139.7000,79.1000,35,35
29,inspect_capture,tube2,tube,region_shelf2_tube2_shelf3,1,24.5103,-141.7896,79.2334,146.94,0.00,0.00,21.3000,-139.7000,78.5000,34,34
30,inspect_capture,tube2,tube,region_shelf2_tube2_shelf3,1,24.4284,-141.0957,74.9138,149.05,0.00,0.00,21.1000,-139.1000,75.3000,32,32
31,inspect_capture,tube2,tube,region_shelf2_tube2_shelf3,1,14.1296,-141.3408,74.3543,105.79,0.00,0.00,13.1000,-137.7000,75.3000,30,30
32,inspect_capture,tube2,tube,region_shelf2_tube2_shelf3,1,12.7201,-140.7739,76.6619,96.19,0.00,0.00,12.3000,-136.9000,76.5000,29,29
33,inspect_capture,tube2,tube,region_shelf2_tube2_shelf3,1,11.4347,-140.9069,77.9044,86.01,0.00,0.00,11.7000,-137.1000,77.1000,28,28
34,inspect_capture,tube2,tube,region_shelf2_tube2_shelf3,1,11.0075,-140.5564,78.7641,82.33,0.00,0.00,11.5000,-136.9000,77.5000,27,27
35,inspect_capture,tube2,tube,region_shelf2_tube2_shelf3,1,11.8583,-140.0792,80.9585,89.25,0.00,0.00,11.9000,-136.9000,78.7000,26,26
36,inspect_capture,tube2,tube,region_shelf2_tube2_shelf3,1,12.6852,-139.6204,80.8076,97.04,0.00,0.00,12.3000,-136.5000,78.5000,25,25
37,inspect_capture,tube2,tube,region_shelf2_tube2_shelf3,1,9.7140,-140.2135,74.0921,71.35,0.00,0.00,10.9000,-136.7000,75.3000,24,24
38,inspect_capture,tube2,tube,region_shelf2_tube2_shelf3,1,8.4216,-140.2783,73.1862,62.16,0.00,0.00,10.1000,-137.1000,74.7000,23,23
39,inspect_capture,tube2,tube,region_shelf2_tube2_shelf3,1,5.8345,-138.3004,73.2312,37.52,0.00,0.00,8.7000,-136.1000,74.7000,22,22
40,inspect_capture,tube2,tube,region_shelf2_tube2_shelf3,1,18.0869,-127.9183,74.4179,-137.19,0.00,0.00,15.3000,-130.5000,75.3000,21,21
41,inspect_capture,tube2,tube,region_shelf2_tube2_shelf3,1,15.4592,-126.9859,74.2361,-117.96,0.00,0.00,13.7000,-130.3000,75.3000,20,20
42,inspect_capture,tube2,tube,region_shelf2_tube2_shelf3,1,17.2249,-130.4026,78.6583,-148.73,0.00,0.00,14.1000,-132.3000,77.3000,19,19
43,inspect_capture,tube2,tube,region_shelf2_tube2_shelf3,1,14.7886,-130.8804,81.6202,-136.19,0.00,0.00,13.1000,-132.5000,78.5000,18,18
44,inspect_capture,tube2,tube,region_shelf2_tube2_shelf3,1,14.2900,-131.3786,82.0959,-136.45,0.00,0.00,12.9000,-132.7000,78.7000,17,17
45,inspect_capture,tube2,tube,region_shelf2_tube2_shelf3,1,13.9513,-125.4343,80.0730,-103.80,0.00,0.00,13.1000,-128.9000,78.5000,16,16
46,inspect_capture,tube2,tube,region_shelf2_tube2_shelf3,1,13.1128,-126.6576,78.7519,-99.55,0.00,0.00,12.5000,-130.3000,77.5000,15,15
47,inspect_capture,tube2,tube,region_shelf2_tube2_shelf3,1,11.4435,-126.3980,78.6999,-86.04,0.00,0.00,11.7000,-130.1000,77.5000,14,14
48,inspect_capture,tube2,tube,region_shelf2_tube2_shelf3,1,9.8328,-126.5098,74.2131,-73.45,0.00,0.00,10.9000,-130.1000,75.3000,13,13
