mission_waypoint_id,role,device,device_type,region,device_order_index,x,y,z,yaw_deg,pitch_deg,roll_deg,target_x,target_y,target_z,source_phase2_viewpoint_id,source_phase2_row_index
0,home_start,home,home,home,-1,58.0974,-129.4069,76.7663,0.00,0.00,0.00,58.0974,-129.4069,76.7663,-1,-1
1,inspect_capture,shelf3,shelf,region_shelf2_tube2_shelf3,0,22.0974,-127.3069,86.9663,172.14,0.00,0.00,17.7000,-126.7000,85.9000,1,1
2,inspect_capture,shelf3,shelf,region_shelf2_tube2_shelf3,0,-10.6026,-122.5069,83.0663,-8.23,0.00,0.00,-6.5000,-123.1000,83.1000,0,0
3,inspect_capture,tube2,tube,region_shelf2_tube2_shelf3,1,9.1974,-130.9069,81.2663,-43.47,0.00,0.00,11.3000,-132.9000,77.1000,0,0
4,inspect_capture,tube2,tube,region_shelf2_tube2_shelf3,1,-42.1026,-124.9069,78.5663,-20.12,0.00,0.00,-38.3000,-126.3000,77.7000,1,1
5,inspect_capture,tube2,tube,region_shelf2_tube2_shelf3,1,12.4974,-140.5069,79.7663,74.92,0.00,0.00,13.9000,-135.3000,75.3000,2,2
6,inspect_capture,tube2,tube,region_shelf2_tube2_shelf3,1,63.1974,-141.4069,77.6663,170.21,0.00,0.00,59.1000,-140.7000,77.5000,3,3
7,inspect_capture,shelf2,shelf,region_shelf2_tube2_shelf3,2,62.8974,-143.8069,86.6663,-158.10,0.00,0.00,55.7000,-146.7000,83.5000,0,0
8,inspect_capture,shelf2,shelf,region_shelf2_tube2_shelf3,2,-48.4026,-128.8069,77.6663,-21.48,0.00,0.00,-44.1000,-130.5000,78.9000,1,1
9,inspect_capture,shelf2,shelf,region_shelf2_tube2_shelf3,2,38.5974,-139.6069,83.3663,-155.71,0.00,0.00,31.3000,-142.9000,81.7000,2,2
10,inspect_capture,shelf2,shelf,region_shelf2_tube2_shelf3,2,-25.6026,-136.9069,87.8663,26.15,0.00,0.00,-20.7000,-134.5000,85.3000,3,3
11,inspect_capture,shelf2,shelf,region_shelf2_tube2_shelf3,2,66.7974,-146.5069,76.7663,177.37,0.00,0.00,62.3000,-146.3000,75.3000,4,4
12,inspect_capture,shelf2,shelf,region_shelf2_tube2_shelf3,2,-46.6026,-129.7069,86.3663,-10.94,0.00,0.00,-42.5000,-130.5000,86.1000,5,5
13,inspect_capture,shelf2,shelf,region_shelf2_tube2_shelf3,2,64.3974,-151.3069,85.7663,158.51,0.00,0.00,59.3000,-149.3000,84.5000,6,6
14,inspect_capture,shelf2,shelf,region_shelf2_tube2_shelf3,2,-35.8026,-136.3069,81.5663,26.23,0.00,0.00,-29.7000,-133.3000,84.9000,7,7
15,inspect_capture,shelf2,shelf,region_shelf2_tube2_shelf3,2,49.6974,-142.3069,88.1663,-159.81,0.00,0.00,42.1000,-145.1000,84.9000,8,8
16,inspect_capture,capacitor,capacitor,region_capacitor,3,-35.2026,-88.9069,76.7663,-94.26,0.00,0.00,-35.5000,-92.9000,75.5000,0,0
17,inspect_capture,main_transformer,transformer,region_main_transformer,4,-1.9026,-99.1069,76.7663,47.75,0.00,0.00,2.1000,-94.7000,78.5000,0,0
18,inspect_capture,main_transformer,transformer,region_main_transformer,4,27.4974,-97.9069,89.0663,139.23,0.00,0.00,20.3000,-91.7000,82.7000,1,1
19,inspect_capture,shelf4,shelf,region_shelf1_tube1_shelf4,5,31.3974,-79.9069,77.6663,123.99,0.00,0.00,29.1000,-76.5000,79.5000,0,0
20,inspect_capture,tube1,tube,region_shelf1_tube1_shelf4,6,17.8974,-74.8069,81.2663,59.17,0.00,0.00,21.9000,-68.1000,75.3000,0,0
21,inspect_capture,tube1,tube,region_shelf1_tube1_shelf4,6,32.8974,-55.6069,76.7663,-121.95,0.00,0.00,28.1000,-63.3000,74.9000,1,1
22,inspect_capture,tube1,tube,region_shelf1_tube1_shelf4,6,-27.4026,-57.7069,76.7663,-11.45,0.00,0.00,-22.5000,-58.7000,75.5000,2,2
23,inspect_capture,tube1,tube,region_shelf1_tube1_shelf4,6,69.7974,-71.5069,82.1663,145.75,0.00,0.00,64.5000,-67.9000,78.7000,3,3
24,inspect_capture,shelf1,shelf,region_shelf1_tube1_shelf4,7,40.3974,-69.4069,81.5663,86.61,0.00,0.00,40.7000,-64.3000,78.9000,9,9
25,inspect_capture,shelf1,shelf,region_shelf1_tube1_shelf4,7,71.5974,-64.3069,98.0663,174.04,0.00,0.00,67.7000,-63.9000,96.7000,8,8
26,inspect_capture,shelf1,shelf,region_shelf1_tube1_shelf4,7,72.7974,-65.2069,83.9663,-174.68,0.00,0.00,67.5000,-65.7000,82.9000,7,7
27,inspect_capture,shelf1,shelf,region_shelf1_tube1_shelf4,7,-33.1026,-51.1069,83.0663,9.52,0.00,0.00,-27.1000,-50.1000,81.7000,6,6
28,inspect_capture,shelf1,shelf,region_shelf1_tube1_shelf4,7,74.5974,-67.9069,76.7663,174.04,0.00,0.00,70.7000,-67.5000,76.7000,5,5
29,inspect_capture,shelf1,shelf,region_shelf1_tube1_shelf4,7,70.6974,-63.4069,89.3663,-172.10,0.00,0.00,65.7000,-64.1000,89.1000,4,4
30,inspect_capture,shelf1,shelf,region_shelf1_tube1_shelf4,7,-31.3026,-49.3069,89.9663,-16.18,0.00,0.00,-26.5000,-50.7000,89.1000,3,3
31,inspect_capture,shelf1,shelf,region_shelf1_tube1_shelf4,7,-0.7026,-51.7069,92.9663,-62.17,0.00,0.00,1.3000,-55.5000,89.9000,2,2
32,inspect_capture,shelf1,shelf,region_shelf1_tube1_shelf4,7,30.7974,-65.5069,82.1663,118.64,0.00,0.00,28.5000,-61.3000,81.7000,1,1
33,inspect_capture,shelf1,shelf,region_shelf1_tube1_shelf4,7,20.5974,-49.6069,90.8663,-41.22,0.00,0.00,23.9000,-52.5000,89.5000,0,0
