waypoint_id,x,y,z
0,58.0974,-129.4069,76.7663
1,22.0974,-127.3069,86.9663
2,-10.6026,-122.5069,83.0663
3,9.1974,-130.9069,81.2663
4,-42.1026,-124.9069,78.5663
5,12.4974,-140.5069,79.7663
6,63.1974,-141.4069,77.6663
7,62.8974,-143.8069,86.6663
8,-48.4026,-128.8069,77.6663
9,38.5974,-139.6069,83.3663
10,-25.6026,-136.9069,87.8663
11,66.7974,-146.5069,76.7663
12,-46.6026,-129.7069,86.3663
13,64.3974,-151.3069,85.7663
14,-35.8026,-136.3069,81.5663
15,49.6974,-142.3069,88.1663
16,-35.2026,-88.9069,76.7663
17,-1.9026,-99.1069,76.7663
18,27.4974,-97.9069,89.0663
19,31.3974,-79.9069,77.6663
20,17.8974,-74.8069,81.2663
21,32.8974,-55.6069,76.7663
22,-27.4026,-57.7069,76.7663
23,69.7974,-71.5069,82.1663
24,40.3974,-69.4069,81.5663
25,71.5974,-64.3069,98.0663
26,72.7974,-65.2069,83.9663
27,-33.1026,-51.1069,83.0663
28,74.5974,-67.9069,76.7663
29,70.6974,-63.4069,89.3663
30,-31.3026,-49.3069,89.9663
31,-0.7026,-51.7069,92.9663
32,30.7974,-65.5069,82.1663
33,20.5974,-49.6069,90.8663
