path_id,x,y,z
0,58.0974,-129.4069,76.7663
1,38.8974,-124.9069,81.5663
2,2.8974,-119.5069,82.1663
3,-4.9026,-118.6069,82.1663
4,-6.1026,-118.6069,82.1663
5,-8.2026,-119.2069,82.1663
6,-20.8034,-128.4520,82.7608
7,2.8974,-132.7069,82.7663
8,38.8974,-136.3069,83.3663
9,38.5974,-139.6069,83.3663
10,-25.6026,-136.9069,87.8663
11,66.7974,-146.5069,76.7663
12,-46.6026,-129.7069,86.3663
13,64.3974,-151.3069,85.7663
14,-35.8026,-136.3069,81.5663
15,49.6974,-142.3069,88.1663
16,-35.2026,-88.9069,76.7663
17,-27.1026,-90.7069,76.7663
18,-22.1211,-95.3396,81.0758
19,-16.0026,-99.4069,82.4663
20,-15.4026,-100.0069,82.4663
21,-1.3026,-99.1069,92.0663
22,23.8974,-99.1069,92.3663
23,25.0974,-99.1069,91.7663
24,30.1974,-97.6069,88.7663
25,64.9419,-73.7249,84.0182
26,61.6600,-73.1288,92.7977
27,66.0125,-72.5582,92.7744
28,69.4974,-70.6069,93.8663
29,71.2974,-68.8069,95.6663
30,71.5974,-67.9069,96.5663
31,72.7974,-65.2069,83.9663
32,-33.1026,-51.1069,83.0663
33,74.5974,-67.9069,76.7663
34,70.6974,-63.4069,89.3663
35,-31.3026,-49.3069,89.9663
36,-31.3026,-48.7069,89.9663
37,-28.9026,-46.3069,92.3663
38,-10.3026,-47.2069,92.6663
39,20.5974,-49.6069,90.8663
