mission_waypoint_id,role,device,device_type,region,device_order_index,x,y,z,yaw_deg,pitch_deg,roll_deg,target_x,target_y,target_z,source_phase2_viewpoint_id,source_phase2_row_index
0,home_start,home,home,home,-1,58.0974,-129.4069,76.7663,0.00,0.00,0.00,58.0974,-129.4069,76.7663,-1,-1
1,inspect_capture,shelf3,shelf,region_shelf2_tube2_shelf3,0,21.5390,-127.2349,86.8878,172.07,0.00,0.00,17.7000,-126.7000,85.9000,1,1
2,inspect_capture,shelf3,shelf,region_shelf2_tube2_shelf3,0,-10.4494,-122.4749,83.2068,-8.99,0.00,0.00,-6.5000,-123.1000,83.1000,0,0
3,inspect_capture,tube2,tube,region_shelf2_tube2_shelf3,1,9.0973,-130.5995,79.3507,-46.24,0.00,0.00,11.3000,-132.9000,77.1000,0,0
4,inspect_capture,tube2,tube,region_shelf2_tube2_shelf3,1,-42.1579,-125.7377,77.8009,-8.29,0.00,0.00,-38.3000,-126.3000,77.7000,1,1
5,inspect_capture,tube2,tube,region_shelf2_tube2_shelf3,1,16.5930,-137.6654,73.7628,138.71,0.00,0.00,13.9000,-135.3000,75.3000,2,2
6,inspect_capture,tube2,tube,region_shelf2_tube2_shelf3,1,62.9558,-141.2786,77.5913,171.47,0.00,0.00,59.1000,-140.7000,77.5000,3,3
7,inspect_capture,shelf2,shelf,region_shelf2_tube2_shelf3,2,59.6478,-147.3268,83.6490,170.98,0.00,0.00,55.7000,-146.7000,83.5000,0,0
8,inspect_capture,shelf2,shelf,region_shelf2_tube2_shelf3,2,-48.0414,-129.8496,78.6934,-9.37,0.00,0.00,-44.1000,-130.5000,78.9000,1,1
9,inspect_capture,shelf2,shelf,region_shelf2_tube2_shelf3,2,35.2479,-143.5425,81.6628,170.76,0.00,0.00,31.3000,-142.9000,81.7000,2,2
10,inspect_capture,shelf2,shelf,region_shelf2_tube2_shelf3,2,-24.6291,-133.8679,85.7034,-9.14,0.00,0.00,-20.7000,-134.5000,85.3000,3,3
11,inspect_capture,shelf2,shelf,region_shelf2_tube2_shelf3,2,66.2330,-146.8097,74.7791,172.62,0.00,0.00,62.3000,-146.3000,75.3000,4,4
12,inspect_capture,shelf2,shelf,region_shelf2_tube2_shelf3,2,-46.4324,-129.8323,86.4012,-9.64,0.00,0.00,-42.5000,-130.5000,86.1000,5,5
13,inspect_capture,shelf2,shelf,region_shelf2_tube2_shelf3,2,63.2147,-150.0918,84.7203,168.57,0.00,0.00,59.3000,-149.3000,84.5000,6,6
14,inspect_capture,shelf2,shelf,region_shelf2_tube2_shelf3,2,-33.6430,-132.6888,85.1816,-8.81,0.00,0.00,-29.7000,-133.3000,84.9000,7,7
15,inspect_capture,shelf2,shelf,region_shelf2_tube2_shelf3,2,46.0183,-145.7965,85.3025,169.92,0.00,0.00,42.1000,-145.1000,84.9000,8,8
16,inspect_capture,capacitor,capacitor,region_capacitor,3,-35.2137,-89.1159,75.3034,-94.33,0.00,0.00,-35.5000,-92.9000,75.5000,0,0
17,inspect_capture,main_transformer,transformer,region_main_transformer,4,-2.0659,-96.3962,78.3646,22.15,0.00,0.00,2.1000,-94.7000,78.5000,0,0
18,inspect_capture,main_transformer,transformer,region_main_transformer,4,24.1737,-92.5622,84.8217,167.45,0.00,0.00,20.3000,-91.7000,82.7000,1,1
19,inspect_capture,shelf4,shelf,region_shelf1_tube1_shelf4,5,32.8984,-77.7166,79.8035,162.24,0.00,0.00,29.1000,-76.5000,79.5000,0,0
20,inspect_capture,tube1,tube,region_shelf1_tube1_shelf4,6,18.9870,-70.2828,73.9001,36.85,0.00,0.00,21.9000,-68.1000,75.3000,0,0
21,inspect_capture,tube1,tube,region_shelf1_tube1_shelf4,6,30.9848,-61.0162,73.6068,-141.63,0.00,0.00,28.1000,-63.3000,74.9000,1,1
22,inspect_capture,tube1,tube,region_shelf1_tube1_shelf4,6,-26.3505,-58.0866,75.4155,-9.05,0.00,0.00,-22.5000,-58.7000,75.5000,2,2
23,inspect_capture,tube1,tube,region_shelf1_tube1_shelf4,6,68.3907,-68.0671,78.9108,177.54,0.00,0.00,64.5000,-67.9000,78.7000,3,3
24,inspect_capture,shelf1,shelf,region_shelf1_tube1_shelf4,7,43.7519,-65.6006,76.6652,156.92,0.00,0.00,40.7000,-64.3000,78.9000,9,9
25,inspect_capture,shelf1,shelf,region_shelf1_tube1_shelf4,7,71.5281,-64.2977,97.7897,174.07,0.00,0.00,67.7000,-63.9000,96.7000,8,8
26,inspect_capture,shelf1,shelf,region_shelf1_tube1_shelf4,7,71.4384,-66.3043,82.5482,171.28,0.00,0.00,67.5000,-65.7000,82.9000,7,7
27,inspect_capture,shelf1,shelf,region_shelf1_tube1_shelf4,7,-31.0306,-49.4232,81.3954,-9.77,0.00,0.00,-27.1000,-50.1000,81.7000,6,6
28,inspect_capture,shelf1,shelf,region_shelf1_tube1_shelf4,7,74.5295,-68.2131,75.7909,169.45,0.00,0.00,70.7000,-67.5000,76.7000,5,5
29,inspect_capture,shelf1,shelf,region_shelf1_tube1_shelf4,7,69.6600,-64.5576,89.4306,173.41,0.00,0.00,65.7000,-64.1000,89.1000,4,4
30,inspect_capture,shelf1,shelf,region_shelf1_tube1_shelf4,7,-30.4426,-50.0554,89.3009,-9.29,0.00,0.00,-26.5000,-50.7000,89.1000,3,3
31,inspect_capture,shelf1,shelf,region_shelf1_tube1_shelf4,7,-2.6225,-54.8925,90.3950,-8.80,0.00,0.00,1.3000,-55.5000,89.9000,2,2
32,inspect_capture,shelf1,shelf,region_shelf1_tube1_shelf4,7,26.7551,-62.2585,78.2306,28.78,0.00,0.00,28.5000,-61.3000,81.7000,1,1
33,inspect_capture,shelf1,shelf,region_shelf1_tube1_shelf4,7,21.3451,-49.6816,90.7365,-47.81,0.00,0.00,23.9000,-52.5000,89.5000,0,0
