waypoint_id,x,y,z
0,58.0974,-129.4069,76.7663
1,21.5390,-127.2349,86.8878
2,-10.4494,-122.4749,83.2068
3,9.0973,-130.5995,79.3507
4,-42.1579,-125.7377,77.8009
5,16.5930,-137.6654,73.7628
6,62.9558,-141.2786,77.5913
7,59.6478,-147.3268,83.6490
8,-48.0414,-129.8496,78.6934
9,35.2479,-143.5425,81.6628
10,-24.6291,-133.8679,85.7034
11,66.2330,-146.8097,74.7791
12,-46.4324,-129.8323,86.4012
13,63.2147,-150.0918,84.7203
14,-33.6430,-132.6888,85.1816
15,46.0183,-145.7965,85.3025
16,-35.2137,-89.1159,75.3034
17,-2.0659,-96.3962,78.3646
18,24.1737,-92.5622,84.8217
19,32.8984,-77.7166,79.8035
20,18.9870,-70.2828,73.9001
21,30.9848,-61.0162,73.6068
22,-26.3505,-58.0866,75.4155
23,68.3907,-68.0671,78.9108
24,43.7519,-65.6006,76.6652
25,71.5281,-64.2977,97.7897
26,71.4384,-66.3043,82.5482
27,-31.0306,-49.4232,81.3954
28,74.5295,-68.2131,75.7909
29,69.6600,-64.5576,89.4306
30,-30.4426,-50.0554,89.3009
31,-2.6225,-54.8925,90.3950
32,26.7551,-62.2585,78.2306
33,21.3451,-49.6816,90.7365
