path_id,x,y,z
0,-1.9026,-99.1069,76.7663
1,-2.1426,-99.6469,77.3063
2,-2.2626,-99.8869,77.7863
3,-2.3826,-100.1269,78.3863
4,-2.4426,-100.2469,79.1063
5,-2.5026,-100.3069,79.8263
6,-2.5026,-100.3069,80.6063
7,-2.5026,-100.3069,81.3263
8,-2.6226,-100.3069,82.0463
9,-2.8626,-100.2469,82.7063
10,-3.1626,-100.1269,83.3663
11,-3.5226,-99.9469,83.9663
12,-3.9426,-99.7069,84.5663
13,-4.2426,-99.4669,85.2263
14,-4.4226,-99.2869,85.8863
15,-4.5426,-99.1669,86.6063
16,-4.5426,-99.1069,87.3263
17,-4.4226,-99.1069,88.0463
18,-4.2426,-99.1069,88.7063
19,-3.9426,-99.1069,89.3663
20,-3.5226,-99.1069,89.9663
21,-3.0426,-99.1069,90.5063
22,-2.5026,-99.1069,91.0463
23,-1.9026,-99.1069,91.4663
24,-1.2426,-99.1069,91.7663
25,-0.5826,-99.1069,91.9463
26,0.1374,-99.1069,92.0663
27,0.8574,-99.1069,92.0663
28,1.6374,-99.1069,92.0663
29,2.3574,-99.1069,92.0663
30,3.1374,-99.1069,92.0663
31,3.8574,-99.1069,92.0663
32,4.6374,-99.1069,92.0663
33,5.3574,-99.1069,92.0663
34,6.1374,-99.1069,92.0663
35,6.8574,-99.1069,92.0663
36,7.6374,-99.1069,92.0663
37,8.4174,-99.1069,92.0663
38,9.1974,-99.1069,92.0663
39,9.9774,-99.1069,92.0663
40,10.7574,-99.1069,92.0663
41,11.5374,-99.1069,92.0663
42,12.2574,-99.1069,92.0663
43,13.0374,-99.1069,92.0663
44,13.7574,-99.1069,92.0663
45,14.5374,-99.1069,92.0663
46,15.2574,-99.1069,92.0663
47,16.0374,-99.1069,92.0663
48,16.7574,-99.1069,92.1263
49,17.5374,-99.1069,92.1863
50,18.2574,-99.1069,92.2463
51,19.0374,-99.1069,92.3063
52,19.7574,-99.1069,92.3663
53,20.5374,-99.1069,92.3663
54,21.2574,-99.1069,92.3663
55,22.0374,-99.1069,92.3663
56,22.7574,-99.1069,92.3063
57,23.4774,-99.1069,92.1863
58,24.1374,-99.1069,92.0063
59,24.7974,-99.1069,91.7063
60,25.3974,-99.0469,91.2863
61,25.9974,-98.8669,90.8063
62,26.5374,-98.6269,90.2663
63,26.9574,-98.3869,89.7863
64,27.4974,-97.9069,89.0663
