viewpoint_id,device,device_type,role,x,y,z,yaw_deg,pitch_deg,roll_deg,target_x,target_y,target_z,layer_k,component_id
0,shelf1,shelf,inspect_capture,20.5974,-49.6069,90.8663,-41.22,0.00,0.00,23.9000,-52.5000,89.5000,0,17
1,shelf1,shelf,inspect_capture,30.7974,-65.5069,82.1663,118.64,0.00,0.00,28.5000,-61.3000,81.7000,1,130
2,shelf1,shelf,inspect_capture,-0.7026,-51.7069,92.9663,-62.17,0.00,0.00,1.3000,-55.5000,89.9000,2,108
3,shelf1,shelf,inspect_capture,-31.3026,-49.3069,89.9663,-16.18,0.00,0.00,-26.5000,-50.7000,89.1000,3,61
4,shelf1,shelf,inspect_capture,70.6974,-63.4069,89.3663,-172.10,0.00,0.00,65.7000,-64.1000,89.1000,4,50
5,shelf1,shelf,inspect_capture,74.5974,-67.9069,76.7663,174.04,0.00,0.00,70.7000,-67.5000,76.7000,5,60
6,shelf1,shelf,inspect_capture,-33.1026,-51.1069,83.0663,9.52,0.00,0.00,-27.1000,-50.1000,81.7000,6,5
7,shelf1,shelf,inspect_capture,72.7974,-65.2069,83.9663,-174.68,0.00,0.00,67.5000,-65.7000,82.9000,7,80
8,shelf1,shelf,inspect_capture,71.5974,-64.3069,98.0663,174.04,0.00,0.00,67.7000,-63.9000,96.7000,8,136
9,shelf1,shelf,inspect_capture,40.3974,-69.4069,81.5663,86.61,0.00,0.00,40.7000,-64.3000,78.9000,9,1
