path_id,x,y,z
0,-10.6026,-122.5069,83.0663
1,-10.2426,-121.7869,83.0663
2,-9.9426,-121.3069,83.0663
3,-9.5226,-120.7069,82.9463
4,-9.0426,-120.1069,82.7663
5,-8.5026,-119.6269,82.5863
6,-7.9026,-119.2669,82.4063
7,-7.3026,-118.9669,82.2263
8,-6.7026,-118.7869,82.1663
9,-6.1026,-118.7269,82.1663
10,-5.5026,-118.6669,82.1663
11,-4.9026,-118.6069,82.1663
12,-4.2426,-118.6069,82.1663
13,-3.5826,-118.6069,82.1663
14,-2.8626,-118.6069,82.1663
15,-2.1426,-118.6069,82.1663
16,-1.3626,-118.6069,82.1663
17,-0.6426,-118.6069,82.1663
18,0.1374,-118.6069,82.1663
19,0.8574,-118.6069,82.1663
20,1.6374,-118.6069,82.1663
21,2.3574,-118.6069,82.1663
22,3.0774,-118.6669,82.1663
23,3.7374,-118.7869,82.1663
24,4.3974,-118.9669,82.1663
25,4.9974,-119.2069,82.1663
26,5.5974,-119.5069,82.1663
27,6.1974,-119.8069,82.1663
28,6.7974,-120.0469,82.1663
29,7.3974,-120.2869,82.1663
30,7.9974,-120.5269,82.1663
31,8.6574,-120.7069,82.1663
32,9.3174,-120.8269,82.1663
33,9.9774,-121.0069,82.1663
34,10.6374,-121.1869,82.1663
35,11.2974,-121.3069,82.1663
36,11.8974,-121.4269,82.1663
37,12.4974,-121.5469,82.1663
38,13.1574,-121.6069,82.1663
39,13.8174,-121.6069,82.1663
40,14.5374,-121.6069,82.1663
41,15.2574,-121.6069,82.1663
42,16.0374,-121.6069,82.1663
43,16.7574,-121.6069,82.1663
44,17.4774,-121.6669,82.2263
45,18.1374,-121.7869,82.3463
46,18.7974,-122.0269,82.5863
47,19.3974,-122.3869,82.9463
48,19.9974,-122.8669,83.4263
49,20.5374,-123.4069,83.9663
50,21.0174,-124.0069,84.5663
51,21.4374,-124.6069,85.1663
52,21.7374,-125.2069,85.7063
53,21.9174,-125.8069,86.1263
54,22.0374,-126.3469,86.4863
55,22.0974,-126.7669,86.7263
56,22.0974,-127.3069,86.9663
