path_id,x,y,z
0,9.1974,-130.9069,81.2663
1,8.4774,-130.9069,81.2663
2,7.9974,-130.8469,81.3263
3,7.3974,-130.7869,81.3863
4,6.7974,-130.7269,81.4463
5,6.1974,-130.6669,81.5063
6,5.5974,-130.6069,81.5663
7,4.9374,-130.6069,81.5663
8,4.2774,-130.6069,81.5663
9,3.5574,-130.6069,81.5663
10,2.8374,-130.6069,81.5663
11,2.0574,-130.6069,81.6263
12,1.3374,-130.4869,81.8063
13,0.5574,-130.3069,82.0463
14,-0.1626,-130.1269,82.2863
15,-0.9426,-129.9469,82.5263
16,-1.6626,-129.7669,82.7063
17,-2.4426,-129.7069,82.7663
18,-3.1626,-129.7069,82.7663
19,-3.9426,-129.7069,82.7663
20,-4.6626,-129.7069,82.7663
21,-5.4426,-129.7069,82.7663
22,-6.1626,-129.7069,82.7663
23,-6.9426,-129.7069,82.7663
24,-7.6626,-129.6469,82.7663
25,-8.4426,-129.5869,82.7663
26,-9.1626,-129.5269,82.7663
27,-9.9426,-129.4669,82.7663
28,-10.6626,-129.4069,82.7663
29,-11.4426,-129.4069,82.7663
30,-12.1626,-129.4069,82.7663
31,-12.9426,-129.4069,82.7663
32,-13.6626,-129.4069,82.7663
33,-14.4426,-129.4069,82.7663
34,-15.2226,-129.4069,82.7663
35,-16.0026,-129.4069,82.7663
36,-16.7826,-129.4069,82.7663
37,-17.5626,-129.4069,82.7663
38,-18.3426,-129.4069,82.7663
39,-19.1226,-129.4069,82.7663
40,-19.9026,-129.4069,82.7663
41,-20.6226,-129.3469,82.7663
42,-21.3426,-129.1669,82.7663
43,-22.0026,-128.8669,82.7663
44,-22.6026,-128.4469,82.7663
45,-23.2026,-127.9069,82.7663
46,-23.8026,-127.3069,82.7663
47,-24.4026,-126.7069,82.7663
48,-25.0026,-126.1069,82.7663
49,-25.6626,-125.6269,82.7663
50,-26.3226,-125.2669,82.7663
51,-27.0426,-125.0269,82.7663
52,-27.7626,-124.9069,82.7663
53,-28.5426,-124.9069,82.7663
54,-29.2626,-124.9069,82.7663
