viewpoint_id,device,device_type,role,x,y,z,yaw_deg,pitch_deg,roll_deg,target_x,target_y,target_z,layer_k,component_id
0,shelf1,shelf,inspect_capture,21.3451,-49.6816,90.7365,-47.81,0.00,0.00,23.9000,-52.5000,89.5000,0,17
1,shelf1,shelf,inspect_capture,26.7551,-62.2585,78.2306,28.78,0.00,0.00,28.5000,-61.3000,81.7000,1,130
2,shelf1,shelf,inspect_capture,-2.6225,-54.8925,90.3950,-8.80,0.00,0.00,1.3000,-55.5000,89.9000,2,108
3,shelf1,shelf,inspect_capture,-30.4426,-50.0554,89.3009,-9.29,0.00,0.00,-26.5000,-50.7000,89.1000,3,61
4,shelf1,shelf,inspect_capture,69.6600,-64.5576,89.4306,173.41,0.00,0.00,65.7000,-64.1000,89.1000,4,50
5,shelf1,shelf,inspect_capture,74.5295,-68.2131,75.7909,169.45,0.00,0.00,70.7000,-67.5000,76.7000,5,60
6,shelf1,shelf,inspect_capture,-31.0306,-49.4232,81.3954,-9.77,0.00,0.00,-27.1000,-50.1000,81.7000,6,5
7,shelf1,shelf,inspect_capture,71.4384,-66.3043,82.5482,171.28,0.00,0.00,67.5000,-65.7000,82.9000,7,80
8,shelf1,shelf,inspect_capture,71.5281,-64.2977,97.7897,174.07,0.00,0.00,67.7000,-63.9000,96.7000,8,136
9,shelf1,shelf,inspect_capture,43.7519,-65.6006,76.6652,156.92,0.00,0.00,40.7000,-64.3000,78.9000,9,1
