viewpoint_id,device,device_type,role,x,y,z,yaw_deg,pitch_deg,roll_deg,target_x,target_y,target_z,layer_k,component_id
0,capacitor,capacitor,inspect_capture,-43.1976,-97.4257,77.3000,22.50,0.00,0.00,-37.1000,-94.9000,77.3000,14,19
1,capacitor,capacitor,inspect_capture,-43.6021,-100.6499,77.3000,9.74,0.00,0.00,-36.9000,-99.5000,77.3000,14,20
2,capacitor,capacitor,inspect_capture,-46.7976,-117.6257,77.3000,22.50,0.00,0.00,-40.7000,-115.1000,77.3000,14,3
3,capacitor,capacitor,inspect_capture,-43.8281,-101.6726,77.3000,22.50,0.00,0.00,-38.1000,-99.3000,77.3000,14,12
4,capacitor,capacitor,inspect_capture,-43.5976,-99.6257,77.3000,22.50,0.00,0.00,-37.5000,-97.1000,77.3000,14,15
5,capacitor,capacitor,inspect_capture,-44.1000,-102.9000,77.3000,0.00,0.00,0.00,-37.3000,-102.9000,77.3000,14,16
6,capacitor,capacitor,inspect_capture,-44.7000,-107.1000,77.3000,0.00,0.00,0.00,-39.5000,-107.1000,77.3000,14,7
7,capacitor,capacitor,inspect_capture,-45.7000,-110.5000,77.3000,0.00,0.00,0.00,-40.1000,-110.5000,77.3000,14,5
8,capacitor,capacitor,inspect_capture,-44.5000,-104.9000,77.3000,0.00,0.00,0.00,-38.9000,-104.9000,77.3000,14,9
9,capacitor,capacitor,inspect_capture,-41.4841,-90.3159,77.3000,-45.00,0.00,0.00,-37.1000,-94.7000,77.3000,14,19
10,capacitor,capacitor,inspect_capture,-28.4331,-89.8331,77.3000,-135.00,0.00,0.00,-33.1000,-94.5000,77.3000,14,35
11,capacitor,capacitor,inspect_capture,-31.8917,-89.8917,77.3000,-135.00,0.00,0.00,-36.7000,-94.7000,77.3000,14,19
12,capacitor,capacitor,inspect_capture,-28.6024,-102.3743,77.3000,-157.50,0.00,0.00,-34.7000,-104.9000,77.3000,14,22
13,capacitor,capacitor,inspect_capture,-27.2176,-99.5022,77.3000,157.50,0.00,0.00,-33.5000,-96.9000,77.3000,14,32
14,capacitor,capacitor,inspect_capture,-29.5111,-111.7665,77.3000,157.50,0.00,0.00,-34.5000,-109.7000,77.3000,14,2
15,capacitor,capacitor,inspect_capture,-28.6804,-102.6585,77.5000,112.50,0.00,0.00,-30.9000,-97.3000,77.5000,15,38
16,capacitor,capacitor,inspect_capture,-28.3000,-105.3000,77.5000,180.00,0.00,0.00,-32.1000,-105.3000,77.5000,15,34
17,capacitor,capacitor,inspect_capture,-26.8806,-97.5866,77.5000,-157.50,0.00,0.00,-31.5000,-99.5000,77.5000,15,38
18,capacitor,capacitor,inspect_capture,-28.5634,-108.0440,77.5000,170.26,0.00,0.00,-32.9000,-107.3000,77.5000,15,34
19,capacitor,capacitor,inspect_capture,-29.9000,-115.7000,77.5000,180.00,0.00,0.00,-34.3000,-115.7000,77.5000,15,27
20,capacitor,capacitor,inspect_capture,-43.4900,-121.9042,77.5000,67.50,0.00,0.00,-41.5000,-117.1000,77.5000,15,0
21,capacitor,capacitor,inspect_capture,-46.2113,-120.0113,77.5000,45.00,0.00,0.00,-43.1000,-116.9000,77.5000,15,0
22,capacitor,capacitor,inspect_capture,-28.6331,-107.6331,77.7000,-135.00,0.00,0.00,-33.3000,-112.3000,77.7000,16,27
23,capacitor,capacitor,inspect_capture,-46.4941,-120.2941,79.3000,45.00,0.00,0.00,-43.1000,-116.9000,79.3000,24,0
24,capacitor,capacitor,inspect_capture,-45.6841,-121.4841,79.3000,45.00,0.00,0.00,-41.3000,-117.1000,79.3000,24,0
