waypoint_id,x,y,z,source_viewpoint_id
0,-43.1976,-97.4257,77.3000,0
1,-43.6021,-100.6499,77.3000,1
2,-46.7976,-117.6257,77.3000,2
3,-43.8281,-101.6726,77.3000,3
4,-43.5976,-99.6257,77.3000,4
5,-44.1000,-102.9000,77.3000,5
6,-44.7000,-107.1000,77.3000,6
7,-45.7000,-110.5000,77.3000,7
8,-44.5000,-104.9000,77.3000,8
9,-41.4841,-90.3159,77.3000,9
10,-28.4331,-89.8331,77.3000,10
11,-31.8917,-89.8917,77.3000,11
12,-28.6024,-102.3743,77.3000,12
13,-27.2176,-99.5022,77.3000,13
14,-29.5111,-111.7665,77.3000,14
15,-28.6804,-102.6585,77.5000,15
16,-28.3000,-105.3000,77.5000,16
17,-26.8806,-97.5866,77.5000,17
18,-28.5634,-108.0440,77.5000,18
19,-29.9000,-115.7000,77.5000,19
20,-43.4900,-121.9042,77.5000,20
21,-46.2113,-120.0113,77.5000,21
22,-28.6331,-107.6331,77.7000,22
23,-46.4941,-120.2941,79.3000,23
24,-45.6841,-121.4841,79.3000,24
