viewpoint_id,device,device_type,role,x,y,z,yaw_deg,pitch_deg,roll_deg,target_x,target_y,target_z,layer_k,component_id
2,main_transformer,transformer,inspect_capture,7.8171,-79.3405,77.3000,-112.50,0.00,0.00,5.1000,-85.9000,77.3000,14,6
1,main_transformer,transformer,inspect_capture,19.3000,-81.2000,77.3000,-90.00,0.00,0.00,19.3000,-85.9000,77.3000,14,55
0,main_transformer,transformer,inspect_capture,34.0000,-87.3000,77.3000,180.00,0.00,0.00,26.9000,-87.3000,77.3000,14,71
11,main_transformer,transformer,inspect_capture,-7.2595,-90.6171,77.5000,22.50,0.00,0.00,-0.7000,-87.9000,77.5000,15,2
3,main_transformer,transformer,inspect_capture,4.5891,-78.8109,77.5000,-135.00,0.00,0.00,0.7000,-82.7000,77.5000,15,5
13,main_transformer,transformer,inspect_capture,-4.2376,-77.9624,77.5000,-45.00,0.00,0.00,0.5000,-82.7000,77.5000,15,5
8,main_transformer,transformer,inspect_capture,9.7000,-79.6000,77.5000,-90.00,0.00,0.00,9.7000,-86.7000,77.5000,15,6
4,main_transformer,transformer,inspect_capture,8.9578,-79.4491,77.5000,-112.50,0.00,0.00,6.7000,-84.9000,77.5000,15,6
12,main_transformer,transformer,inspect_capture,2.9000,-77.8000,77.5000,-90.00,0.00,0.00,2.9000,-84.1000,77.5000,15,6
5,main_transformer,transformer,inspect_capture,12.8376,-79.3624,77.5000,-135.00,0.00,0.00,8.1000,-84.1000,77.5000,15,23
6,main_transformer,transformer,inspect_capture,17.4033,-79.3967,77.5000,-135.00,0.00,0.00,12.1000,-84.7000,77.5000,15,35
7,main_transformer,transformer,inspect_capture,25.6813,-82.4339,77.5000,-112.50,0.00,0.00,23.5000,-87.7000,77.5000,15,45
10,main_transformer,transformer,inspect_capture,32.0270,-98.9751,77.5000,157.50,0.00,0.00,27.5000,-97.1000,77.5000,15,68
9,main_transformer,transformer,inspect_capture,32.8000,-93.1000,77.5000,180.00,0.00,0.00,28.3000,-93.1000,77.5000,15,68
14,main_transformer,transformer,inspect_capture,34.0000,-86.5000,77.5000,180.00,0.00,0.00,29.5000,-86.5000,77.5000,15,68
23,main_transformer,transformer,inspect_capture,-7.6291,-91.9701,77.7000,22.50,0.00,0.00,-0.7000,-89.1000,77.7000,16,1
22,main_transformer,transformer,inspect_capture,-6.0033,-83.5967,77.7000,-45.00,0.00,0.00,-0.7000,-88.9000,77.7000,16,1
20,main_transformer,transformer,inspect_capture,-5.4033,-80.7967,77.7000,-45.00,0.00,0.00,-0.1000,-86.1000,77.7000,16,3
21,main_transformer,transformer,inspect_capture,-5.0619,-79.3381,77.7000,-45.00,0.00,0.00,0.1000,-84.5000,77.7000,16,4
16,main_transformer,transformer,inspect_capture,11.4719,-79.7281,77.7000,-135.00,0.00,0.00,7.3000,-83.9000,77.7000,16,20
18,main_transformer,transformer,inspect_capture,15.4619,-79.1381,77.7000,-135.00,0.00,0.00,10.3000,-84.3000,77.7000,16,27
